task,knowledge_level,probe_strategy,sample_count,class_count,chance_accuracy,accuracy,balanced_accuracy,macro_f1,true_positive,true_negative,false_positive,false_negative,sensitivity,specificity,false_positive_rate
victim_presence,exact_both_policy_known,one_shot_candidate_cycle,720,2,0.5,0.6902777777777778,0.6902777777777778,0.6646609537613906,149,348,12,211,0.41388888888888886,0.9666666666666667,0.03333333333333333
victim_presence,exact_both_policy_known,one_shot_fixed,720,2,0.5,0.6777777777777778,0.6777777777777778,0.6439260225615839,133,355,5,227,0.36944444444444446,0.9861111111111112,0.013888888888888888
victim_presence,exact_both_policy_known,one_shot_knowledge_guided,720,2,0.5,0.6805555555555556,0.6805555555555556,0.6483150553436574,136,354,6,224,0.37777777777777777,0.9833333333333333,0.016666666666666666
victim_presence,exact_both_policy_unknown,adaptive_explore_exploit,720,2,0.5,0.6583333333333333,0.6583333333333333,0.620253164556962,123,351,9,237,0.3416666666666667,0.975,0.025
victim_presence,exact_both_policy_unknown,one_shot_candidate_cycle,720,2,0.5,0.6902777777777778,0.6902777777777778,0.6646609537613906,149,348,12,211,0.41388888888888886,0.9666666666666667,0.03333333333333333
victim_presence,exact_both_policy_unknown,one_shot_fixed,720,2,0.5,0.6777777777777778,0.6777777777777778,0.6439260225615839,133,355,5,227,0.36944444444444446,0.9861111111111112,0.013888888888888888
victim_presence,exact_both_policy_unknown,one_shot_knowledge_guided,720,2,0.5,0.6805555555555556,0.6805555555555556,0.6483150553436574,136,354,6,224,0.37777777777777777,0.9833333333333333,0.016666666666666666
victim_presence,logical_identifiers_only_policy_known,adaptive_explore_exploit,720,2,0.5,0.6583333333333333,0.6583333333333333,0.620253164556962,123,351,9,237,0.3416666666666667,0.975,0.025
victim_presence,logical_identifiers_only_policy_known,one_shot_candidate_cycle,720,2,0.5,0.6902777777777778,0.6902777777777778,0.6646609537613906,149,348,12,211,0.41388888888888886,0.9666666666666667,0.03333333333333333
victim_presence,logical_identifiers_only_policy_known,one_shot_fixed,720,2,0.5,0.6777777777777778,0.6777777777777778,0.6439260225615839,133,355,5,227,0.36944444444444446,0.9861111111111112,0.013888888888888888
victim_presence,logical_identifiers_only_policy_known,one_shot_knowledge_guided,720,2,0.5,0.6777777777777778,0.6777777777777778,0.6439260225615839,133,355,5,227,0.36944444444444446,0.9861111111111112,0.013888888888888888
victim_presence,logical_identifiers_only_policy_unknown,adaptive_explore_exploit,720,2,0.5,0.6583333333333333,0.6583333333333333,0.620253164556962,123,351,9,237,0.3416666666666667,0.975,0.025
victim_presence,logical_identifiers_only_policy_unknown,one_shot_candidate_cycle,720,2,0.5,0.6902777777777778,0.6902777777777778,0.6646609537613906,149,348,12,211,0.41388888888888886,0.9666666666666667,0.03333333333333333
victim_presence,logical_identifiers_only_policy_unknown,one_shot_fixed,720,2,0.5,0.6777777777777778,0.6777777777777778,0.6439260225615839,133,355,5,227,0.36944444444444446,0.9861111111111112,0.013888888888888888
victim_presence,logical_identifiers_only_policy_unknown,one_shot_knowledge_guided,720,2,0.5,0.6777777777777778,0.6777777777777778,0.6439260225615839,133,355,5,227,0.36944444444444446,0.9861111111111112,0.013888888888888888
