scope,sample_count,true_positive,true_negative,false_positive,false_negative,accuracy,balanced_accuracy,sensitivity_recall,specificity,precision,f1,subexperiment,allocation_policy,communication_qubits_per_module
policy,270,67,103,32,68,0.6296296296296297,0.6296296296296297,0.4962962962962963,0.762962962962963,0.6767676767676768,0.5726495726495726,reservation_reset,predicted_demand,
policy,270,98,95,40,37,0.7148148148148148,0.7148148148148148,0.725925925925926,0.7037037037037037,0.7101449275362319,0.7179487179487181,reservation_reset,priority_allocation,
policy,270,102,78,57,33,0.6666666666666666,0.6666666666666666,0.7555555555555555,0.5777777777777777,0.6415094339622641,0.6938775510204082,reservation_reset,random_allocation,
policy,270,107,92,43,28,0.737037037037037,0.737037037037037,0.7925925925925926,0.6814814814814815,0.7133333333333334,0.750877192982456,reservation_reset,round_robin,
policy,270,109,94,41,26,0.7518518518518519,0.7518518518518519,0.8074074074074075,0.6962962962962963,0.7266666666666667,0.7649122807017544,reservation_reset,shared_global_pool,
policy,270,45,90,45,90,0.5,0.5,0.3333333333333333,0.6666666666666666,0.5,0.4,reservation_reset,static_assignment,
capacity,1200,173,554,46,427,0.6058333333333333,0.6058333333333333,0.28833333333333333,0.9233333333333333,0.7899543378995434,0.4224664224664224,core_policy_capacity_tenancy,,1.0
capacity,1200,251,493,107,349,0.62,0.62,0.41833333333333333,0.8216666666666667,0.7011173184357542,0.5240083507306889,core_policy_capacity_tenancy,,2.0
capacity,1200,253,446,154,347,0.5825,0.5825,0.4216666666666667,0.7433333333333333,0.6216216216216216,0.5024826216484607,core_policy_capacity_tenancy,,4.0
capacity,1200,250,492,108,350,0.6183333333333333,0.6183333333333333,0.4166666666666667,0.82,0.6983240223463687,0.5219206680584552,core_policy_capacity_tenancy,,8.0
capacity,3600,1078,1266,534,722,0.6511111111111111,0.6511111111111112,0.5988888888888889,0.7033333333333334,0.6687344913151365,0.6318874560375146,epr_coordination_granularity,,2.0
capacity,2700,864,916,434,486,0.6592592592592592,0.6592592592592592,0.64,0.6785185185185185,0.6656394453004623,0.6525679758308157,reservation_reset,,2.0
