scheduler_policy,queue_depth,tenant_count,hub_capacity,link_capacity,communication_qubits_per_module,priority_profile,decision_interval_ns,lookahead_window_ns,preemption_allowed,epr_prefetch_enabled,trial_count,mean_remote_latency_ns,p95_remote_latency_ns,p99_remote_latency_ns,mean_queue_delay_ns,p95_queue_delay_ns,mean_positive_delay_fraction,mean_negative_speedup_fraction,mean_failure_transition_fraction,mean_observable_change_fraction,mean_signed_attacker_change_ns,mean_absolute_attacker_change_ns,mean_victim_slowdown_ratio_successful_only,victim_success_probability,tenant_success_fairness,tenant_wait_fairness,hub_utilization,link_utilization,communication_qubit_utilization,scheduler_reordering_rate,deadline_miss_fraction,mean_phase_boundary_visibility,mean_preemption_count,mean_epr_expiration_fraction,mean_queue_occupancy,mean_maximum_queue_occupancy,request_rejection_fraction
priority_scheduling,8,4,2,1,4,equal,20,500,False,False,15,226.38031927152653,677.8933333333327,945.8239999999997,110.66829641434794,564.0933333333327,0.0,0.0,0.375,0.375,0.0,0.0,,0.0,0.7817804060714515,0.645345482028599,0.21342108904389306,0.1341741613415332,0.04268421780877861,0.004190538131273762,0.3808244131474681,0.33043478260869563,0.0,0.0,0.37896269088282364,8.0,0.4344115004492363
priority_scheduling,8,4,2,1,8,equal,20,500,False,False,15,226.37994159416104,672.0133333333328,943.1533333333331,110.88262212423479,558.6799999999995,0.0,0.008333333333333333,0.375,0.38333333333333336,-0.611111111111111,0.611111111111111,,0.0,0.7486921692717813,0.644228304024574,0.20914739828397574,0.1300740730014075,0.020914739828397574,0.00486304190243981,0.4016425525244311,0.32822636300897173,0.0,0.0,0.3714327404785599,8.0,0.4519317160826595
priority_scheduling,32,4,2,1,1,equal,20,500,False,False,15,867.7498577944341,2589.393333333333,2921.6026666666667,752.9859344417764,2474.9599999999996,0.15,0.0013888888888888887,0.3111111111111111,0.4625,139.3,139.52222222222224,1.0177607112843134,0.4,0.8892529047859712,0.597273907028771,0.29397265998794947,0.17440369540324407,0.23517812799035953,0.02029830197615435,0.40006545941934935,0.7550085931929903,0.0,0.0,3.6454682629871358,24.866666666666667,0.23180592991913745
priority_scheduling,32,4,2,1,2,equal,20,500,False,False,15,703.465823686025,2396.6399999999994,2708.8940000000002,588.8964419113324,2283.756666666666,0.0125,0.0,0.2513888888888889,0.2638888888888889,6.916666666666667,6.916666666666667,1.0,0.4,0.9041860180175113,0.5490278748394883,0.2991636734631314,0.17580382369518227,0.11966546938525253,0.02902194748689096,0.3333767137353475,0.2559270516717325,0.0,0.0,3.0482222674089003,24.466666666666665,0.20664869721473494
priority_scheduling,32,4,2,1,4,equal,20,500,False,False,15,750.5791616772424,2390.783333333333,2676.0933333333332,635.9709372457459,2277.823333333333,0.0125,0.008333333333333333,0.3111111111111111,0.3319444444444445,6.388888888888888,7.333333333333333,1.0,0.4,0.8752659377718238,0.5523601221906426,0.2892348106544958,0.1707514274196558,0.05784696213089916,0.02693144957461924,0.35933151246813483,0.3458966565349544,0.0,0.0,3.08180354581487,24.466666666666665,0.23225516621743036
priority_scheduling,32,4,2,1,8,equal,20,500,False,False,15,654.9484675113854,2358.7433333333324,2713.276,540.5259193276587,2246.333333333333,0.013888888888888888,0.0,0.1277777777777778,0.14166666666666666,5.416666666666667,5.416666666666667,1.0,0.4,0.94766317506216,0.5572603701795213,0.3171632049212974,0.1847284127498061,0.03171632049212974,0.0254119544616934,0.29825292775956913,0.22127659574468084,0.0,0.0,3.034973185939083,24.4,0.16307277628032346
priority_scheduling,128,4,2,1,1,equal,20,500,False,False,15,1501.5358815917375,4452.08,4902.1286666666665,1387.4677869286522,4337.846666666666,0.2930555555555555,0.004166666666666667,0.0,0.2972222222222222,164.72222222222223,165.5,1.0225167852149644,1.0,1.0,0.620439726272123,0.3798090028500473,0.21445268747197585,0.30384720228003786,0.0436151166426518,0.3408460123052154,0.6817641626152265,0.0,0.0,11.234496739675821,41.733333333333334,0.0
priority_scheduling,128,4,2,1,2,equal,20,500,False,False,15,1075.27285424111,3548.3833333333328,3970.0413333333336,961.2047595780247,3435.516666666666,0.07361111111111111,0.0,0.0,0.07361111111111111,10.25,10.25,1.009408637081981,1.0,1.0,0.562671555679482,0.3750259410169205,0.21174081155737964,0.15001037640676823,0.04147629204281176,0.26721170706796893,0.23533204384268214,0.0,0.0,7.421162118179678,38.13333333333333,0.0
priority_scheduling,128,4,2,1,4,equal,20,500,False,False,15,1059.2356893850404,3496.169999999999,3898.095333333333,945.1675947219553,3383.0699999999993,0.07083333333333333,0.0,0.0,0.07083333333333333,15.722222222222223,15.722222222222223,1.0050696254136908,1.0,1.0,0.5578311171563474,0.3760487611911733,0.212234195704034,0.07520975223823467,0.041049082238325395,0.2632511890386653,0.16536796536796539,0.0,0.0,7.398102707864138,38.4,0.0
priority_scheduling,128,4,2,1,8,equal,20,500,False,False,15,1061.0419145555584,3486.166666666666,3919.949333333333,946.9738198924731,3375.3833333333328,0.07916666666666666,0.0,0.0,0.07916666666666666,16.25,16.25,1.006567459478972,1.0,1.0,0.5674145732334459,0.3751886524666167,0.21193386892578214,0.037518865246661676,0.0413172709941265,0.2598354677159231,0.17640232108317214,0.0,0.0,7.3129887436918475,38.666666666666664,0.0
