attacker_request_id,probe_id,window_name,observation_duration_ns,round_start_time_ns,request_release_time_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
39,39,window_40us_extended,40000,17380,17410,17410,17410,17520,110,0,110,module_3,module_4,55,0,110,17520,0,0,False
40,40,window_40us_extended,40000,17800,17830,17830,17830,17940,110,0,110,module_3,module_4,56,0,110,17940,0,0,False
41,41,window_40us_extended,40000,18220,18250,18250,18250,18360,110,0,110,module_3,module_4,57,0,110,18360,0,0,False
42,42,window_40us_extended,40000,18640,18670,18670,18670,18780,110,0,110,module_3,module_4,58,0,110,18780,0,0,False
43,43,window_40us_extended,40000,19060,19090,19090,19090,19200,110,0,110,module_3,module_4,59,0,110,19200,0,0,False
44,44,window_40us_extended,40000,19480,19510,19510,19510,19620,110,0,110,module_3,module_4,60,0,110,19620,0,0,False
45,45,window_40us_extended,40000,19900,19930,19930,19930,20040,110,0,110,module_3,module_4,61,0,110,20040,0,0,False
46,46,window_40us_extended,40000,20320,20350,20350,20350,20460,110,0,110,module_3,module_4,62,0,110,20460,0,0,False
47,47,window_40us_extended,40000,20740,20770,20770,20770,20880,110,0,110,module_3,module_4,63,0,110,20880,0,0,False
48,48,window_40us_extended,40000,21160,21190,21190,21190,21300,110,0,110,module_3,module_4,64,0,110,21300,0,0,False
49,49,window_40us_extended,40000,21580,21610,21610,21610,21720,110,0,110,module_3,module_4,65,0,110,21720,0,0,False
50,50,window_40us_extended,40000,22000,22030,22030,22030,22140,110,0,110,module_3,module_4,66,0,110,22140,0,0,False
51,51,window_40us_extended,40000,22420,22450,22450,22450,22560,110,0,110,module_3,module_4,67,0,110,22560,0,0,False
52,52,window_40us_extended,40000,22840,22870,22870,22870,22980,110,0,110,module_3,module_4,68,0,110,22980,0,0,False
53,53,window_40us_extended,40000,23260,23290,23290,23290,23400,110,0,110,module_3,module_4,69,0,110,23400,0,0,False
54,54,window_40us_extended,40000,23680,23710,23710,23710,23820,110,0,110,module_3,module_4,70,0,110,23820,0,0,False
55,55,window_40us_extended,40000,24100,24130,24130,24130,24240,110,0,110,module_3,module_4,71,0,110,24240,0,0,False
56,56,window_40us_extended,40000,24520,24550,24550,24550,24660,110,0,110,module_3,module_4,72,0,110,24660,0,0,False
57,57,window_40us_extended,40000,24940,24970,24970,24970,25080,110,0,110,module_3,module_4,73,0,110,25080,0,0,False
58,58,window_40us_extended,40000,25360,25390,25390,25390,25500,110,0,110,module_3,module_4,74,0,110,25500,0,0,False
59,59,window_40us_extended,40000,25780,25810,25810,25810,25920,110,0,110,module_3,module_4,75,0,110,25920,0,0,False
60,60,window_40us_extended,40000,26200,26230,26230,26230,26340,110,0,110,module_3,module_4,76,0,110,26340,0,0,False
61,61,window_40us_extended,40000,26620,26650,26650,26650,26760,110,0,110,module_3,module_4,77,0,110,26760,0,0,False
62,62,window_40us_extended,40000,27040,27070,27070,27070,27180,110,0,110,module_3,module_4,78,0,110,27180,0,0,False
63,63,window_40us_extended,40000,27460,27490,27490,27490,27600,110,0,110,module_3,module_4,79,0,110,27600,0,0,False
64,64,window_40us_extended,40000,27880,27910,27910,27910,28020,110,0,110,module_3,module_4,80,0,110,28020,0,0,False
65,65,window_40us_extended,40000,28300,28330,28330,28330,28440,110,0,110,module_3,module_4,81,0,110,28440,0,0,False
66,66,window_40us_extended,40000,28720,28750,28750,28750,28860,110,0,110,module_3,module_4,82,0,110,28860,0,0,False
67,67,window_40us_extended,40000,29140,29170,29170,29170,29280,110,0,110,module_3,module_4,83,0,110,29280,0,0,False
68,68,window_40us_extended,40000,29560,29590,29590,29590,29700,110,0,110,module_3,module_4,84,0,110,29700,0,0,False
