trace_id,protocol_context,probe_index,probe_region,release_ns,attacker_only_success,combined_success,attacker_only_completion_ns,combined_completion_ns,attacker_only_turnaround_ns,combined_turnaround_ns,excess_turnaround_ns,delayed,speedup,failure_transition
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,16,module_4,6750.0,True,True,6900.0,6900.0,150.0,150.0,0.0,False,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,17,module_2,7170.0,True,True,7320.0,7320.0,150.0,150.0,0.0,False,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,18,module_3,7590.0,True,True,7740.0,7740.0,150.0,150.0,0.0,False,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,19,module_1,8010.0,True,True,8160.0,8160.0,150.0,150.0,0.0,False,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,20,module_4,8430.0,True,True,8580.0,8580.0,150.0,150.0,0.0,False,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,21,module_3,8850.0,True,True,9000.0,9000.0,150.0,150.0,0.0,False,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,22,module_2,9270.0,True,True,9420.0,9617.918630268447,150.0,347.9186302684466,197.91863026844658,True,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,23,module_1,9690.0,True,True,9840.0,9840.0,150.0,150.0,0.0,False,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,24,module_2,10110.0,True,True,10260.0,10260.0,150.0,150.0,0.0,False,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,25,module_1,10530.0,True,True,10680.0,10680.0,150.0,150.0,0.0,False,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,26,module_3,10950.0,True,True,11100.0,11100.0,150.0,150.0,0.0,False,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,27,module_4,11370.0,True,True,11520.0,11520.0,150.0,150.0,0.0,False,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,28,module_3,11790.0,True,True,11940.0,11940.0,150.0,150.0,0.0,False,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,29,module_2,12210.0,True,True,12360.0,12548.989932728507,150.0,338.9899327285075,188.98993272850748,True,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,30,module_4,12630.0,True,True,12780.0,12780.0,150.0,150.0,0.0,False,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,31,module_1,13050.0,True,True,13200.0,13200.0,150.0,150.0,0.0,False,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,32,module_4,13470.0,True,True,13620.0,13620.0,150.0,150.0,0.0,False,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,33,module_2,13890.0,True,True,14040.0,14040.0,150.0,150.0,0.0,False,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,34,module_3,14310.0,True,True,14460.0,14460.0,150.0,150.0,0.0,False,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,35,module_1,14730.0,True,True,14880.0,14880.0,150.0,150.0,0.0,False,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,36,module_3,15150.0,True,True,15300.0,15300.0,150.0,150.0,0.0,False,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,37,module_4,15570.0,True,True,15720.0,15720.0,150.0,150.0,0.0,False,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,38,module_2,15990.0,True,True,16140.0,16140.0,150.0,150.0,0.0,False,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,39,module_1,16410.0,True,True,16560.0,16560.0,150.0,150.0,0.0,False,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,40,module_1,16830.0,True,True,16980.0,16980.0,150.0,150.0,0.0,False,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,41,module_4,17250.0,True,True,17400.0,17400.0,150.0,150.0,0.0,False,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,42,module_3,17670.0,True,True,17820.0,17820.0,150.0,150.0,0.0,False,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,43,module_2,18090.0,True,True,18240.0,18397.60235433542,150.0,307.6023543354204,157.6023543354204,True,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,44,module_3,18510.0,True,True,18660.0,18660.0,150.0,150.0,0.0,False,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,45,module_2,18930.0,True,True,19080.0,19080.0,150.0,150.0,0.0,False,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,46,module_1,19350.0,True,True,19500.0,19500.0,150.0,150.0,0.0,False,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,47,module_4,19770.0,True,True,19920.0,19920.0,150.0,150.0,0.0,False,False,False
50e0c05dd129d3e3bc0d,direct_coherent_all_shared_local_route,0,module_4,30.0,True,True,180.0,180.0,150.0,150.0,0.0,False,False,False
50e0c05dd129d3e3bc0d,direct_coherent_all_shared_local_route,1,module_3,450.0,True,True,600.0,838.9446280168349,150.0,388.94462801683494,238.94462801683494,True,False,False
50e0c05dd129d3e3bc0d,direct_coherent_all_shared_local_route,2,module_1,870.0,True,True,1020.0,1020.0,150.0,150.0,0.0,False,False,False
50e0c05dd129d3e3bc0d,direct_coherent_all_shared_local_route,3,module_2,1290.0,True,True,1440.0,1440.0,150.0,150.0,0.0,False,False,False
