protocol_context,spatial_mode,model_name,probe_budget,probes_per_region_nominal,sample_count,accuracy,balanced_accuracy,macro_f1,top2_accuracy
entanglement_assisted_all_shared_local_route,global_only_control,random_forest,16,4.0,48,0.25,0.25,0.24642857142857144,0.5
entanglement_assisted_all_shared_local_route,global_only_control,argmax_cumulative_positive,16,4.0,48,0.25,0.25,0.2125,
entanglement_assisted_all_shared_local_route,hybrid_local_global,random_forest,16,4.0,48,0.6875,0.6875,0.703654970760234,0.7916666666666666
entanglement_assisted_all_shared_local_route,hybrid_local_global,argmax_cumulative_positive,16,4.0,48,0.375,0.375,0.3527568922305764,
entanglement_assisted_all_shared_local_route,localized_only,random_forest,16,4.0,48,0.875,0.875,0.8806888763410503,0.9166666666666666
entanglement_assisted_all_shared_local_route,localized_only,argmax_cumulative_positive,16,4.0,48,0.6875,0.6875,0.6948443713149596,
direct_coherent_all_shared_local_route,global_only_control,random_forest,24,6.0,48,0.25,0.25,0.24642857142857144,0.5
direct_coherent_all_shared_local_route,global_only_control,argmax_cumulative_positive,24,6.0,48,0.25,0.25,0.24062499999999998,
direct_coherent_all_shared_local_route,hybrid_local_global,random_forest,24,6.0,48,0.8958333333333334,0.8958333333333333,0.8956383712905452,0.9166666666666666
direct_coherent_all_shared_local_route,hybrid_local_global,argmax_cumulative_positive,24,6.0,48,0.8958333333333334,0.8958333333333333,0.897226867335563,
direct_coherent_all_shared_local_route,localized_only,random_forest,24,6.0,48,0.9791666666666666,0.9791666666666666,0.9791304347826086,1.0
direct_coherent_all_shared_local_route,localized_only,argmax_cumulative_positive,24,6.0,48,0.9791666666666666,0.9791666666666666,0.9791304347826086,
entanglement_assisted_all_shared_local_route,global_only_control,random_forest,24,6.0,48,0.25,0.24999999999999997,0.24642857142857144,0.5
entanglement_assisted_all_shared_local_route,global_only_control,argmax_cumulative_positive,24,6.0,48,0.25,0.25,0.234375,
entanglement_assisted_all_shared_local_route,hybrid_local_global,random_forest,24,6.0,48,0.75,0.75,0.7561938061938063,0.8125
entanglement_assisted_all_shared_local_route,hybrid_local_global,argmax_cumulative_positive,24,6.0,48,0.3958333333333333,0.3958333333333333,0.38434829059829057,
entanglement_assisted_all_shared_local_route,localized_only,random_forest,24,6.0,48,0.8958333333333334,0.8958333333333334,0.8958441558441559,0.8958333333333334
entanglement_assisted_all_shared_local_route,localized_only,argmax_cumulative_positive,24,6.0,48,0.75,0.75,0.7566742944317315,
direct_coherent_all_shared_local_route,global_only_control,random_forest,32,8.0,48,0.25,0.25,0.24642857142857144,0.5
direct_coherent_all_shared_local_route,global_only_control,argmax_cumulative_positive,32,8.0,48,0.25,0.25,0.25,
direct_coherent_all_shared_local_route,hybrid_local_global,random_forest,32,8.0,48,0.9791666666666666,0.9791666666666666,0.9791304347826086,1.0
direct_coherent_all_shared_local_route,hybrid_local_global,argmax_cumulative_positive,32,8.0,48,0.9791666666666666,0.9791666666666666,0.9791304347826086,
direct_coherent_all_shared_local_route,localized_only,random_forest,32,8.0,48,1.0,1.0,1.0,1.0
direct_coherent_all_shared_local_route,localized_only,argmax_cumulative_positive,32,8.0,48,0.9791666666666666,0.9791666666666666,0.9791304347826086,
entanglement_assisted_all_shared_local_route,global_only_control,random_forest,32,8.0,48,0.25,0.25,0.21726190476190477,0.5
entanglement_assisted_all_shared_local_route,global_only_control,argmax_cumulative_positive,32,8.0,48,0.25,0.25,0.21205357142857142,
entanglement_assisted_all_shared_local_route,hybrid_local_global,random_forest,32,8.0,48,0.8958333333333334,0.8958333333333334,0.8971445221445222,0.8958333333333334
entanglement_assisted_all_shared_local_route,hybrid_local_global,argmax_cumulative_positive,32,8.0,48,0.4375,0.4375,0.4445512820512821,
entanglement_assisted_all_shared_local_route,localized_only,random_forest,32,8.0,48,1.0,1.0,1.0,1.0
entanglement_assisted_all_shared_local_route,localized_only,argmax_cumulative_positive,32,8.0,48,0.875,0.875,0.8806888763410503,
direct_coherent_all_shared_local_route,global_only_control,random_forest,40,10.0,48,0.25,0.25,0.25,0.5
direct_coherent_all_shared_local_route,global_only_control,argmax_cumulative_positive,40,10.0,48,0.25,0.25,0.25,
direct_coherent_all_shared_local_route,hybrid_local_global,random_forest,40,10.0,48,0.9791666666666666,0.9791666666666666,0.9791304347826086,1.0
direct_coherent_all_shared_local_route,hybrid_local_global,argmax_cumulative_positive,40,10.0,48,0.9375,0.9374999999999999,0.937463768115942,
direct_coherent_all_shared_local_route,localized_only,random_forest,40,10.0,48,1.0,1.0,1.0,1.0
direct_coherent_all_shared_local_route,localized_only,argmax_cumulative_positive,40,10.0,48,1.0,1.0,1.0,
entanglement_assisted_all_shared_local_route,global_only_control,random_forest,40,10.0,48,0.25,0.25,0.25,0.5
entanglement_assisted_all_shared_local_route,global_only_control,argmax_cumulative_positive,40,10.0,48,0.25,0.25,0.234375,
entanglement_assisted_all_shared_local_route,hybrid_local_global,random_forest,40,10.0,48,0.9583333333333334,0.9583333333333333,0.9582971014492753,0.9791666666666666
entanglement_assisted_all_shared_local_route,hybrid_local_global,argmax_cumulative_positive,40,10.0,48,0.4375,0.43750000000000006,0.44070512820512825,
entanglement_assisted_all_shared_local_route,localized_only,random_forest,40,10.0,48,1.0,1.0,1.0,1.0
entanglement_assisted_all_shared_local_route,localized_only,argmax_cumulative_positive,40,10.0,48,0.875,0.875,0.8806888763410503,
direct_coherent_all_shared_local_route,global_only_control,random_forest,48,12.0,48,0.25,0.25,0.23660714285714285,0.5
direct_coherent_all_shared_local_route,global_only_control,argmax_cumulative_positive,48,12.0,48,0.25,0.24999999999999997,0.23333333333333334,
direct_coherent_all_shared_local_route,hybrid_local_global,random_forest,48,12.0,48,0.9583333333333334,0.9583333333333333,0.9582608695652173,0.9791666666666666
direct_coherent_all_shared_local_route,hybrid_local_global,argmax_cumulative_positive,48,12.0,48,0.9583333333333334,0.9583333333333333,0.9582608695652173,
direct_coherent_all_shared_local_route,localized_only,random_forest,48,12.0,48,1.0,1.0,1.0,1.0
direct_coherent_all_shared_local_route,localized_only,argmax_cumulative_positive,48,12.0,48,1.0,1.0,1.0,
entanglement_assisted_all_shared_local_route,global_only_control,random_forest,48,12.0,48,0.25,0.25,0.24642857142857144,0.5
entanglement_assisted_all_shared_local_route,global_only_control,argmax_cumulative_positive,48,12.0,48,0.25,0.25,0.23660714285714285,
entanglement_assisted_all_shared_local_route,hybrid_local_global,random_forest,48,12.0,48,1.0,1.0,1.0,1.0
entanglement_assisted_all_shared_local_route,hybrid_local_global,argmax_cumulative_positive,48,12.0,48,0.4583333333333333,0.45833333333333337,0.4602777777777778,
entanglement_assisted_all_shared_local_route,localized_only,random_forest,48,12.0,48,1.0,1.0,1.0,1.0
entanglement_assisted_all_shared_local_route,localized_only,argmax_cumulative_positive,48,12.0,48,0.8958333333333334,0.8958333333333334,0.9005724410522012,
