allocation_policy,communication_qubits_per_module,tenants_sharing_module,trial_count,attacker_baseline_rejection_rate,attacker_combined_rejection_rate,victim_combined_rejection_rate,mean_request_failure_rate,mean_conflict_count,mean_redirected_endpoints
priority_allocation,8,2,15,0.0,0.0,0.0,0.0,213.8,0.0
priority_allocation,8,3,15,0.0,0.0,0.0,0.0,253.53333333333333,0.0
priority_allocation,8,4,15,0.0,0.0,0.0,0.0,451.6,0.0
priority_allocation,8,8,15,0.0,0.0,0.0,0.0,1157.0666666666666,0.0
random_allocation,1,2,15,0.0,0.0,0.0,0.27701265358518246,9284.8,0.0
random_allocation,1,3,15,0.0,0.0,0.0,0.31714255407149633,11978.133333333333,0.0
random_allocation,1,4,15,0.0,0.0,0.0,0.36119253801227236,15584.866666666667,0.0
random_allocation,1,8,15,0.0,0.0,0.0,0.4881496292991736,35838.6,0.0
random_allocation,2,2,15,0.0,0.0,0.0,0.0,6284.4,0.0
random_allocation,2,3,15,0.0,0.0,0.0,0.00036231884057971015,7408.533333333334,0.0
random_allocation,2,4,330,0.0,0.0,0.0,0.058394831530763906,10379.169696969697,0.0
random_allocation,2,8,15,0.0,0.0,0.0,0.08357301425445586,31861.533333333333,0.0
random_allocation,4,2,15,0.0,0.0,0.0,0.0,2527.266666666667,0.0
random_allocation,4,3,15,0.0,0.0,0.0,0.0,2846.6,0.0
random_allocation,4,4,15,0.0,0.0,0.0,0.0,3319.9333333333334,0.0
random_allocation,4,8,15,0.0,0.0,0.0,0.0,7586.466666666666,0.0
random_allocation,8,2,15,0.0,0.0,0.0,0.0,213.46666666666667,0.0
random_allocation,8,3,15,0.0,0.0,0.0,0.0,315.73333333333335,0.0
random_allocation,8,4,15,0.0,0.0,0.0,0.0,349.4,0.0
random_allocation,8,8,15,0.0,0.0,0.0,0.0,843.8666666666667,0.0
round_robin,1,2,15,0.0,0.0,0.0,0.27701265358518246,9284.8,0.0
round_robin,1,3,15,0.0,0.0,0.0,0.31623883092896726,11986.866666666667,0.0
round_robin,1,4,15,0.0,0.0,0.0,0.35240664437818137,15360.4,0.0
round_robin,1,8,15,0.0,0.0,0.0,0.48763915148339343,35788.46666666667,0.0
round_robin,2,2,15,0.0,0.0,0.0,0.0,6406.0,0.0
round_robin,2,3,15,0.0,0.0,0.0,0.0014492753623188406,7522.8,0.0
round_robin,2,4,330,0.0,0.0,0.0,0.06365424299551865,10458.939393939394,0.0
round_robin,2,8,15,0.0,0.0,0.0,0.08140629683918829,32193.266666666666,0.0
round_robin,4,2,15,0.0,0.0,0.0,0.0,2543.2,0.0
round_robin,4,3,15,0.0,0.0,0.0,0.0,2986.733333333333,0.0
round_robin,4,4,15,0.0,0.0,0.0,0.0,3227.3333333333335,0.0
round_robin,4,8,15,0.0,0.0,0.0,0.0,7338.733333333334,0.0
round_robin,8,2,15,0.0,0.0,0.0,0.0,213.8,0.0
round_robin,8,3,15,0.0,0.0,0.0,0.0,272.46666666666664,0.0
round_robin,8,4,15,0.0,0.0,0.0,0.0,421.73333333333335,0.0
round_robin,8,8,15,0.0,0.0,0.0,0.0,817.6,0.0
shared_global_pool,1,2,15,0.0,0.0,0.0,0.04634146341463415,8055.4,201.6
shared_global_pool,1,3,15,0.0,0.0,0.0,0.05018633540372671,9945.933333333332,238.66666666666666
shared_global_pool,1,4,15,0.0,0.0,0.0,0.05325163398692811,12353.866666666667,275.73333333333335
shared_global_pool,1,8,15,0.0,0.0,0.0,0.13488007397493726,34643.46666666667,389.06666666666666
shared_global_pool,2,2,15,0.0,0.0,0.0,0.0,2996.8,216.8
shared_global_pool,2,3,15,0.0,0.0,0.0,0.0,3674.733333333333,256.8
shared_global_pool,2,4,330,0.0,0.0,0.0,0.005208341890030695,4638.963636363636,295.06666666666666
shared_global_pool,2,8,15,0.0,0.0,0.0,0.0,8176.666666666667,456.8
shared_global_pool,4,2,15,0.0,0.0,0.0,0.0,182.8,216.8
shared_global_pool,4,3,15,0.0,0.0,0.0,0.0,308.8,256.8
shared_global_pool,4,4,15,0.0,0.0,0.0,0.0,473.2,296.8
shared_global_pool,4,8,15,0.0,0.0,0.0,0.0,1223.8,456.8
shared_global_pool,8,2,15,0.0,0.0,0.0,0.0,0.0,216.8
shared_global_pool,8,3,15,0.0,0.0,0.0,0.0,11.8,256.8
shared_global_pool,8,4,15,0.0,0.0,0.0,0.0,92.2,296.8
shared_global_pool,8,8,15,0.0,0.0,0.0,0.0,128.33333333333334,456.8
static_assignment,1,2,15,0.0,0.0,0.0,0.27701265358518246,9284.8,0.0
static_assignment,1,3,15,0.0,0.0,0.0,0.31970422612213656,12054.466666666667,0.0
static_assignment,1,4,15,0.0,0.0,0.0,0.34297601591956434,15160.866666666667,0.0
static_assignment,1,8,15,0.0,0.0,0.0,0.49119447453954496,35969.13333333333,0.0
static_assignment,2,2,15,0.0,0.0,0.0,0.04634146341463415,8528.8,0.0
static_assignment,2,3,15,0.0,0.0,0.0,0.04202898550724638,9967.733333333334,0.0
static_assignment,2,4,330,0.0,0.0,0.0,0.10828049603828023,13464.039393939394,0.0
static_assignment,2,8,15,0.0,0.0,0.0,0.1487312554731776,34829.8,0.0
static_assignment,4,2,15,0.0,0.0,0.0,0.04634146341463415,8528.8,0.0
