allocation_policy,communication_qubits_per_module,trial_count,mean_cq_queue_delay_ns,mean_excess_cq_queue_delay_ns,mean_excess_latency_ns,mean_detection_probability,mean_balanced_detection_accuracy,mean_conflict_count,mean_request_failure_rate,mean_cq_utilization,mean_reset_utilization,mean_allocation_hold_utilization,mean_reservation_utilization,mean_effective_cq_utilization,mean_epr_wastage_fraction,mean_grant_fairness,mean_wait_fairness,mean_victim_slowdown_ratio,mean_allocation_change_probability,mean_redirected_endpoints
random_allocation,8,60,0.0,0.0,0.0,0.0,0.5,430.6166666666667,0.0,0.03698863086522906,0.016813014029649572,0.0,0.17849878720446488,0.2323004320993435,0.0,0.8055181787340238,0.5790675875212081,1.0007617671997326,0.1284722222222222,0.0
round_robin,1,60,4.715277777777778,-1.3055555555555556,-1.3055555555555556,0.0,0.5,18105.133333333335,0.3583243200939311,0.1597168615642872,0.07259857343831236,0.0,0.46341388113893306,0.6957293161415325,0.0,0.6804330478958424,0.3063230107335938,0.5625673926251379,0.0,0.0
round_robin,2,60,1.8104166666666666,0.0,0.0,0.0,0.5,14066.5,0.021961850566716658,0.13719853967472231,0.06236297257941923,0.0,0.4778311198073049,0.6773926320614465,0.0,0.7889571238326915,0.30547088880437123,1.180081601611641,0.29375,0.0
round_robin,4,60,0.0,0.0,0.0,0.0,0.5,4024.0,0.0,0.07409366594348515,0.03367893906522053,0.0,0.3125952981417994,0.42036790315050515,0.0,0.8055181787340238,0.34043498044614806,1.0110096896574174,0.6822916666666666,0.0
round_robin,8,60,0.0,0.0,0.0,0.0,0.5,431.4,0.0,0.03696814361733556,0.016803701644243434,0.0,0.1812613727757658,0.23503321803734478,0.0,0.8055181787340238,0.5831764212748394,1.001119543290607,0.7701388888888889,0.0
shared_global_pool,1,60,179.99826388888889,178.39652777777778,178.39652777777778,0.06493055555555556,0.5324652777777777,16249.666666666666,0.07116487669505656,0.25525674707189866,0.1160257941235903,0.0,0.833749450552648,1.205031991748137,0.0,0.7999937226837704,0.393276366913523,1.534113844276847,0.8253472222222222,276.26666666666665
shared_global_pool,2,60,0.0,0.0,0.0,0.0,0.5,4723.233333333334,0.0,0.14820112647645348,0.06736414839838795,0.0,0.588262331563873,0.8038276064387143,0.0,0.8055181787340238,0.32989470497047063,1.111795271613995,0.8857638888888889,306.8
shared_global_pool,4,60,0.0,0.0,0.0,0.0,0.5,547.15,0.0,0.07411433743884119,0.03368833519947327,0.0,0.35507161334454046,0.4628742859828549,0.0,0.8055181787340238,0.5440710834466844,1.0320222770766483,0.95,306.8
shared_global_pool,8,60,0.0,0.0,0.0,0.0,0.5,58.083333333333336,0.0,0.037131119621366206,0.01687778164607555,0.0,0.2044953286668951,0.25850422993433686,0.0,0.8055181787340238,0.8604902663944948,1.0,0.9729166666666667,306.8
static_assignment,1,60,9.801041666666666,-0.8993055555555556,-0.8993055555555556,0.0,0.5,18117.316666666666,0.35772184254160705,0.1598318500815499,0.07265084094615903,0.0,0.4634236765116505,0.6959063675393594,0.0,0.6816361900364917,0.30755371033019946,0.5476752865376224,0.0,0.0
