allocation_policy,tenants_sharing_module,trial_count,mean_cq_queue_delay_ns,mean_excess_cq_queue_delay_ns,mean_excess_latency_ns,mean_detection_probability,mean_balanced_detection_accuracy,mean_conflict_count,mean_request_failure_rate,mean_cq_utilization,mean_reset_utilization,mean_allocation_hold_utilization,mean_reservation_utilization,mean_effective_cq_utilization,mean_epr_wastage_fraction,mean_grant_fairness,mean_wait_fairness,mean_victim_slowdown_ratio,mean_allocation_change_probability,mean_redirected_endpoints
first_available,4,375,69.86674444444445,50.26883333333333,50.26883333333333,0.034055555555555554,0.5170277777777778,9793.24,0.06725309752444476,0.11987683971893093,0.0689697866458938,0.025723530464222863,0.466741520631383,0.6813116774604306,0.0736986044538963,0.754950577324336,0.31656200316098293,1.1179307885575185,0.3441666666666667,0.0
first_available,8,60,13.583333333333334,0.08090277777777778,0.08090277777777778,0.0010416666666666667,0.5005208333333333,18976.0,0.14321681661107927,0.12480277087558496,0.056728532216174986,0.0,0.4355599751445494,0.6170912782363093,0.0,0.6725212627077968,0.18910440847867296,0.9343899804554459,0.564236111111111,0.0
per_tenant_reserved,2,60,0.0,0.0,0.0,0.25,0.625,8246.3,0.17059966990647352,0.07323639056385169,0.033289268438114396,0.0,0.1948626775467416,0.30138833654870767,0.0,0.8148290279287502,0.5005404361301273,1.0,1.0,0.0
per_tenant_reserved,3,60,0.0,0.0,0.0,0.25,0.625,8955.366666666667,0.22678947593613394,0.07363760789665312,0.03347163995302414,0.0,0.20308337256885434,0.31019262041853163,0.0,0.6501253776236703,0.5428671670638721,1.0,1.0,0.0
per_tenant_reserved,4,375,0.0,0.0,0.0,0.04,0.52,9845.176,0.3199116228426855,0.08890494682973799,0.050653556100010606,0.004329209130258035,0.26135263318173385,0.4052403452417405,0.04048507668744327,0.4780740178801015,0.7174428994663726,1.0,1.0,0.0
per_tenant_reserved,8,60,0.0,0.0,0.0,0.25,0.625,12204.183333333332,0.43926674172738794,0.07966834285953729,0.03621288311797149,0.0,0.23553130386994037,0.3514125298474492,0.0,0.38209868906160677,0.6865608125957822,1.0,1.0,0.0
predicted_demand,2,60,0.0,0.0,0.0,0.0,0.5,4535.9,0.06925316339629561,0.08697853476434904,0.039535697620158655,0.0,0.26849305879608026,0.3950072911805879,0.0,0.8928075390481245,0.5543234094236252,0.9179459614069312,0.0,0.0
predicted_demand,3,60,0.0,0.0,0.0,0.0,0.5,5577.016666666666,0.07879686166634577,0.09406144209511628,0.04275520095232559,0.0,0.296963789805892,0.4337804328533339,0.0,0.7862287998996886,0.47115865024741166,0.9252444144996218,0.0,0.0
predicted_demand,4,375,16.313166666666667,13.083555555555554,13.125222222222222,0.029944444444444444,0.5149722222222223,9604.805333333334,0.07430297981167051,0.11781513604729218,0.06868517293660915,0.028420187869762914,0.3895876271161665,0.6045081239698308,0.05343638411145898,0.7592896792018682,0.3192314309603615,1.1772962394615312,0.07405555555555556,0.0
predicted_demand,8,60,54.20694444444444,42.48263888888889,42.48263888888889,0.011458333333333333,0.5057291666666667,17945.65,0.14675561244119653,0.12443292644763157,0.0565604211125598,0.0,0.38566233223844837,0.5666556797986397,0.0,0.657826292502503,0.22253363703022663,0.9860385656304537,0.016666666666666666,0.0
priority_allocation,2,60,0.0,0.0,0.0,0.0,0.5,4611.35,0.06925316339629561,0.08697853476434904,0.039535697620158655,0.0,0.3114745683621092,0.43798880074661695,0.0,0.8928075390481245,0.5534682211451366,0.9179459614069312,0.5145833333333333,0.0
priority_allocation,3,60,1.1895833333333334,0.0,0.0,0.0,0.5,5699.516666666666,0.07946917645408885,0.09433263361772133,0.04287846982623697,0.0,0.3372701466265729,0.47448125007053116,0.0,0.7849425063656844,0.4447569278447844,0.9153302528916554,0.46388888888888885,0.0
priority_allocation,4,375,65.26978888888888,27.191,27.191,0.03261111111111111,0.5163055555555556,9865.149333333333,0.06250592933947773,0.1211419994173336,0.06978736295388506,0.025153829167451073,0.4670464243159896,0.6831296158546593,0.0752495604376836,0.7479974501161931,0.30457450925064955,1.118257844139283,0.3654444444444444,0.0
priority_allocation,8,60,63.27118055555556,57.237500000000004,57.237500000000004,0.018055555555555557,0.5090277777777777,18676.566666666666,0.1409434061634766,0.1250359651325779,0.05683452960571722,0.0,0.433613015511998,0.615483510250293,0.0,0.664481417797436,0.20203286494512238,0.9690550695654245,0.5302083333333333,0.0
