protocol_context,graph_mode,model_name,trace_id,graph_instance_id,repeat_id,true_boundary_count,predicted_boundary_count,matched_boundary_count,boundary_recall_within_tolerance,boundary_precision_within_tolerance,boundary_f1_within_tolerance,boundary_mae_ns,boundary_median_absolute_error_ns,boundary_mean_signed_error_ns,tolerance_ns
direct_coherent_dynamic_graph,edge_localized,random_forest,2c48640631273f0fd525,graph_0017,1,5,16,5,1.0,0.3125,0.47619047619047616,614.7864682537205,443.99261065119936,330.1860835533844,2520.0
direct_coherent_dynamic_graph,edge_localized,random_forest,39d40183ebb6306fa888,graph_0017,0,5,22,5,1.0,0.22727272727272727,0.37037037037037035,865.4852906174004,240.93077980618182,750.1860835533844,2520.0
direct_coherent_dynamic_graph,edge_localized,random_forest,54b27dc44db5be6d11bd,graph_0006,1,3,18,2,0.6666666666666666,0.1111111111111111,0.1904761904761905,1291.1068336059016,1291.1068336059016,1291.1068336059016,2520.0
direct_coherent_dynamic_graph,edge_localized,random_forest,834caa9a11b06852f61c,graph_0022,0,4,17,3,0.75,0.17647058823529413,0.2857142857142857,1087.6141580796648,582.6742874509,385.32153455442193,2520.0
direct_coherent_dynamic_graph,edge_localized,random_forest,9a33b91ff840bb32f788,graph_0013,1,4,14,3,0.75,0.21428571428571427,0.3333333333333333,141.34195524994297,123.35934409616675,-124.62542177591665,2520.0
direct_coherent_dynamic_graph,edge_localized,random_forest,9e13fc54fd19cf70187e,graph_0029,1,5,15,5,1.0,0.3333333333333333,0.5,915.4897488841865,878.8362751120685,-24.176230379641673,2520.0
direct_coherent_dynamic_graph,edge_localized,random_forest,a946f7644cc70534c101,graph_0022,1,4,24,4,1.0,0.16666666666666666,0.2857142857142857,1013.2281987845831,659.3194455570829,-118.10894494086688,2520.0
direct_coherent_dynamic_graph,edge_localized,random_forest,b9606cb8f4f3620cb8fc,graph_0016,0,4,27,4,1.0,0.14814814814814814,0.25806451612903225,924.6630917954324,1019.6099231616731,924.6630917954324,2520.0
direct_coherent_dynamic_graph,edge_localized,random_forest,c6ec899d5b48f5400370,graph_0005,1,5,21,5,1.0,0.23809523809523808,0.3846153846153846,374.78545490255635,273.5997619003756,-183.63238432874496,2520.0
direct_coherent_dynamic_graph,edge_localized,random_forest,d9e49aa10dcecba43f8c,graph_0013,0,4,13,4,1.0,0.3076923076923077,0.47058823529411764,1184.23738621053,1309.1422719425636,-272.0332469318414,2520.0
direct_coherent_dynamic_graph,edge_localized,random_forest,e0d0a47c0fd12f5ab960,graph_0006,0,3,20,2,0.6666666666666666,0.1,0.1739130434782609,1711.1068336059016,1711.1068336059016,1711.1068336059016,2520.0
direct_coherent_dynamic_graph,edge_localized,random_forest,e354edca84bb4c2355af,graph_0024,1,3,21,2,0.6666666666666666,0.09523809523809523,0.16666666666666666,899.7359150322545,899.7359150322545,799.743845676533,2520.0
direct_coherent_dynamic_graph,edge_localized,random_forest,ea328e273ee965310c89,graph_0024,0,3,16,3,1.0,0.1875,0.3157894736842105,1289.489308851106,1428.9802352002516,1289.489308851106,2520.0
direct_coherent_dynamic_graph,global_only_control,hist_gradient_boosting,00a544660bf4e3f03197,graph_0006,1,3,16,3,1.0,0.1875,0.3157894736842105,1651.8839721600389,2279.673531354136,1651.8839721600389,2520.0
direct_coherent_dynamic_graph,global_only_control,hist_gradient_boosting,131f67e96845c062fc0e,graph_0016,1,4,22,3,0.75,0.13636363636363635,0.23076923076923075,700.4476906700884,408.82113161963935,263.46623823456895,2520.0
direct_coherent_dynamic_graph,global_only_control,hist_gradient_boosting,1e7813be7f76e60f60d4,graph_0003,0,3,12,3,1.0,0.25,0.4,1191.3986582308778,977.9449055461846,52.20258791923819,2520.0
direct_coherent_dynamic_graph,global_only_control,hist_gradient_boosting,2b795abbe75dc56a8e61,graph_0024,0,3,18,3,1.0,0.16666666666666666,0.2857142857142857,1303.849311578413,1511.0197647997484,29.489308851105914,2520.0
direct_coherent_dynamic_graph,global_only_control,hist_gradient_boosting,2bcf1e191ed0f0941f3e,graph_0017,0,5,32,5,1.0,0.15625,0.2702702702702703,459.15878017619326,238.4387688665629,414.1860835533844,2520.0
direct_coherent_dynamic_graph,global_only_control,hist_gradient_boosting,42084c12f1e78fcf4e73,graph_0006,0,3,20,3,1.0,0.15,0.2608695652173913,1252.1016179239484,1533.4382492683135,811.8839721600389,2520.0
direct_coherent_dynamic_graph,global_only_control,hist_gradient_boosting,8f8bd18a53d26ec7012c,graph_0022,0,4,20,4,1.0,0.2,0.33333333333333337,406.4735706909819,393.364625750115,-13.108944940866877,2520.0
direct_coherent_dynamic_graph,global_only_control,hist_gradient_boosting,a557848dc5a0b06da16a,graph_0005,0,5,27,5,1.0,0.18518518518518517,0.3125,572.8938327354881,567.715780760207,68.36761567125504,2520.0
direct_coherent_dynamic_graph,global_only_control,hist_gradient_boosting,bc3c494be0302c76283a,graph_0029,1,5,26,4,0.8,0.15384615384615385,0.25806451612903225,496.05013137705805,217.27807352204218,304.77297490336036,2520.0
direct_coherent_dynamic_graph,global_only_control,hist_gradient_boosting,c7c7968ca94d32dc5fb7,graph_0005,1,5,15,4,0.8,0.26666666666666666,0.4,1131.8700605775853,1066.0102743370126,-1120.940094709615,2520.0
