trace_id,protocol_context,probe_index,probe_edge,release_ns,attacker_only_success,combined_success,attacker_only_completion_ns,combined_completion_ns,attacker_only_turnaround_ns,combined_turnaround_ns,excess_turnaround_ns,delayed,speedup,failure_transition
367cf358963db8b6ca74,direct_coherent_dynamic_graph,62,module_2--module_3,26070.0,True,True,26220.0,26220.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,63,module_1--module_2,26490.0,True,True,26640.0,26640.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,64,module_1--module_3,26910.0,True,True,27060.0,27060.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,65,module_3--module_4,27330.0,True,True,27480.0,27480.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,66,module_3--module_4,27750.0,True,True,27900.0,27900.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,67,module_2--module_3,28170.0,True,True,28320.0,28320.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,68,module_1--module_3,28590.0,True,True,28740.0,28740.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,69,module_2--module_4,29010.0,True,True,29160.0,29426.092929767525,150.0,416.09292976752477,266.09292976752477,True,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,70,module_1--module_4,29430.0,True,True,29580.0,29580.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,71,module_1--module_2,29850.0,True,True,30000.0,30000.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,72,module_1--module_2,30270.0,True,True,30420.0,30420.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,73,module_2--module_3,30690.0,True,True,30840.0,30840.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,74,module_1--module_4,31110.0,True,True,31260.0,31260.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,75,module_3--module_4,31530.0,True,True,31680.0,31680.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,76,module_2--module_4,31950.0,True,True,32100.0,32100.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,77,module_1--module_3,32370.0,True,True,32520.0,32520.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,78,module_1--module_4,32790.0,True,True,32940.0,32940.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,79,module_2--module_4,33210.0,True,True,33360.0,33360.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,80,module_1--module_2,33630.0,True,True,33780.0,33780.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,81,module_1--module_3,34050.0,True,True,34200.0,34200.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,82,module_2--module_3,34470.0,True,True,34620.0,34620.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,83,module_3--module_4,34890.0,True,True,35040.0,35040.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,84,module_1--module_4,35310.0,True,True,35460.0,35460.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,85,module_1--module_2,35730.0,True,True,35880.0,35880.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,86,module_2--module_3,36150.0,True,True,36300.0,36300.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,87,module_1--module_3,36570.0,True,True,36720.0,36720.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,88,module_3--module_4,36990.0,True,True,37140.0,37140.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,89,module_2--module_4,37410.0,True,True,37560.0,37560.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,90,module_2--module_3,37830.0,True,True,37980.0,37980.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,91,module_1--module_3,38250.0,True,True,38400.0,38400.0,150.0,150.0,0.0,False,False,False
