protocol_context,graph_mode,remote_profile,true_active_edge,probe_edge,probe_count,mean_excess_ns,mean_abs_excess_ns,mean_positive_excess_ns,delayed_fraction,speedup_fraction,failure_transition_fraction
direct_coherent_dynamic_graph,edge_localized,synchronization_bursty,module_3--module_4,module_1--module_2,6,0.0,0.0,0.0,0.0,0.0,0.0
direct_coherent_dynamic_graph,edge_localized,synchronization_bursty,module_3--module_4,module_1--module_3,4,0.0,0.0,0.0,0.0,0.0,0.0
direct_coherent_dynamic_graph,edge_localized,synchronization_bursty,module_3--module_4,module_1--module_4,5,0.0,0.0,0.0,0.0,0.0,0.0
direct_coherent_dynamic_graph,edge_localized,synchronization_bursty,module_3--module_4,module_2--module_3,6,0.0,0.0,0.0,0.0,0.0,0.0
direct_coherent_dynamic_graph,edge_localized,synchronization_bursty,module_3--module_4,module_2--module_4,5,0.0,0.0,0.0,0.0,0.0,0.0
direct_coherent_dynamic_graph,edge_localized,synchronization_bursty,module_3--module_4,module_3--module_4,6,292.76984705963577,292.76984705963577,292.76984705963577,0.6666666666666666,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,dense_periodic,module_1--module_3,module_1--module_2,27,9.506229216983936,9.506229216983936,9.506229216983936,0.14814814814814814,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,dense_periodic,module_1--module_3,module_1--module_3,28,7.885783282775078,7.885783282775078,7.885783282775078,0.17857142857142858,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,dense_periodic,module_1--module_3,module_1--module_4,28,7.083204762141544,7.083204762141544,7.083204762141544,0.17857142857142858,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,dense_periodic,module_1--module_3,module_2--module_3,26,7.4892487986025325,7.4892487986025325,7.4892487986025325,0.15384615384615385,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,dense_periodic,module_1--module_3,module_2--module_4,23,6.729023339527272,6.729023339527272,6.729023339527272,0.13043478260869565,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,dense_periodic,module_1--module_3,module_3--module_4,28,11.325246412862766,11.325246412862766,11.325246412862766,0.21428571428571427,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,dense_periodic,module_2--module_3,module_1--module_2,4,0.0,0.0,0.0,0.0,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,dense_periodic,module_2--module_3,module_1--module_3,6,2.762253359621051,2.762253359621051,2.762253359621051,0.16666666666666666,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,dense_periodic,module_2--module_3,module_1--module_4,5,40.205322259780225,40.205322259780225,40.205322259780225,0.6,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,dense_periodic,module_2--module_3,module_2--module_3,6,0.0,0.0,0.0,0.0,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,dense_periodic,module_2--module_3,module_2--module_4,5,0.0,0.0,0.0,0.0,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,dense_periodic,module_2--module_3,module_3--module_4,4,0.0,0.0,0.0,0.0,0.0,0.0
