protocol_context,graph_mode,model_name,true_state_label,predicted_state_label,count,true_normalized_fraction
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,no_remote,module_2--module_4,94,0.12947658402203857
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,no_remote,module_3--module_4,65,0.08953168044077135
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,module_1--module_2,no_remote,55,0.41044776119402987
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,module_1--module_2,module_1--module_2,62,0.4626865671641791
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,module_1--module_2,module_1--module_3,1,0.007462686567164179
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,module_1--module_2,module_1--module_4,2,0.014925373134328358
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,module_1--module_2,module_2--module_3,3,0.022388059701492536
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,module_1--module_2,module_2--module_4,11,0.08208955223880597
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,module_1--module_2,module_3--module_4,0,0.0
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,module_1--module_3,no_remote,105,0.3723404255319149
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,module_1--module_3,module_1--module_2,8,0.028368794326241134
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,module_1--module_3,module_1--module_3,109,0.38652482269503546
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,module_1--module_3,module_1--module_4,17,0.06028368794326241
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,module_1--module_3,module_2--module_3,4,0.014184397163120567
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,module_1--module_3,module_2--module_4,37,0.13120567375886524
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,module_1--module_3,module_3--module_4,2,0.0070921985815602835
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,module_1--module_4,no_remote,58,0.34523809523809523
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,module_1--module_4,module_1--module_2,1,0.005952380952380952
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,module_1--module_4,module_1--module_3,5,0.02976190476190476
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,module_1--module_4,module_1--module_4,88,0.5238095238095238
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,module_1--module_4,module_2--module_3,14,0.08333333333333333
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,module_1--module_4,module_2--module_4,1,0.005952380952380952
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,module_1--module_4,module_3--module_4,1,0.005952380952380952
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,module_2--module_3,no_remote,73,0.35096153846153844
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,module_2--module_3,module_1--module_2,0,0.0
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,module_2--module_3,module_1--module_3,1,0.004807692307692308
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,module_2--module_3,module_1--module_4,1,0.004807692307692308
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,module_2--module_3,module_2--module_3,129,0.6201923076923077
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,module_2--module_3,module_2--module_4,1,0.004807692307692308
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,module_2--module_3,module_3--module_4,3,0.014423076923076924
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,module_2--module_4,no_remote,23,0.4791666666666667
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,module_2--module_4,module_1--module_2,0,0.0
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,module_2--module_4,module_1--module_3,0,0.0
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,module_2--module_4,module_1--module_4,0,0.0
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,module_2--module_4,module_2--module_3,0,0.0
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,module_2--module_4,module_2--module_4,25,0.5208333333333334
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,module_2--module_4,module_3--module_4,0,0.0
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,module_3--module_4,no_remote,49,0.30246913580246915
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,module_3--module_4,module_1--module_2,2,0.012345679012345678
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,module_3--module_4,module_1--module_3,5,0.030864197530864196
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,module_3--module_4,module_1--module_4,1,0.006172839506172839
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,module_3--module_4,module_2--module_3,26,0.16049382716049382
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,module_3--module_4,module_2--module_4,2,0.012345679012345678
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,module_3--module_4,module_3--module_4,77,0.47530864197530864
direct_coherent_dynamic_graph,global_only_control,logistic_regression,no_remote,no_remote,468,0.6446280991735537
direct_coherent_dynamic_graph,global_only_control,logistic_regression,no_remote,module_1--module_2,32,0.0440771349862259
direct_coherent_dynamic_graph,global_only_control,logistic_regression,no_remote,module_1--module_3,32,0.0440771349862259
direct_coherent_dynamic_graph,global_only_control,logistic_regression,no_remote,module_1--module_4,37,0.05096418732782369
direct_coherent_dynamic_graph,global_only_control,logistic_regression,no_remote,module_2--module_3,74,0.10192837465564739
direct_coherent_dynamic_graph,global_only_control,logistic_regression,no_remote,module_2--module_4,27,0.0371900826446281
direct_coherent_dynamic_graph,global_only_control,logistic_regression,no_remote,module_3--module_4,56,0.07713498622589532
direct_coherent_dynamic_graph,global_only_control,logistic_regression,module_1--module_2,no_remote,33,0.2462686567164179
direct_coherent_dynamic_graph,global_only_control,logistic_regression,module_1--module_2,module_1--module_2,18,0.13432835820895522
direct_coherent_dynamic_graph,global_only_control,logistic_regression,module_1--module_2,module_1--module_3,8,0.05970149253731343
direct_coherent_dynamic_graph,global_only_control,logistic_regression,module_1--module_2,module_1--module_4,10,0.07462686567164178
direct_coherent_dynamic_graph,global_only_control,logistic_regression,module_1--module_2,module_2--module_3,29,0.21641791044776118
direct_coherent_dynamic_graph,global_only_control,logistic_regression,module_1--module_2,module_2--module_4,7,0.05223880597014925
direct_coherent_dynamic_graph,global_only_control,logistic_regression,module_1--module_2,module_3--module_4,29,0.21641791044776118
direct_coherent_dynamic_graph,global_only_control,logistic_regression,module_1--module_3,no_remote,116,0.41134751773049644
direct_coherent_dynamic_graph,global_only_control,logistic_regression,module_1--module_3,module_1--module_2,40,0.14184397163120568
direct_coherent_dynamic_graph,global_only_control,logistic_regression,module_1--module_3,module_1--module_3,45,0.1595744680851064
direct_coherent_dynamic_graph,global_only_control,logistic_regression,module_1--module_3,module_1--module_4,17,0.06028368794326241
direct_coherent_dynamic_graph,global_only_control,logistic_regression,module_1--module_3,module_2--module_3,32,0.11347517730496454
direct_coherent_dynamic_graph,global_only_control,logistic_regression,module_1--module_3,module_2--module_4,3,0.010638297872340425
direct_coherent_dynamic_graph,global_only_control,logistic_regression,module_1--module_3,module_3--module_4,29,0.10283687943262411
direct_coherent_dynamic_graph,global_only_control,logistic_regression,module_1--module_4,no_remote,53,0.31547619047619047
direct_coherent_dynamic_graph,global_only_control,logistic_regression,module_1--module_4,module_1--module_2,15,0.08928571428571429
direct_coherent_dynamic_graph,global_only_control,logistic_regression,module_1--module_4,module_1--module_3,15,0.08928571428571429
direct_coherent_dynamic_graph,global_only_control,logistic_regression,module_1--module_4,module_1--module_4,24,0.14285714285714285
direct_coherent_dynamic_graph,global_only_control,logistic_regression,module_1--module_4,module_2--module_3,33,0.19642857142857142
direct_coherent_dynamic_graph,global_only_control,logistic_regression,module_1--module_4,module_2--module_4,20,0.11904761904761904
direct_coherent_dynamic_graph,global_only_control,logistic_regression,module_1--module_4,module_3--module_4,8,0.047619047619047616
direct_coherent_dynamic_graph,global_only_control,logistic_regression,module_2--module_3,no_remote,34,0.16346153846153846
direct_coherent_dynamic_graph,global_only_control,logistic_regression,module_2--module_3,module_1--module_2,50,0.2403846153846154
direct_coherent_dynamic_graph,global_only_control,logistic_regression,module_2--module_3,module_1--module_3,26,0.125
direct_coherent_dynamic_graph,global_only_control,logistic_regression,module_2--module_3,module_1--module_4,21,0.10096153846153846
direct_coherent_dynamic_graph,global_only_control,logistic_regression,module_2--module_3,module_2--module_3,20,0.09615384615384616
direct_coherent_dynamic_graph,global_only_control,logistic_regression,module_2--module_3,module_2--module_4,31,0.14903846153846154
direct_coherent_dynamic_graph,global_only_control,logistic_regression,module_2--module_3,module_3--module_4,26,0.125
direct_coherent_dynamic_graph,global_only_control,logistic_regression,module_2--module_4,no_remote,17,0.3541666666666667
direct_coherent_dynamic_graph,global_only_control,logistic_regression,module_2--module_4,module_1--module_2,3,0.0625
direct_coherent_dynamic_graph,global_only_control,logistic_regression,module_2--module_4,module_1--module_3,7,0.14583333333333334
direct_coherent_dynamic_graph,global_only_control,logistic_regression,module_2--module_4,module_1--module_4,5,0.10416666666666667
direct_coherent_dynamic_graph,global_only_control,logistic_regression,module_2--module_4,module_2--module_3,7,0.14583333333333334
direct_coherent_dynamic_graph,global_only_control,logistic_regression,module_2--module_4,module_2--module_4,0,0.0
direct_coherent_dynamic_graph,global_only_control,logistic_regression,module_2--module_4,module_3--module_4,9,0.1875
direct_coherent_dynamic_graph,global_only_control,logistic_regression,module_3--module_4,no_remote,50,0.30864197530864196
direct_coherent_dynamic_graph,global_only_control,logistic_regression,module_3--module_4,module_1--module_2,30,0.18518518518518517
direct_coherent_dynamic_graph,global_only_control,logistic_regression,module_3--module_4,module_1--module_3,14,0.08641975308641975
direct_coherent_dynamic_graph,global_only_control,logistic_regression,module_3--module_4,module_1--module_4,20,0.12345679012345678
direct_coherent_dynamic_graph,global_only_control,logistic_regression,module_3--module_4,module_2--module_3,19,0.11728395061728394
direct_coherent_dynamic_graph,global_only_control,logistic_regression,module_3--module_4,module_2--module_4,14,0.08641975308641975
direct_coherent_dynamic_graph,global_only_control,logistic_regression,module_3--module_4,module_3--module_4,15,0.09259259259259259
direct_coherent_dynamic_graph,global_only_control,random_forest,no_remote,no_remote,518,0.7134986225895317
direct_coherent_dynamic_graph,global_only_control,random_forest,no_remote,module_1--module_2,31,0.04269972451790634
direct_coherent_dynamic_graph,global_only_control,random_forest,no_remote,module_1--module_3,28,0.03856749311294766
direct_coherent_dynamic_graph,global_only_control,random_forest,no_remote,module_1--module_4,5,0.006887052341597796
direct_coherent_dynamic_graph,global_only_control,random_forest,no_remote,module_2--module_3,67,0.09228650137741047
direct_coherent_dynamic_graph,global_only_control,random_forest,no_remote,module_2--module_4,37,0.05096418732782369
direct_coherent_dynamic_graph,global_only_control,random_forest,no_remote,module_3--module_4,40,0.05509641873278237
direct_coherent_dynamic_graph,global_only_control,random_forest,module_1--module_2,no_remote,42,0.31343283582089554
direct_coherent_dynamic_graph,global_only_control,random_forest,module_1--module_2,module_1--module_2,11,0.08208955223880597
direct_coherent_dynamic_graph,global_only_control,random_forest,module_1--module_2,module_1--module_3,12,0.08955223880597014
direct_coherent_dynamic_graph,global_only_control,random_forest,module_1--module_2,module_1--module_4,2,0.014925373134328358
direct_coherent_dynamic_graph,global_only_control,random_forest,module_1--module_2,module_2--module_3,18,0.13432835820895522
direct_coherent_dynamic_graph,global_only_control,random_forest,module_1--module_2,module_2--module_4,27,0.20149253731343283
direct_coherent_dynamic_graph,global_only_control,random_forest,module_1--module_2,module_3--module_4,22,0.16417910447761194
direct_coherent_dynamic_graph,global_only_control,random_forest,module_1--module_3,no_remote,109,0.38652482269503546
direct_coherent_dynamic_graph,global_only_control,random_forest,module_1--module_3,module_1--module_2,15,0.05319148936170213
direct_coherent_dynamic_graph,global_only_control,random_forest,module_1--module_3,module_1--module_3,50,0.1773049645390071
direct_coherent_dynamic_graph,global_only_control,random_forest,module_1--module_3,module_1--module_4,16,0.05673758865248227
direct_coherent_dynamic_graph,global_only_control,random_forest,module_1--module_3,module_2--module_3,19,0.0673758865248227
direct_coherent_dynamic_graph,global_only_control,random_forest,module_1--module_3,module_2--module_4,39,0.13829787234042554
direct_coherent_dynamic_graph,global_only_control,random_forest,module_1--module_3,module_3--module_4,34,0.12056737588652482
direct_coherent_dynamic_graph,global_only_control,random_forest,module_1--module_4,no_remote,57,0.3392857142857143
direct_coherent_dynamic_graph,global_only_control,random_forest,module_1--module_4,module_1--module_2,7,0.041666666666666664
direct_coherent_dynamic_graph,global_only_control,random_forest,module_1--module_4,module_1--module_3,41,0.24404761904761904
direct_coherent_dynamic_graph,global_only_control,random_forest,module_1--module_4,module_1--module_4,10,0.05952380952380952
direct_coherent_dynamic_graph,global_only_control,random_forest,module_1--module_4,module_2--module_3,37,0.22023809523809523
direct_coherent_dynamic_graph,global_only_control,random_forest,module_1--module_4,module_2--module_4,13,0.07738095238095238
direct_coherent_dynamic_graph,global_only_control,random_forest,module_1--module_4,module_3--module_4,3,0.017857142857142856
direct_coherent_dynamic_graph,global_only_control,random_forest,module_2--module_3,no_remote,38,0.18269230769230768
direct_coherent_dynamic_graph,global_only_control,random_forest,module_2--module_3,module_1--module_2,18,0.08653846153846154
direct_coherent_dynamic_graph,global_only_control,random_forest,module_2--module_3,module_1--module_3,25,0.1201923076923077
direct_coherent_dynamic_graph,global_only_control,random_forest,module_2--module_3,module_1--module_4,12,0.057692307692307696
direct_coherent_dynamic_graph,global_only_control,random_forest,module_2--module_3,module_2--module_3,47,0.22596153846153846
direct_coherent_dynamic_graph,global_only_control,random_forest,module_2--module_3,module_2--module_4,50,0.2403846153846154
direct_coherent_dynamic_graph,global_only_control,random_forest,module_2--module_3,module_3--module_4,18,0.08653846153846154
direct_coherent_dynamic_graph,global_only_control,random_forest,module_2--module_4,no_remote,17,0.3541666666666667
direct_coherent_dynamic_graph,global_only_control,random_forest,module_2--module_4,module_1--module_2,7,0.14583333333333334
direct_coherent_dynamic_graph,global_only_control,random_forest,module_2--module_4,module_1--module_3,7,0.14583333333333334
direct_coherent_dynamic_graph,global_only_control,random_forest,module_2--module_4,module_1--module_4,10,0.20833333333333334
direct_coherent_dynamic_graph,global_only_control,random_forest,module_2--module_4,module_2--module_3,1,0.020833333333333332
direct_coherent_dynamic_graph,global_only_control,random_forest,module_2--module_4,module_2--module_4,1,0.020833333333333332
direct_coherent_dynamic_graph,global_only_control,random_forest,module_2--module_4,module_3--module_4,5,0.10416666666666667
direct_coherent_dynamic_graph,global_only_control,random_forest,module_3--module_4,no_remote,47,0.29012345679012347
direct_coherent_dynamic_graph,global_only_control,random_forest,module_3--module_4,module_1--module_2,9,0.05555555555555555
direct_coherent_dynamic_graph,global_only_control,random_forest,module_3--module_4,module_1--module_3,41,0.25308641975308643
direct_coherent_dynamic_graph,global_only_control,random_forest,module_3--module_4,module_1--module_4,0,0.0
direct_coherent_dynamic_graph,global_only_control,random_forest,module_3--module_4,module_2--module_3,19,0.11728395061728394
direct_coherent_dynamic_graph,global_only_control,random_forest,module_3--module_4,module_2--module_4,32,0.19753086419753085
direct_coherent_dynamic_graph,global_only_control,random_forest,module_3--module_4,module_3--module_4,14,0.08641975308641975
direct_coherent_dynamic_graph,global_only_control,hist_gradient_boosting,no_remote,no_remote,513,0.7066115702479339
direct_coherent_dynamic_graph,global_only_control,hist_gradient_boosting,no_remote,module_1--module_2,41,0.05647382920110193
direct_coherent_dynamic_graph,global_only_control,hist_gradient_boosting,no_remote,module_1--module_3,43,0.05922865013774105
direct_coherent_dynamic_graph,global_only_control,hist_gradient_boosting,no_remote,module_1--module_4,14,0.01928374655647383
direct_coherent_dynamic_graph,global_only_control,hist_gradient_boosting,no_remote,module_2--module_3,40,0.05509641873278237
direct_coherent_dynamic_graph,global_only_control,hist_gradient_boosting,no_remote,module_2--module_4,42,0.05785123966942149
direct_coherent_dynamic_graph,global_only_control,hist_gradient_boosting,no_remote,module_3--module_4,33,0.045454545454545456
direct_coherent_dynamic_graph,global_only_control,hist_gradient_boosting,module_1--module_2,no_remote,36,0.26865671641791045
direct_coherent_dynamic_graph,global_only_control,hist_gradient_boosting,module_1--module_2,module_1--module_2,19,0.1417910447761194
direct_coherent_dynamic_graph,global_only_control,hist_gradient_boosting,module_1--module_2,module_1--module_3,21,0.15671641791044777
direct_coherent_dynamic_graph,global_only_control,hist_gradient_boosting,module_1--module_2,module_1--module_4,2,0.014925373134328358
direct_coherent_dynamic_graph,global_only_control,hist_gradient_boosting,module_1--module_2,module_2--module_3,14,0.1044776119402985
direct_coherent_dynamic_graph,global_only_control,hist_gradient_boosting,module_1--module_2,module_2--module_4,26,0.19402985074626866
