graph_instance_id,repeat_id,phase_index,active_edge,remote_profile,phase_local_request_index,victim_request_index,release_ns,protocol_context,graph_mode
graph_0000,1,2,module_2--module_4,synchronization_bursty,12,23,22381.248277832576,direct_coherent_dynamic_graph,edge_localized
graph_0000,1,2,module_2--module_4,synchronization_bursty,13,24,22448.08952350276,direct_coherent_dynamic_graph,edge_localized
graph_0000,1,2,module_2--module_4,synchronization_bursty,14,25,22518.674374549093,direct_coherent_dynamic_graph,edge_localized
graph_0000,1,2,module_2--module_4,synchronization_bursty,15,26,22582.881366915033,direct_coherent_dynamic_graph,edge_localized
graph_0000,1,2,module_2--module_4,synchronization_bursty,16,27,23934.238636256203,direct_coherent_dynamic_graph,edge_localized
graph_0000,1,2,module_2--module_4,synchronization_bursty,17,28,24004.78818734207,direct_coherent_dynamic_graph,edge_localized
graph_0000,1,2,module_2--module_4,synchronization_bursty,18,29,24069.864703905365,direct_coherent_dynamic_graph,edge_localized
graph_0000,1,2,module_2--module_4,synchronization_bursty,19,30,24129.573921595722,direct_coherent_dynamic_graph,edge_localized
graph_0000,1,2,module_2--module_4,synchronization_bursty,20,31,25487.559064404184,direct_coherent_dynamic_graph,edge_localized
graph_0000,1,2,module_2--module_4,synchronization_bursty,21,32,25551.136479885445,direct_coherent_dynamic_graph,edge_localized
graph_0000,1,2,module_2--module_4,synchronization_bursty,22,33,25611.174067207277,direct_coherent_dynamic_graph,edge_localized
graph_0000,1,2,module_2--module_4,synchronization_bursty,23,34,25678.48845096147,direct_coherent_dynamic_graph,edge_localized
graph_0000,1,2,module_2--module_4,synchronization_bursty,24,35,27034.313295531767,direct_coherent_dynamic_graph,edge_localized
graph_0000,1,2,module_2--module_4,synchronization_bursty,25,36,27100.235930834657,direct_coherent_dynamic_graph,edge_localized
graph_0000,1,2,module_2--module_4,synchronization_bursty,26,37,27170.520086007276,direct_coherent_dynamic_graph,edge_localized
graph_0000,1,2,module_2--module_4,synchronization_bursty,27,38,27235.14439828228,direct_coherent_dynamic_graph,edge_localized
graph_0000,1,2,module_2--module_4,synchronization_bursty,28,39,28581.153120173203,direct_coherent_dynamic_graph,edge_localized
graph_0000,1,2,module_2--module_4,synchronization_bursty,29,40,28649.02836808444,direct_coherent_dynamic_graph,edge_localized
graph_0000,1,2,module_2--module_4,synchronization_bursty,30,41,28716.372650740894,direct_coherent_dynamic_graph,edge_localized
graph_0000,1,2,module_2--module_4,synchronization_bursty,31,42,28779.147518804904,direct_coherent_dynamic_graph,edge_localized
graph_0001,0,1,module_3--module_4,sparse_periodic,0,0,8184.296554005353,direct_coherent_dynamic_graph,edge_localized
graph_0001,0,1,module_3--module_4,sparse_periodic,1,1,9250.227128143859,direct_coherent_dynamic_graph,edge_localized
graph_0001,0,1,module_3--module_4,sparse_periodic,2,2,10318.796051227191,direct_coherent_dynamic_graph,edge_localized
graph_0001,0,1,module_3--module_4,sparse_periodic,3,3,11383.092094632626,direct_coherent_dynamic_graph,edge_localized
graph_0001,0,1,module_3--module_4,sparse_periodic,4,4,12452.987825324812,direct_coherent_dynamic_graph,edge_localized
graph_0001,0,1,module_3--module_4,sparse_periodic,5,5,13513.774909127083,direct_coherent_dynamic_graph,edge_localized
graph_0001,0,2,module_1--module_3,synchronization_bursty,0,6,14423.528213029074,direct_coherent_dynamic_graph,edge_localized
graph_0001,0,2,module_1--module_3,synchronization_bursty,1,7,14493.020676899563,direct_coherent_dynamic_graph,edge_localized
graph_0001,0,2,module_1--module_3,synchronization_bursty,2,8,14556.274190546792,direct_coherent_dynamic_graph,edge_localized
graph_0001,0,2,module_1--module_3,synchronization_bursty,3,9,14631.937688481925,direct_coherent_dynamic_graph,edge_localized
graph_0001,0,2,module_1--module_3,synchronization_bursty,4,10,16072.439726599989,direct_coherent_dynamic_graph,edge_localized
graph_0001,0,2,module_1--module_3,synchronization_bursty,5,11,16140.110913973738,direct_coherent_dynamic_graph,edge_localized
graph_0001,0,2,module_1--module_3,synchronization_bursty,6,12,16218.78284207399,direct_coherent_dynamic_graph,edge_localized
graph_0001,0,2,module_1--module_3,synchronization_bursty,7,13,16283.800981600323,direct_coherent_dynamic_graph,edge_localized
graph_0001,0,2,module_1--module_3,synchronization_bursty,8,14,17733.65977849785,direct_coherent_dynamic_graph,edge_localized
graph_0001,0,2,module_1--module_3,synchronization_bursty,9,15,17800.53783153862,direct_coherent_dynamic_graph,edge_localized
graph_0001,0,2,module_1--module_3,synchronization_bursty,10,16,17866.41309361513,direct_coherent_dynamic_graph,edge_localized
graph_0001,0,2,module_1--module_3,synchronization_bursty,11,17,17937.179311013653,direct_coherent_dynamic_graph,edge_localized
graph_0001,0,2,module_1--module_3,synchronization_bursty,12,18,19388.773888158627,direct_coherent_dynamic_graph,edge_localized
graph_0001,0,2,module_1--module_3,synchronization_bursty,13,19,19455.07728683169,direct_coherent_dynamic_graph,edge_localized
graph_0001,0,2,module_1--module_3,synchronization_bursty,14,20,19528.51763893257,direct_coherent_dynamic_graph,edge_localized
graph_0001,0,2,module_1--module_3,synchronization_bursty,15,21,19593.14179377313,direct_coherent_dynamic_graph,edge_localized
graph_0001,0,2,module_1--module_3,synchronization_bursty,16,22,21040.286716216237,direct_coherent_dynamic_graph,edge_localized
graph_0001,0,2,module_1--module_3,synchronization_bursty,17,23,21111.965193679298,direct_coherent_dynamic_graph,edge_localized
graph_0001,0,2,module_1--module_3,synchronization_bursty,18,24,21180.652477512,direct_coherent_dynamic_graph,edge_localized
graph_0001,0,2,module_1--module_3,synchronization_bursty,19,25,21250.03110179648,direct_coherent_dynamic_graph,edge_localized
graph_0001,0,2,module_1--module_3,synchronization_bursty,20,26,22694.701572682647,direct_coherent_dynamic_graph,edge_localized
graph_0001,0,2,module_1--module_3,synchronization_bursty,21,27,22762.336682870366,direct_coherent_dynamic_graph,edge_localized
graph_0001,0,2,module_1--module_3,synchronization_bursty,22,28,22833.490253496642,direct_coherent_dynamic_graph,edge_localized
graph_0001,0,2,module_1--module_3,synchronization_bursty,23,29,22910.833428881495,direct_coherent_dynamic_graph,edge_localized
graph_0001,0,3,module_2--module_4,dense_periodic,0,30,24033.24416874559,direct_coherent_dynamic_graph,edge_localized
graph_0001,0,3,module_2--module_4,dense_periodic,1,31,24573.810696374345,direct_coherent_dynamic_graph,edge_localized
graph_0001,0,3,module_2--module_4,dense_periodic,2,32,25112.19476603851,direct_coherent_dynamic_graph,edge_localized
graph_0001,0,3,module_2--module_4,dense_periodic,3,33,25654.64131729581,direct_coherent_dynamic_graph,edge_localized
graph_0001,0,3,module_2--module_4,dense_periodic,4,34,26197.703000425226,direct_coherent_dynamic_graph,edge_localized
graph_0001,0,3,module_2--module_4,dense_periodic,5,35,26740.40181282336,direct_coherent_dynamic_graph,edge_localized
graph_0001,0,3,module_2--module_4,dense_periodic,6,36,27276.455341015637,direct_coherent_dynamic_graph,edge_localized
graph_0001,0,3,module_2--module_4,dense_periodic,7,37,27820.94528771566,direct_coherent_dynamic_graph,edge_localized
graph_0001,0,3,module_2--module_4,dense_periodic,8,38,28361.761768112538,direct_coherent_dynamic_graph,edge_localized
graph_0001,0,3,module_2--module_4,dense_periodic,9,39,28901.239150056306,direct_coherent_dynamic_graph,edge_localized
graph_0001,0,3,module_2--module_4,dense_periodic,10,40,29441.694035375607,direct_coherent_dynamic_graph,edge_localized
graph_0001,0,3,module_2--module_4,dense_periodic,11,41,29982.65355500756,direct_coherent_dynamic_graph,edge_localized
graph_0001,0,3,module_2--module_4,dense_periodic,12,42,30528.853374348357,direct_coherent_dynamic_graph,edge_localized
graph_0001,0,3,module_2--module_4,dense_periodic,13,43,31072.68525224345,direct_coherent_dynamic_graph,edge_localized
graph_0001,1,1,module_3--module_4,sparse_periodic,0,0,8039.6951832713685,direct_coherent_dynamic_graph,edge_localized
graph_0001,1,1,module_3--module_4,sparse_periodic,1,1,8998.61135965765,direct_coherent_dynamic_graph,edge_localized
graph_0001,1,1,module_3--module_4,sparse_periodic,2,2,9954.63839194145,direct_coherent_dynamic_graph,edge_localized
graph_0001,1,1,module_3--module_4,sparse_periodic,3,3,10902.148400595008,direct_coherent_dynamic_graph,edge_localized
graph_0001,1,1,module_3--module_4,sparse_periodic,4,4,11854.866161405971,direct_coherent_dynamic_graph,edge_localized
graph_0001,1,1,module_3--module_4,sparse_periodic,5,5,12814.579987485895,direct_coherent_dynamic_graph,edge_localized
graph_0001,1,1,module_3--module_4,sparse_periodic,6,6,13759.03057223899,direct_coherent_dynamic_graph,edge_localized
graph_0001,1,2,module_1--module_3,synchronization_bursty,0,7,14310.572873088773,direct_coherent_dynamic_graph,edge_localized
graph_0001,1,2,module_1--module_3,synchronization_bursty,1,8,14370.684112244846,direct_coherent_dynamic_graph,edge_localized
graph_0001,1,2,module_1--module_3,synchronization_bursty,2,9,14431.211104620814,direct_coherent_dynamic_graph,edge_localized
graph_0001,1,2,module_1--module_3,synchronization_bursty,3,10,15823.82184261544,direct_coherent_dynamic_graph,edge_localized
graph_0001,1,2,module_1--module_3,synchronization_bursty,4,11,15880.016476179098,direct_coherent_dynamic_graph,edge_localized
graph_0001,1,2,module_1--module_3,synchronization_bursty,5,12,15945.102659832464,direct_coherent_dynamic_graph,edge_localized
graph_0001,1,2,module_1--module_3,synchronization_bursty,6,13,17327.388596901998,direct_coherent_dynamic_graph,edge_localized
graph_0001,1,2,module_1--module_3,synchronization_bursty,7,14,17391.40151835585,direct_coherent_dynamic_graph,edge_localized
graph_0001,1,2,module_1--module_3,synchronization_bursty,8,15,17453.79383257613,direct_coherent_dynamic_graph,edge_localized
graph_0001,1,2,module_1--module_3,synchronization_bursty,9,16,18840.575293242706,direct_coherent_dynamic_graph,edge_localized
graph_0001,1,2,module_1--module_3,synchronization_bursty,10,17,18903.62444936482,direct_coherent_dynamic_graph,edge_localized
graph_0001,1,2,module_1--module_3,synchronization_bursty,11,18,18964.895407397926,direct_coherent_dynamic_graph,edge_localized
graph_0001,1,2,module_1--module_3,synchronization_bursty,12,19,20343.89227136627,direct_coherent_dynamic_graph,edge_localized
graph_0001,1,2,module_1--module_3,synchronization_bursty,13,20,20408.881117899866,direct_coherent_dynamic_graph,edge_localized
graph_0001,1,2,module_1--module_3,synchronization_bursty,14,21,20473.555558224085,direct_coherent_dynamic_graph,edge_localized
graph_0001,1,2,module_1--module_3,synchronization_bursty,15,22,21860.029658635016,direct_coherent_dynamic_graph,edge_localized
graph_0001,1,2,module_1--module_3,synchronization_bursty,16,23,21919.786368338326,direct_coherent_dynamic_graph,edge_localized
graph_0001,1,2,module_1--module_3,synchronization_bursty,17,24,21981.69508813961,direct_coherent_dynamic_graph,edge_localized
graph_0001,1,2,module_1--module_3,synchronization_bursty,18,25,23367.608740171305,direct_coherent_dynamic_graph,edge_localized
graph_0001,1,2,module_1--module_3,synchronization_bursty,19,26,23433.818762725103,direct_coherent_dynamic_graph,edge_localized
graph_0001,1,2,module_1--module_3,synchronization_bursty,20,27,23492.377740704054,direct_coherent_dynamic_graph,edge_localized
graph_0001,1,3,module_2--module_4,dense_periodic,0,28,24171.807672274354,direct_coherent_dynamic_graph,edge_localized
graph_0001,1,3,module_2--module_4,dense_periodic,1,29,24651.851933670867,direct_coherent_dynamic_graph,edge_localized
graph_0001,1,3,module_2--module_4,dense_periodic,2,30,25133.01671255422,direct_coherent_dynamic_graph,edge_localized
graph_0001,1,3,module_2--module_4,dense_periodic,3,31,25610.49418525289,direct_coherent_dynamic_graph,edge_localized
graph_0001,1,3,module_2--module_4,dense_periodic,4,32,26086.18699724353,direct_coherent_dynamic_graph,edge_localized
graph_0001,1,3,module_2--module_4,dense_periodic,5,33,26566.88875913646,direct_coherent_dynamic_graph,edge_localized
graph_0001,1,3,module_2--module_4,dense_periodic,6,34,27043.037308979998,direct_coherent_dynamic_graph,edge_localized
graph_0001,1,3,module_2--module_4,dense_periodic,7,35,27521.635883199386,direct_coherent_dynamic_graph,edge_localized
graph_0001,1,3,module_2--module_4,dense_periodic,8,36,27995.7843253947,direct_coherent_dynamic_graph,edge_localized
graph_0001,1,3,module_2--module_4,dense_periodic,9,37,28474.282185630553,direct_coherent_dynamic_graph,edge_localized
graph_0001,1,3,module_2--module_4,dense_periodic,10,38,28953.318723707518,direct_coherent_dynamic_graph,edge_localized
graph_0001,1,3,module_2--module_4,dense_periodic,11,39,29435.683696777014,direct_coherent_dynamic_graph,edge_localized
graph_0001,1,3,module_2--module_4,dense_periodic,12,40,29912.008932486784,direct_coherent_dynamic_graph,edge_localized
graph_0001,1,3,module_2--module_4,dense_periodic,13,41,30389.63964909817,direct_coherent_dynamic_graph,edge_localized
graph_0001,1,3,module_2--module_4,dense_periodic,14,42,30865.554769953982,direct_coherent_dynamic_graph,edge_localized
graph_0002,0,0,module_1--module_4,dense_periodic,0,0,113.92755759604192,direct_coherent_dynamic_graph,edge_localized
graph_0002,0,0,module_1--module_4,dense_periodic,1,1,619.343886281286,direct_coherent_dynamic_graph,edge_localized
