base_schedule_id,repeat_id,schedule_profile,victim_request_index,release_ns
base_0002,0,synchronization_bursty,56,14284.705964162984
base_0002,0,synchronization_bursty,57,14341.013326363282
base_0002,0,synchronization_bursty,58,14401.203774465004
base_0002,0,synchronization_bursty,59,14459.55253871735
base_0002,0,synchronization_bursty,60,15721.366656563448
base_0002,0,synchronization_bursty,61,15783.388094037682
base_0002,0,synchronization_bursty,62,15844.066697670372
base_0002,0,synchronization_bursty,63,15903.66560690441
base_0002,0,synchronization_bursty,64,15957.702834369187
base_0002,0,synchronization_bursty,65,16016.824979876743
base_0002,0,synchronization_bursty,66,17277.533920373615
base_0002,0,synchronization_bursty,67,17337.211792229165
base_0002,0,synchronization_bursty,68,17396.055463160777
base_0002,0,synchronization_bursty,69,17458.65747037289
base_0002,0,synchronization_bursty,70,17517.476913243638
base_0002,0,synchronization_bursty,71,17577.590118098517
base_0002,0,synchronization_bursty,72,18839.34403342419
base_0002,0,synchronization_bursty,73,18898.623330237893
base_0002,0,synchronization_bursty,74,18957.60802346953
base_0002,0,synchronization_bursty,75,19017.956782866557
base_0002,0,synchronization_bursty,76,19077.247396361883
base_0002,0,synchronization_bursty,77,19132.242532816785
base_0002,1,synchronization_bursty,0,144.79090387336998
base_0002,1,synchronization_bursty,1,210.20941499191613
base_0002,1,synchronization_bursty,2,267.15118210748835
base_0002,1,synchronization_bursty,3,328.92043217113314
base_0002,1,synchronization_bursty,4,388.29080104271105
base_0002,1,synchronization_bursty,5,445.6475966958557
base_0002,1,synchronization_bursty,6,1708.84159310198
base_0002,1,synchronization_bursty,7,1762.8515991096133
base_0002,1,synchronization_bursty,8,1824.6492595844734
base_0002,1,synchronization_bursty,9,1883.0425910376898
base_0002,1,synchronization_bursty,10,1945.8540400811814
base_0002,1,synchronization_bursty,11,2004.73041265316
base_0002,1,synchronization_bursty,12,3265.5164528478567
base_0002,1,synchronization_bursty,13,3321.1725374923926
base_0002,1,synchronization_bursty,14,3381.6371168587025
base_0002,1,synchronization_bursty,15,3442.276763433942
base_0002,1,synchronization_bursty,16,3502.7733526352813
base_0002,1,synchronization_bursty,17,3563.595804440777
base_0002,1,synchronization_bursty,18,4824.507313693501
base_0002,1,synchronization_bursty,19,4878.210082704801
base_0002,1,synchronization_bursty,20,4938.980309528253
base_0002,1,synchronization_bursty,21,4999.069889382109
base_0002,1,synchronization_bursty,22,5055.517195004472
base_0002,1,synchronization_bursty,23,5120.881265706044
base_0002,1,synchronization_bursty,24,6382.058423794881
base_0002,1,synchronization_bursty,25,6435.924723588754
base_0002,1,synchronization_bursty,26,6500.569075154048
base_0002,1,synchronization_bursty,27,6557.767949368135
base_0002,1,synchronization_bursty,28,6616.273876826068
base_0002,1,synchronization_bursty,29,6673.839889299898
base_0002,1,synchronization_bursty,30,7935.75021539338
base_0002,1,synchronization_bursty,31,7994.633129626085
base_0002,1,synchronization_bursty,32,8053.602122047767
base_0002,1,synchronization_bursty,33,8116.01255819709
base_0002,1,synchronization_bursty,34,8174.71785740404
