scheduler_policy,communication_qubits_per_module,trial_count,mean_remote_latency_ns,p95_remote_latency_ns,p99_remote_latency_ns,mean_queue_delay_ns,p95_queue_delay_ns,mean_positive_delay_fraction,mean_negative_speedup_fraction,mean_failure_transition_fraction,mean_observable_change_fraction,mean_signed_attacker_change_ns,mean_absolute_attacker_change_ns,mean_victim_slowdown_ratio_successful_only,victim_success_probability,tenant_success_fairness,tenant_wait_fairness,hub_utilization,link_utilization,communication_qubit_utilization,scheduler_reordering_rate,deadline_miss_fraction,mean_phase_boundary_visibility,mean_preemption_count,mean_epr_expiration_fraction,mean_queue_occupancy,mean_maximum_queue_occupancy,request_rejection_fraction
endpoint_aware,4,45,712.3090108558558,2574.5222222222214,2928.848888888889,597.5128968719357,2461.2888888888883,0.016666666666666666,0.002777777777777778,0.2287037037037037,0.24814814814814815,2.7592592592592595,3.0740740740740744,1.010946356838151,0.4666666666666667,0.8856821146144251,0.6547231404353941,0.2929015536298541,0.17238659482174098,0.058580310725970815,0.036705018962124414,0.3319559923350246,0.2731549671420162,0.0,0.0,3.8945446254743428,23.622222222222224,0.2222222222222222
endpoint_aware,8,45,685.0751909064294,2558.5222222222214,2953.2555555555555,570.4134341820292,2444.8333333333326,0.019907407407407405,0.002777777777777778,0.1675925925925926,0.19027777777777777,1.9351851851851851,2.25,1.018888954280458,0.4666666666666667,0.8987602779110383,0.6437084335740627,0.3004393106697173,0.17553043191560178,0.03004393106697173,0.03379537696287671,0.31955936727900675,0.23087880701201702,0.0,0.0,3.8727099575642874,23.77777777777778,0.20515124288709194
first_come_first_served,1,45,1150.172889154747,2726.0811111111107,3032.4817777777776,1035.3577796050001,2611.7811111111105,0.24166666666666667,0.0009259259259259259,0.22824074074074074,0.4708333333333333,773.1574074074075,773.25,1.026354810958913,0.4666666666666667,0.8868023745670459,0.7373261343623704,0.2934505370652207,0.17286210826731332,0.2347604296521765,0.005089074996153592,0.44280807806993766,0.8208725868284918,0.0,0.0,7.17324634352902,26.6,0.22626534890685834
first_come_first_served,2,600,918.2112858633449,2533.698333333333,2826.0749666666666,806.4103937900221,2420.085833333333,0.16291666666666665,0.009270833333333334,0.29309027777777774,0.4652777777777778,285.9030354532164,290.0314382309941,1.0165105813393696,0.41333333333333333,0.8735021732090991,0.6857620867004969,0.2854331736295527,0.15788338208674604,0.11559180884281323,0.014903630013786084,0.4157661414788117,0.6555200606746315,0.018333333333333333,0.008419394435400957,3.8689681323940044,25.265,0.2481715425531915
first_come_first_served,4,45,805.3764113501976,2178.704444444444,2481.846,690.5884169422887,2065.6766666666663,0.16620370370370371,0.004629629629629629,0.2287037037037037,0.3995370370370371,281.037037037037,281.55555555555554,1.002328703112436,0.4666666666666667,0.881562920694691,0.7051993167884493,0.2912882838268246,0.17130894212633205,0.058257656765364915,0.011088911982704917,0.3760931098734704,0.4865726216944225,0.0,0.0,4.515461933826755,24.288888888888888,0.22641509433962265
first_come_first_served,8,45,777.1952569186947,2138.094444444444,2475.844222222222,662.5857905388958,2025.374444444444,0.17222222222222222,0.002777777777777778,0.16527777777777777,0.3402777777777778,312.2074074074074,312.6148148148148,1.003097888208324,0.4666666666666667,0.8986665728119229,0.7502163451562455,0.2992083427230315,0.1749216610778465,0.029920834272303153,0.009869751973264026,0.36082809161461915,0.5151322870048587,0.0,0.0,4.406127772931976,24.377777777777776,0.20829589697514225
link_aware,1,45,969.1151055265252,3803.0077777777774,4361.074888888888,854.4267586212609,3687.613333333333,0.10972222222222222,0.011574074074074072,0.16712962962962963,0.2884259259259259,6.685185185185185,7.981481481481482,1.143981759520315,0.4666666666666667,0.900343578157208,0.5454302299719348,0.3009068458686348,0.17584199675506232,0.24072547669490788,0.050223908546408146,0.3468753766087732,0.38907437576077725,0.0,0.0,6.029278178058162,25.88888888888889,0.20829589697514225
link_aware,2,600,878.8533947696164,3244.3259166666658,3681.893216666667,764.4972325953242,3123.5813333333326,0.042395833333333334,0.01638888888888889,0.29322916666666665,0.3520138888888889,2.446527777777778,8.531041666666667,1.032233807909402,0.425,0.8809441949544976,0.5421727960028052,0.2903182074363018,0.16109035968733937,0.11785714239542164,0.05170512719016055,0.3695128115114587,0.4199397368270786,6.301666666666667,0.006492679706955183,3.7080746932745856,24.898333333333333,0.23310062056737588
link_aware,4,45,732.3411276985769,2570.5266666666657,2915.1584444444447,617.5450137146568,2454.306666666666,0.010185185185185184,0.0037037037037037034,0.2287037037037037,0.24259259259259258,2.2962962962962963,2.7037037037037037,1.009923572503686,0.4666666666666667,0.8856821146144251,0.5497732370824006,0.2929015536298541,0.17238659482174098,0.058580310725970815,0.03717470212945157,0.33134108501660686,0.24835376361740838,0.0,0.0,4.0571494364029785,23.68888888888889,0.2222222222222222
link_aware,8,45,712.4102269364173,2564.2366666666658,2930.559777777778,597.705617908494,2448.9333333333325,0.010648148148148148,0.002314814814814815,0.18888888888888888,0.20185185185185187,1.2685185185185186,1.5648148148148149,1.012841844426021,0.4666666666666667,0.8937522812727655,0.5602478858674516,0.2978145570645715,0.17448053047354348,0.029781455706457155,0.03505490401661821,0.32592087678994697,0.2336377501964921,0.0,0.0,4.046893449257523,23.88888888888889,0.21203953279424978
longest_waiting_first,1,45,866.1721275552915,2576.913333333333,2945.3844444444444,751.4051270116321,2463.2133333333327,0.15416666666666667,0.002777777777777778,0.20694444444444443,0.3638888888888889,102.2574074074074,102.68333333333334,1.0211579069490642,0.4666666666666667,0.8920184498113726,0.5985861355022782,0.29714330035088116,0.17445415132258793,0.23771464028070494,0.022267521783444304,0.37461504582282573,0.68044062337998,0.0,0.0,5.093241902464654,24.866666666666667,0.21892782270140762
longest_waiting_first,2,600,840.3592449995105,2529.045666666666,2838.5256833333333,727.4913947419182,2415.899333333333,0.08309027777777778,0.010486111111111111,0.28815972222222225,0.38190972222222225,107.7238888888889,111.44305555555555,1.0069633576005979,0.4266666666666667,0.8824892892657268,0.584458170272631,0.2902183409245229,0.16105105455388807,0.11785352161685551,0.025479350717279216,0.3824938975594416,0.48699106715985824,5.07,0.004758017324044235,3.5303458037700914,24.841666666666665,0.23076241134751774
longest_waiting_first,4,45,678.7317234446031,2188.2822222222217,2506.670888888889,563.935609460683,2074.995555555555,0.027777777777777776,0.002777777777777778,0.2287037037037037,0.25925925925925924,7.370370370370371,7.685185185185185,1.0036211610097792,0.4666666666666667,0.8856821146144251,0.5851789071251964,0.2929015536298541,0.17238659482174098,0.058580310725970815,0.024057023314739467,0.33446903821808943,0.2805664681705385,0.0,0.0,3.6196229815206102,23.622222222222224,0.2222222222222222
longest_waiting_first,8,45,647.4567745537015,2172.307777777777,2525.459555555555,532.7941204481223,2060.1322222222216,0.031018518518518518,0.002777777777777778,0.1675925925925926,0.2013888888888889,7.018518518518518,7.425925925925925,1.00469104248498,0.4666666666666667,0.8987851147779804,0.5896344158125137,0.30049975189062994,0.1755787848923319,0.030049975189062994,0.023864089119419903,0.31991031599997444,0.2419684266122749,0.0,0.0,3.5731315567031636,23.68888888888889,0.20500149745432764
priority_scheduling,1,45,866.1721275552915,2576.913333333333,2945.3844444444444,751.4051270116321,2463.2133333333327,0.15416666666666667,0.002777777777777778,0.20694444444444443,0.3638888888888889,102.2574074074074,102.68333333333334,1.0211579069490642,0.4666666666666667,0.8920184498113726,0.5985861355022782,0.29714330035088116,0.17445415132258793,0.23771464028070494,0.022267521783444304,0.37461504582282573,0.68044062337998,0.0,0.0,5.093241902464654,24.866666666666667,0.21892782270140762
priority_scheduling,2,600,838.2315746855473,2527.518499999999,2853.8991,725.1854005156475,2413.8875,0.08034722222222222,0.010034722222222221,0.2801736111111111,0.370625,107.45076388888889,110.68486111111112,1.0078324061013941,0.4266666666666667,0.8849462794585715,0.5815321854776002,0.2913033032552306,0.16152711359582428,0.11828750654913858,0.025518894095902887,0.3802975769050801,0.4720998228643586,4.45,0.004498570073941718,3.5341509416182944,24.85,0.22790336879432624
priority_scheduling,4,45,678.7317234446031,2188.2822222222217,2506.670888888889,563.935609460683,2074.995555555555,0.027777777777777776,0.002777777777777778,0.2287037037037037,0.25925925925925924,7.370370370370371,7.685185185185185,1.0036211610097792,0.4666666666666667,0.8856821146144251,0.5851789071251964,0.2929015536298541,0.17238659482174098,0.058580310725970815,0.024057023314739467,0.33446903821808943,0.2805664681705385,0.0,0.0,3.6196229815206102,23.622222222222224,0.2222222222222222
priority_scheduling,8,45,647.4567745537015,2172.307777777777,2525.459555555555,532.7941204481223,2060.1322222222216,0.031018518518518518,0.002777777777777778,0.1675925925925926,0.2013888888888889,7.018518518518518,7.425925925925925,1.00469104248498,0.4666666666666667,0.8987851147779804,0.5896344158125137,0.30049975189062994,0.1755787848923319,0.030049975189062994,0.023864089119419903,0.31991031599997444,0.2419684266122749,0.0,0.0,3.5731315567031636,23.68888888888889,0.20500149745432764
randomized_arbitration,1,45,926.8878073091918,3206.8299999999995,3722.2211111111105,812.1119766636664,3093.441111111111,0.14120370370370372,0.00648148148148148,0.20833333333333334,0.3560185185185185,39.635185185185186,40.37592592592593,1.0937568069998094,0.4666666666666667,0.8910513320078558,0.6462350451441505,0.29637628606709093,0.17412638164802668,0.23710102885367274,0.040773138716200044,0.36733376801355927,0.6352451245130862,0.0,0.0,5.564351135791852,25.844444444444445,0.2210242587601078
