scheduler_policy,decision_interval_ns,trial_count,mean_remote_latency_ns,p95_remote_latency_ns,p99_remote_latency_ns,mean_queue_delay_ns,p95_queue_delay_ns,mean_positive_delay_fraction,mean_negative_speedup_fraction,mean_failure_transition_fraction,mean_observable_change_fraction,mean_signed_attacker_change_ns,mean_absolute_attacker_change_ns,mean_victim_slowdown_ratio_successful_only,victim_success_probability,tenant_success_fairness,tenant_wait_fairness,hub_utilization,link_utilization,communication_qubit_utilization,scheduler_reordering_rate,deadline_miss_fraction,mean_phase_boundary_visibility,mean_preemption_count,mean_epr_expiration_fraction,mean_queue_occupancy,mean_maximum_queue_occupancy,request_rejection_fraction
first_come_first_served,20,645,862.7950405673515,2382.447286821705,2675.411984496124,750.8441635719448,2268.9278294573637,0.17109173126614988,0.008688630490956074,0.2483204134366925,0.42810077519379847,307.4892118863049,311.19987080103357,1.0168185574738808,0.4356589147286822,0.8846689824120199,0.6994398655952773,0.29183751981895995,0.16166929989139808,0.11591690888970324,0.013290654499483667,0.3954238303384563,0.6406865823657854,0.017054263565891473,0.007831994823628797,4.054664440751158,25.07751937984496,0.23083431354340783
first_come_first_served,100,45,1841.1196028839693,4395.766666666666,4783.305777777778,1725.77795477896,4280.95,0.17129629629629628,0.00462962962962963,0.6074074074074074,0.7833333333333333,643.7446393762183,646.3372319688109,1.0,0.2,0.76620992975787,0.6886338174276312,0.2248644462689227,0.13876971101447416,0.08994577850756909,0.02023813564060488,0.6585851966397508,0.6931496287873099,0.0,0.0,6.545008775137008,28.022222222222222,0.40940401317759806
link_aware,0,45,760.5061148444692,2719.5011111111107,2983.2980000000002,645.5813806143198,2603.3977777777773,0.007407407407407407,0.0,0.38333333333333336,0.3907407407407407,2.0462962962962963,2.0462962962962963,1.0,0.4888888888888889,0.8627254302196129,0.45166949011344104,0.2831067574004545,0.16893181370000265,0.1132427029601818,0.04438456986848669,0.37395542622392713,0.37357699475902784,0.0,0.0,2.960828786008047,24.4,0.25187181790955376
link_aware,20,645,822.1600306342195,3072.8981395348833,3505.00903875969,707.826430174895,2952.6820155038754,0.0474483204134367,0.016375968992248063,0.25274547803617575,0.31656976744186044,2.7997416020671833,8.579909560723515,1.0408709017987363,0.4449612403100775,0.8900336355707135,0.5523374813539771,0.29507459818327747,0.16392932710510913,0.11771608481615684,0.048388705873721606,0.35124471584196365,0.4058779375097132,5.862015503875969,0.006039702052981565,3.807461635497977,24.632558139534883,0.2204131327513981
link_aware,100,45,1587.111836488123,5431.075555555555,6076.941777777778,1471.8802783942529,5313.43111111111,0.008333333333333333,0.001388888888888889,0.48842592592592593,0.4981481481481482,0.6944444444444444,0.9722222222222222,1.0,0.2,0.8058263667045278,0.5159152434387443,0.25002305768631977,0.15199508234163842,0.1000092230745279,0.07389918983612219,0.5225118052760368,0.2791016148708077,0.0,0.0,6.039871412567427,27.977777777777778,0.3417190775681342
longest_waiting_first,0,45,756.9241897978887,2331.526666666666,2594.3606666666665,641.8459674286041,2218.984444444444,0.01296296296296296,0.0,0.4435185185185185,0.4564814814814815,8.077777777777778,8.077777777777778,1.0,0.4888888888888889,0.8514689969581604,0.4471338702090846,0.27577293771275374,0.16621438438222108,0.11030917508510149,0.02756055981327311,0.40225197716753697,0.4140918142752332,0.0,0.0,2.8281179475445857,24.444444444444443,0.2719377058999701
longest_waiting_first,20,645,774.3274394319735,2361.930852713178,2667.689534883721,661.3830312414375,2248.8658139534878,0.0858204134366925,0.010271317829457364,0.24512273901808784,0.34137596899224804,104.10064599483205,107.62105943152454,1.0083724772988556,0.4449612403100775,0.8922894741571589,0.5953749833118444,0.29539830689003516,0.16408164200067932,0.11771812883562877,0.0235058616802045,0.36135784683777566,0.4779918248652939,4.716279069767442,0.004426062627017893,3.538278075709667,24.486821705426358,0.21716296250438516
longest_waiting_first,100,45,1541.5330705575593,4472.243333333333,4993.28,1426.3507049234715,4357.604444444444,0.07777777777777778,0.0009259259259259259,0.48842592592592593,0.5671296296296297,52.77777777777778,53.05555555555556,1.0,0.2222222222222222,0.8020580762026973,0.5853330977295488,0.2503071483950795,0.15171567202987718,0.1001228593580318,0.04543539988512229,0.5471985856577887,0.4308817762831242,0.0,0.0,5.813836791573163,27.977777777777778,0.34082060497154837
priority_scheduling,0,45,756.9241897978887,2331.526666666666,2594.3606666666665,641.8459674286041,2218.984444444444,0.01296296296296296,0.0,0.4435185185185185,0.4564814814814815,8.077777777777778,8.077777777777778,1.0,0.4888888888888889,0.8514689969581604,0.4471338702090846,0.27577293771275374,0.16621438438222108,0.11030917508510149,0.02756055981327311,0.40225197716753697,0.4140918142752332,0.0,0.0,2.8281179475445857,24.444444444444443,0.2719377058999701
priority_scheduling,20,645,772.3482112329381,2360.510232558139,2681.9903875968994,659.2379203332788,2246.9943410852707,0.0832687338501292,0.009851421188630492,0.23769379844961241,0.3308785529715762,103.84657622739019,106.91576227390182,1.0091473282348804,0.4449612403100775,0.8945750464295726,0.5926531369908854,0.2964075741744144,0.1645244876210851,0.11812183574938047,0.023542646218459078,0.35931475785697436,0.4641395045904105,4.1395348837209305,0.00418471634785276,3.5418177388242746,24.494573643410853,0.2145009183020698
priority_scheduling,100,45,1541.5330705575593,4472.243333333333,4993.28,1426.3507049234715,4357.604444444444,0.07777777777777778,0.0009259259259259259,0.48842592592592593,0.5671296296296297,52.77777777777778,53.05555555555556,1.0,0.2222222222222222,0.8020580762026973,0.5853330977295488,0.2503071483950795,0.15171567202987718,0.1001228593580318,0.04543539988512229,0.5471985856577887,0.4308817762831242,0.0,0.0,5.813836791573163,27.977777777777778,0.34082060497154837
randomized_arbitration,0,45,764.7841507279027,2533.5722222222216,2897.8566666666666,649.9377483064934,2419.3111111111107,0.010648148148148148,0.0,0.3787037037037037,0.38935185185185184,1.551388888888889,1.551388888888889,1.0004362231600636,0.4888888888888889,0.855423625440959,0.4892473869735652,0.2807656477473986,0.16721633183754464,0.11230625909895943,0.03948201461618685,0.3824849926937213,0.3142500656685054,0.0,0.0,2.9096365614580337,24.4,0.25726265348906857
randomized_arbitration,20,645,803.3343095090402,2795.732790697674,3259.2718914728684,687.2437660570436,2676.8180620155035,0.07680878552971576,0.011950904392764857,0.23094315245478036,0.32002583979328164,47.91259689922481,51.312467700258395,1.0267919477353893,0.44651162790697674,0.8934295734424607,0.6241274705418003,0.296925289169371,0.16463651743107716,0.1183293449337705,0.0383255843255082,0.3518053974265554,0.45150471320982044,13.246511627906976,0.005918639911539172,3.7129837476048384,24.587596899224806,0.21418106027776057
randomized_arbitration,100,45,1567.3071802894872,5515.694444444443,6308.4655555555555,1452.0896053636716,5402.549999999999,0.03611111111111111,0.0060185185185185185,0.4671296296296296,0.5092592592592593,22.26851851851852,24.583333333333332,1.0,0.2,0.815764001658499,0.640256697132372,0.2535853040238114,0.1538849623339637,0.10143412160952457,0.07486816154836166,0.506507281179008,0.37310886259793347,0.0,0.0,6.032870906025639,27.977777777777778,0.33243486073674755
round_robin_tenants,0,45,755.1561620868414,2421.6677777777777,2694.8475555555556,640.1315381038925,2308.8199999999997,0.010648148148148148,0.0004629629629629629,0.4236111111111111,0.43472222222222223,2.408333333333333,2.468518518518519,1.0001659682170863,0.4888888888888889,0.8571517545260771,0.48807938125995826,0.2787613829840723,0.16743307781975272,0.11150455319362895,0.034098518158747544,0.391822970830561,0.40441792687655576,0.0,0.0,2.889225842079251,24.42222222222222,0.2637017070979335
