configuration_id,subexperiment,mechanism,victim_qasm,victim_tag,trial_id,actual_path_before,actual_path_after,predicted_path_before,predicted_path_after,before_correct,after_correct,ground_truth_path_change,predicted_path_change,path_change_detection_correct
cfg_4b43cc4f,switching_cost,communication_qubit_reassignment,square_root_n18.qasm,square_root_n18,2,0.0,,,1,False,False,False,False,True
cfg_4b43cc4f,switching_cost,communication_qubit_reassignment,qft_n18.qasm,qft_n18,0,0.0,,2.0,0,False,False,False,True,False
cfg_4b43cc4f,switching_cost,communication_qubit_reassignment,qft_n18.qasm,qft_n18,1,0.0,,1.0,0,False,False,False,True,False
cfg_4b43cc4f,switching_cost,communication_qubit_reassignment,qft_n18.qasm,qft_n18,2,0.0,,2.0,0,False,False,False,True,False
cfg_4b43cc4f,switching_cost,communication_qubit_reassignment,dnn_n16.qasm,dnn_n16,0,0.0,0.0,1.0,0,False,True,False,True,False
cfg_4b43cc4f,switching_cost,communication_qubit_reassignment,dnn_n16.qasm,dnn_n16,1,0.0,0.0,0.0,3,True,False,False,True,False
cfg_4b43cc4f,switching_cost,communication_qubit_reassignment,dnn_n16.qasm,dnn_n16,2,0.0,0.0,1.0,0,False,True,False,True,False
cfg_4b43cc4f,switching_cost,communication_qubit_reassignment,sat_n11.qasm,sat_n11,0,0.0,,1.0,0,False,False,False,True,False
cfg_4b43cc4f,switching_cost,communication_qubit_reassignment,sat_n11.qasm,sat_n11,1,0.0,,1.0,0,False,False,False,True,False
cfg_4b43cc4f,switching_cost,communication_qubit_reassignment,sat_n11.qasm,sat_n11,2,0.0,,1.0,0,False,False,False,True,False
cfg_4b43cc4f,switching_cost,communication_qubit_reassignment,bv_n19.qasm,bv_n19,0,0.0,,2.0,0,False,False,False,True,False
cfg_4b43cc4f,switching_cost,communication_qubit_reassignment,bv_n19.qasm,bv_n19,1,0.0,,1.0,0,False,False,False,True,False
cfg_4b43cc4f,switching_cost,communication_qubit_reassignment,bv_n19.qasm,bv_n19,2,0.0,,1.0,0,False,False,False,True,False
cfg_a1149606,switching_cost,hub_to_hub_migration,square_root_n18.qasm,square_root_n18,0,0.0,,1.0,2,False,False,False,True,False
cfg_a1149606,switching_cost,hub_to_hub_migration,square_root_n18.qasm,square_root_n18,1,0.0,,1.0,2,False,False,False,True,False
cfg_a1149606,switching_cost,hub_to_hub_migration,square_root_n18.qasm,square_root_n18,2,0.0,,1.0,2,False,False,False,True,False
cfg_a1149606,switching_cost,hub_to_hub_migration,qft_n18.qasm,qft_n18,0,0.0,,1.0,0,False,False,False,True,False
cfg_a1149606,switching_cost,hub_to_hub_migration,qft_n18.qasm,qft_n18,1,0.0,,1.0,0,False,False,False,True,False
cfg_a1149606,switching_cost,hub_to_hub_migration,qft_n18.qasm,qft_n18,2,0.0,,1.0,0,False,False,False,True,False
cfg_a1149606,switching_cost,hub_to_hub_migration,dnn_n16.qasm,dnn_n16,0,0.0,1.0,1.0,0,False,False,True,True,True
cfg_a1149606,switching_cost,hub_to_hub_migration,dnn_n16.qasm,dnn_n16,1,0.0,1.0,2.0,0,False,False,True,True,True
cfg_a1149606,switching_cost,hub_to_hub_migration,dnn_n16.qasm,dnn_n16,2,0.0,1.0,1.0,0,False,False,True,True,True
cfg_a1149606,switching_cost,hub_to_hub_migration,sat_n11.qasm,sat_n11,0,0.0,,1.0,0,False,False,False,True,False
cfg_a1149606,switching_cost,hub_to_hub_migration,sat_n11.qasm,sat_n11,1,0.0,,1.0,0,False,False,False,True,False
cfg_a1149606,switching_cost,hub_to_hub_migration,sat_n11.qasm,sat_n11,2,0.0,,1.0,0,False,False,False,True,False
cfg_a1149606,switching_cost,hub_to_hub_migration,bv_n19.qasm,bv_n19,0,0.0,,2.0,0,False,False,False,True,False
cfg_a1149606,switching_cost,hub_to_hub_migration,bv_n19.qasm,bv_n19,1,0.0,,1.0,0,False,False,False,True,False
cfg_a1149606,switching_cost,hub_to_hub_migration,bv_n19.qasm,bv_n19,2,0.0,,1.0,0,False,False,False,True,False
cfg_d0f8643a,switching_cost,hub_to_hub_migration,square_root_n18.qasm,square_root_n18,0,0.0,,1.0,3,False,False,False,True,False
cfg_d0f8643a,switching_cost,hub_to_hub_migration,square_root_n18.qasm,square_root_n18,1,0.0,,1.0,3,False,False,False,True,False
cfg_d0f8643a,switching_cost,hub_to_hub_migration,square_root_n18.qasm,square_root_n18,2,0.0,,1.0,3,False,False,False,True,False
cfg_d0f8643a,switching_cost,hub_to_hub_migration,qft_n18.qasm,qft_n18,0,0.0,,1.0,0,False,False,False,True,False
cfg_d0f8643a,switching_cost,hub_to_hub_migration,qft_n18.qasm,qft_n18,1,0.0,,1.0,0,False,False,False,True,False
cfg_d0f8643a,switching_cost,hub_to_hub_migration,qft_n18.qasm,qft_n18,2,0.0,,1.0,0,False,False,False,True,False
cfg_d0f8643a,switching_cost,hub_to_hub_migration,dnn_n16.qasm,dnn_n16,0,0.0,1.0,1.0,0,False,False,True,True,True
cfg_d0f8643a,switching_cost,hub_to_hub_migration,dnn_n16.qasm,dnn_n16,1,0.0,1.0,2.0,0,False,False,True,True,True
cfg_d0f8643a,switching_cost,hub_to_hub_migration,dnn_n16.qasm,dnn_n16,2,0.0,1.0,1.0,0,False,False,True,True,True
cfg_d0f8643a,switching_cost,hub_to_hub_migration,sat_n11.qasm,sat_n11,0,0.0,,1.0,0,False,False,False,True,False
cfg_d0f8643a,switching_cost,hub_to_hub_migration,sat_n11.qasm,sat_n11,1,0.0,,1.0,0,False,False,False,True,False
cfg_d0f8643a,switching_cost,hub_to_hub_migration,sat_n11.qasm,sat_n11,2,0.0,,1.0,0,False,False,False,True,False
cfg_d0f8643a,switching_cost,hub_to_hub_migration,bv_n19.qasm,bv_n19,0,0.0,,2.0,0,False,False,False,True,False
cfg_d0f8643a,switching_cost,hub_to_hub_migration,bv_n19.qasm,bv_n19,1,0.0,,1.0,0,False,False,False,True,False
cfg_d0f8643a,switching_cost,hub_to_hub_migration,bv_n19.qasm,bv_n19,2,0.0,,1.0,0,False,False,False,True,False
cfg_c2016081,switching_cost,hub_to_hub_migration,square_root_n18.qasm,square_root_n18,0,0.0,,1.0,0,False,False,False,True,False
cfg_c2016081,switching_cost,hub_to_hub_migration,square_root_n18.qasm,square_root_n18,1,0.0,,1.0,0,False,False,False,True,False
cfg_c2016081,switching_cost,hub_to_hub_migration,square_root_n18.qasm,square_root_n18,2,0.0,,1.0,0,False,False,False,True,False
cfg_c2016081,switching_cost,hub_to_hub_migration,qft_n18.qasm,qft_n18,0,0.0,,1.0,0,False,False,False,True,False
cfg_c2016081,switching_cost,hub_to_hub_migration,qft_n18.qasm,qft_n18,1,0.0,,1.0,0,False,False,False,True,False
cfg_c2016081,switching_cost,hub_to_hub_migration,qft_n18.qasm,qft_n18,2,0.0,,1.0,0,False,False,False,True,False
cfg_c2016081,switching_cost,hub_to_hub_migration,dnn_n16.qasm,dnn_n16,0,0.0,1.0,1.0,0,False,False,True,True,True
cfg_c2016081,switching_cost,hub_to_hub_migration,dnn_n16.qasm,dnn_n16,1,0.0,1.0,2.0,0,False,False,True,True,True
cfg_c2016081,switching_cost,hub_to_hub_migration,dnn_n16.qasm,dnn_n16,2,0.0,1.0,1.0,0,False,False,True,True,True
cfg_c2016081,switching_cost,hub_to_hub_migration,sat_n11.qasm,sat_n11,0,0.0,,1.0,0,False,False,False,True,False
cfg_c2016081,switching_cost,hub_to_hub_migration,sat_n11.qasm,sat_n11,1,0.0,,1.0,0,False,False,False,True,False
cfg_c2016081,switching_cost,hub_to_hub_migration,sat_n11.qasm,sat_n11,2,0.0,,1.0,0,False,False,False,True,False
cfg_c2016081,switching_cost,hub_to_hub_migration,bv_n19.qasm,bv_n19,0,0.0,,2.0,0,False,False,False,True,False
cfg_c2016081,switching_cost,hub_to_hub_migration,bv_n19.qasm,bv_n19,1,0.0,,1.0,0,False,False,False,True,False
cfg_c2016081,switching_cost,hub_to_hub_migration,bv_n19.qasm,bv_n19,2,0.0,,1.0,0,False,False,False,True,False
cfg_604e9045,state_transfer_cost,dynamic_victim_module_migration,square_root_n18.qasm,square_root_n18,0,0.0,,1.0,0,False,False,False,True,False
cfg_604e9045,state_transfer_cost,dynamic_victim_module_migration,square_root_n18.qasm,square_root_n18,1,0.0,,0.0,0,True,False,False,False,True
cfg_604e9045,state_transfer_cost,dynamic_victim_module_migration,square_root_n18.qasm,square_root_n18,2,0.0,,1.0,0,False,False,False,True,False
cfg_604e9045,state_transfer_cost,dynamic_victim_module_migration,qft_n18.qasm,qft_n18,0,0.0,,1.0,0,False,False,False,True,False
cfg_604e9045,state_transfer_cost,dynamic_victim_module_migration,qft_n18.qasm,qft_n18,1,0.0,,1.0,0,False,False,False,True,False
cfg_604e9045,state_transfer_cost,dynamic_victim_module_migration,qft_n18.qasm,qft_n18,2,0.0,,1.0,0,False,False,False,True,False
cfg_604e9045,state_transfer_cost,dynamic_victim_module_migration,dnn_n16.qasm,dnn_n16,0,0.0,0.0,1.0,0,False,True,False,True,False
cfg_604e9045,state_transfer_cost,dynamic_victim_module_migration,dnn_n16.qasm,dnn_n16,1,0.0,0.0,1.0,0,False,True,False,True,False
cfg_604e9045,state_transfer_cost,dynamic_victim_module_migration,dnn_n16.qasm,dnn_n16,2,0.0,0.0,1.0,0,False,True,False,True,False
cfg_604e9045,state_transfer_cost,dynamic_victim_module_migration,sat_n11.qasm,sat_n11,0,0.0,,1.0,0,False,False,False,True,False
cfg_604e9045,state_transfer_cost,dynamic_victim_module_migration,sat_n11.qasm,sat_n11,1,0.0,,1.0,0,False,False,False,True,False
cfg_604e9045,state_transfer_cost,dynamic_victim_module_migration,sat_n11.qasm,sat_n11,2,0.0,,1.0,0,False,False,False,True,False
cfg_604e9045,state_transfer_cost,dynamic_victim_module_migration,bv_n19.qasm,bv_n19,0,0.0,,0.0,0,True,False,False,False,True
cfg_604e9045,state_transfer_cost,dynamic_victim_module_migration,bv_n19.qasm,bv_n19,1,0.0,,1.0,0,False,False,False,True,False
cfg_604e9045,state_transfer_cost,dynamic_victim_module_migration,bv_n19.qasm,bv_n19,2,0.0,,1.0,0,False,False,False,True,False
cfg_dac8f42d,state_transfer_cost,dynamic_victim_module_migration,square_root_n18.qasm,square_root_n18,0,0.0,,1.0,0,False,False,False,True,False
