scenario_name,logical_component,shared_between_tenants,trial_resource_count,mean_utilization,max_utilization,mean_busy_time_ns,mean_attacker_busy_time_ns,mean_victim_busy_time_ns,mean_interval_count
shared_interconnect_port_only,communication_qubit,False,72,0.4188656360627767,0.502006497319012,8420.419469635557,4890.69627114084,3529.723198494717,40.986111111111114
shared_interconnect_port_only,interconnect_port,True,36,0.4281504082071786,0.4810756972111554,8607.083333333334,5040.0,3567.0833333333335,81.97222222222223
shared_interconnect_port_only,intermodule_link,False,72,0.16310491741225852,0.19224030037546933,3278.8888888888887,1920.0,1358.888888888889,40.986111111111114
shared_interconnect_port_only,local_route,False,72,0.09337159126407173,0.25217350720909326,1880.880042219798,720.0,1160.8800422197978,40.986111111111114
shared_interconnect_port_only,receiver_engine,False,72,0.061164344029596945,0.07209011264080101,1229.5833333333333,720.0,509.5833333333333,40.986111111111114
shared_interconnect_port_only,reset_engine,False,72,0.08155245870612926,0.09612015018773466,1639.4444444444443,960.0,679.4444444444445,40.986111111111114
shared_interconnect_port_only,switch_path,False,72,0.19368708942705698,0.22828535669586983,3893.6805555555557,2280.0,1613.6805555555557,40.986111111111114
shared_local_route_only,communication_qubit,False,72,0.3978492788194324,0.4685857321652065,7992.291666666667,4680.0,3312.2916666666665,40.986111111111114
shared_local_route_only,interconnect_port,False,72,0.21422653474892514,0.2523153942428035,4303.541666666667,2520.0,1783.5416666666667,40.986111111111114
shared_local_route_only,intermodule_link,False,72,0.16322021695156202,0.19224030037546933,3278.8888888888887,1920.0,1358.888888888889,40.986111111111114
shared_local_route_only,local_route,True,36,0.1787753689075156,0.2974863486982334,3597.6353830096064,1442.4964018961982,2155.138981113408,81.97222222222223
shared_local_route_only,receiver_engine,False,72,0.06120758135683576,0.07209011264080101,1229.5833333333333,720.0,509.5833333333333,40.986111111111114
shared_local_route_only,reset_engine,False,72,0.08161010847578101,0.09612015018773466,1639.4444444444443,960.0,679.4444444444445,40.986111111111114
shared_local_route_only,switch_path,False,72,0.19382400762997987,0.22828535669586983,3893.6805555555557,2280.0,1613.6805555555557,40.986111111111114
shared_module_fully_independent,communication_qubit,False,72,0.3979856904362459,0.4685857321652065,7992.291666666667,4680.0,3312.2916666666665,40.986111111111114
shared_module_fully_independent,interconnect_port,False,72,0.21429998715797854,0.2523153942428035,4303.541666666667,2520.0,1783.5416666666667,40.986111111111114
shared_module_fully_independent,intermodule_link,False,72,0.16327618069179317,0.19224030037546933,3278.8888888888887,1920.0,1358.888888888889,40.986111111111114
shared_module_fully_independent,local_route,False,72,0.09021772157369386,0.2290145958958471,1814.5833333333333,720.0,1094.5833333333333,40.986111111111114
shared_module_fully_independent,receiver_engine,False,72,0.06122856775942244,0.07209011264080101,1229.5833333333333,720.0,509.5833333333333,40.986111111111114
shared_module_fully_independent,reset_engine,False,72,0.08163809034589659,0.09612015018773466,1639.4444444444443,960.0,679.4444444444445,40.986111111111114
shared_module_fully_independent,switch_path,False,72,0.19389046457150438,0.22828535669586983,3893.6805555555557,2280.0,1613.6805555555557,40.986111111111114
shared_reset_engine_only,communication_qubit,False,72,0.401061085909471,0.47452839713518774,8055.330831412779,4707.695213038057,3347.635618374722,40.986111111111114
shared_reset_engine_only,interconnect_port,False,72,0.2142660971588398,0.2523153942428035,4303.541666666667,2520.0,1783.5416666666667,40.986111111111114
shared_reset_engine_only,intermodule_link,False,72,0.1632503597400684,0.19224030037546933,3278.8888888888887,1920.0,1358.888888888889,40.986111111111114
shared_reset_engine_only,local_route,False,72,0.09084794138978443,0.2353924773128988,1827.7572053152403,720.0,1107.7572053152403,40.986111111111114
shared_reset_engine_only,receiver_engine,False,72,0.06121888490252566,0.07209011264080101,1229.5833333333333,720.0,509.5833333333333,40.986111111111114
shared_reset_engine_only,reset_engine,True,36,0.1632503597400684,0.18373289407185317,3278.8888888888887,1920.0,1358.888888888889,81.97222222222223
shared_reset_engine_only,switch_path,False,72,0.19385980219133123,0.22828535669586983,3893.6805555555557,2280.0,1613.6805555555557,40.986111111111114
