scenario_name,same_module,shared_components,shared_component_count,expected_mechanism,workload_name,trial_id,victim_phase_ns,probe_count,affected_probe_count,affected_probe_fraction,mean_excess_turnaround_ns,median_excess_turnaround_ns,p95_excess_turnaround_ns,max_excess_turnaround_ns,total_excess_turnaround_ns,attacker_baseline_mean_wait_ns,attacker_combined_mean_wait_ns,victim_request_count,victim_baseline_mean_latency_ns,victim_combined_mean_latency_ns,victim_mean_latency_slowdown,victim_baseline_makespan_ns,victim_combined_makespan_ns,victim_makespan_slowdown,max_causal_accounting_error_ns
shared_interconnect_port_only,True,interconnect_port,1,interconnect_port_wait,periodic_sparse,2,116.40546722325146,48,6,0.125,5.175683402906505,0.0,50.40546722325167,71.40546722325234,248.43280333951225,0.0,5.175683402906505,23,205.0,218.48529258422766,1.065781915045013,20005.0,20005.0,1.0,0.0
shared_reset_engine_only,True,reset_engine,1,late_reset_recovery_wait,periodic_sparse,2,116.40546722325146,48,3,0.0625,0.4003417014532526,0.0,4.163553695113423,6.405467223252344,19.216401669756124,0.0,0.4003417014532526,23,205.0,206.77319992740192,1.008649755743424,20005.0,20005.0,1.0,0.0
shared_endpoint_without_reset,True,local_route;communication_qubit;interconnect_port,3,active_endpoint_contention,periodic_sparse,2,116.40546722325146,48,9,0.1875,19.013525104359758,0.0,140.40546722325166,161.40546722325234,912.6492050092684,0.0,19.013525104359758,23,205.0,254.32782002366213,1.240623512310547,20005.0,20053.594532776748,1.0024291193589976,0.0
shared_full_endpoint_pipeline,True,local_route;communication_qubit;interconnect_port;reset_engine,4,full_endpoint_pipeline_contention,periodic_sparse,2,116.40546722325146,48,9,0.1875,19.013525104359758,0.0,140.40546722325166,161.40546722325234,912.6492050092684,0.0,19.013525104359758,23,205.0,254.32782002366213,1.240623512310547,20005.0,20053.594532776748,1.0024291193589976,0.0
separate_modules_control,False,none,0,no_cross_tenant_endpoint_contention,periodic_sparse,3,78.81132350676583,48,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,204.9999999999999,204.9999999999999,1.0,20005.0,20005.0,1.0,0.0
shared_module_fully_independent,True,none,0,module_colocation_without_pipeline_sharing,periodic_sparse,3,78.81132350676583,48,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,204.9999999999999,204.9999999999999,1.0,20005.0,20005.0,1.0,0.0
shared_local_route_only,True,local_route,1,local_route_wait,periodic_sparse,3,78.81132350676583,48,3,0.0625,1.1757077191728627,0.0,12.227360279397153,18.811323506766712,56.43397052029741,0.0,1.1757077191728627,23,204.9999999999999,204.9999999999999,1.0,20005.0,20005.0,1.0,0.0
shared_communication_qubit_only,True,communication_qubit,1,communication_qubit_reuse_wait,periodic_sparse,3,78.81132350676583,48,12,0.25,23.45283087669149,0.0,162.81132350676543,183.8113235067667,1125.7358820811914,0.0,23.45283087669149,23,204.9999999999999,248.8293670185032,1.2138017903341627,20005.0,20091.188676493235,1.0043083567354778,0.0
shared_interconnect_port_only,True,interconnect_port,1,interconnect_port_wait,periodic_sparse,3,78.81132350676583,48,6,0.125,7.976415438345725,0.0,72.81132350676545,93.81132350676671,382.8679410405948,0.0,7.976415438345725,23,204.9999999999999,214.77194373795365,1.0476680182339209,20005.0,20005.0,1.0,0.0
shared_reset_engine_only,True,reset_engine,1,late_reset_recovery_wait,periodic_sparse,3,78.81132350676583,48,3,0.0625,1.8007077191728627,0.0,18.72736027939714,28.811323506766712,86.43397052029741,0.0,1.8007077191728627,23,204.9999999999999,204.9999999999999,1.0,20005.0,20005.0,1.0,0.0
shared_endpoint_without_reset,True,local_route;communication_qubit;interconnect_port,3,active_endpoint_contention,periodic_sparse,3,78.81132350676583,48,12,0.25,23.45283087669149,0.0,162.81132350676543,183.8113235067667,1125.7358820811914,0.0,23.45283087669149,23,204.9999999999999,248.8293670185032,1.2138017903341627,20005.0,20091.188676493235,1.0043083567354778,0.0
shared_full_endpoint_pipeline,True,local_route;communication_qubit;interconnect_port;reset_engine,4,full_endpoint_pipeline_contention,periodic_sparse,3,78.81132350676583,48,12,0.25,23.45283087669149,0.0,162.81132350676543,183.8113235067667,1125.7358820811914,0.0,23.45283087669149,23,204.9999999999999,248.8293670185032,1.2138017903341627,20005.0,20091.188676493235,1.0043083567354778,0.0
separate_modules_control,False,none,0,no_cross_tenant_endpoint_contention,periodic_sparse,4,231.77549011981213,48,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,205.0,205.0,1.0,19104.999999999996,19104.999999999996,1.0,0.0
shared_module_fully_independent,True,none,0,module_colocation_without_pipeline_sharing,periodic_sparse,4,231.77549011981213,48,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,205.0,205.0,1.0,19104.999999999996,19104.999999999996,1.0,0.0
shared_local_route_only,True,local_route,1,local_route_wait,periodic_sparse,4,231.77549011981213,48,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,205.0,206.12152407457134,1.0054708491442503,19104.999999999996,19104.999999999996,1.0,0.0
shared_communication_qubit_only,True,communication_qubit,1,communication_qubit_reuse_wait,periodic_sparse,4,231.77549011981213,48,9,0.1875,18.145404397464514,0.0,135.77549011981026,156.77549011981182,870.9794110782966,0.0,18.145404397464514,22,205.0,251.3191176782595,1.2259469155037048,19104.999999999996,19104.999999999996,1.0,0.0
shared_interconnect_port_only,True,interconnect_port,1,interconnect_port_wait,periodic_sparse,4,231.77549011981213,48,6,0.125,4.596936264976326,0.0,45.77549011981026,66.77549011981182,220.65294071886365,0.0,4.596936264976326,22,205.0,219.51577542186996,1.0708086605944875,19104.999999999996,19104.999999999996,1.0,0.0
shared_reset_engine_only,True,reset_engine,1,late_reset_recovery_wait,periodic_sparse,4,231.77549011981213,48,3,0.0625,0.11096813248814404,0.0,1.154068577876203,1.7754901198118205,5.326470359430914,0.0,0.11096813248814404,22,205.0,207.4851604382077,1.0121227338449157,19104.999999999996,19104.999999999996,1.0,0.0
shared_endpoint_without_reset,True,local_route;communication_qubit;interconnect_port,3,active_endpoint_contention,periodic_sparse,4,231.77549011981213,48,9,0.1875,18.145404397464514,0.0,135.77549011981026,156.77549011981182,870.9794110782966,0.0,18.145404397464514,22,205.0,251.3191176782595,1.2259469155037048,19104.999999999996,19104.999999999996,1.0,0.0
shared_full_endpoint_pipeline,True,local_route;communication_qubit;interconnect_port;reset_engine,4,full_endpoint_pipeline_contention,periodic_sparse,4,231.77549011981213,48,9,0.1875,18.145404397464514,0.0,135.77549011981026,156.77549011981182,870.9794110782966,0.0,18.145404397464514,22,205.0,251.3191176782595,1.2259469155037048,19104.999999999996,19104.999999999996,1.0,0.0
separate_modules_control,False,none,0,no_cross_tenant_endpoint_contention,periodic_sparse,5,369.4024739605104,48,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,205.0,205.0,1.0,19105.0,19105.0,1.0,0.0
shared_module_fully_independent,True,none,0,module_colocation_without_pipeline_sharing,periodic_sparse,5,369.4024739605104,48,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,205.0,205.0,1.0,19105.0,19105.0,1.0,0.0
shared_local_route_only,True,local_route,1,local_route_wait,periodic_sparse,5,369.4024739605104,48,3,0.0625,0.5876546225318909,0.0,6.111608074331603,9.402473960510406,28.207421881530763,0.0,0.5876546225318909,22,205.0,205.0,1.0,19105.0,19105.0,1.0,0.0
