scenario_name,workload_name,trial_id,probe_count,affected_probe_count,affected_probe_fraction,mean_excess_turnaround_ns,median_excess_turnaround_ns,p95_excess_turnaround_ns,max_excess_turnaround_ns,total_excess_turnaround_ns
shared_endpoint_without_reset,layered_bursty,10,48,28,0.5833333333333334,142.891599300977,100.46298770773137,460.4629877077314,555.0,6858.796766446896
shared_endpoint_without_reset,layered_bursty,11,48,28,0.5833333333333334,157.35042057825078,105.0,511.9887617347521,555.0,7552.820187756037
shared_endpoint_without_reset,periodic_dense,0,48,19,0.3958333333333333,39.615146052073875,0.0,157.97510581576654,177.97510581576762,1901.5270104995461
shared_endpoint_without_reset,periodic_dense,1,48,20,0.4166666666666667,41.2814420083462,0.0,169.07546082003074,189.07546082003137,1981.5092164006173
shared_endpoint_without_reset,periodic_dense,2,48,20,0.4166666666666667,40.60017982544662,0.0,167.4404315810722,187.4404315810716,1948.8086316214376
shared_endpoint_without_reset,periodic_dense,3,48,19,0.3958333333333333,37.65071912628659,0.0,155.11760621377712,175.1176062137779,1807.2345180617563
shared_endpoint_without_reset,periodic_dense,4,48,21,0.4375,46.111384590028955,0.0,173.01649811054205,193.01649811054267,2213.3464603213897
shared_endpoint_without_reset,periodic_dense,5,48,21,0.4375,39.653746082337555,0.0,164.92284818819977,184.9228481882019,1903.3798119522028
shared_endpoint_without_reset,periodic_dense,6,48,21,0.4375,40.229758711499095,0.0,165.28706753104683,185.28706753104598,1931.0284181519564
shared_endpoint_without_reset,periodic_dense,7,48,20,0.4166666666666667,38.93710311906539,0.0,163.44904748575692,183.44904748575755,1868.9809497151386
shared_endpoint_without_reset,periodic_dense,8,48,21,0.4375,44.75416348063999,0.0,174.67618319384442,194.67618319384383,2148.1998470707194
shared_endpoint_without_reset,periodic_dense,9,48,21,0.4375,42.87536663431542,0.0,172.28655230700662,192.2865523070068,2058.0175984471402
shared_endpoint_without_reset,periodic_dense,10,48,20,0.4166666666666667,39.50621597839183,0.0,164.81491834814065,184.8149183481405,1896.298366962808
shared_endpoint_without_reset,periodic_dense,11,48,20,0.4166666666666667,38.48125297708202,0.0,162.3550071449969,182.35500714499722,1847.100142899937
shared_endpoint_without_reset,periodic_sparse,0,48,10,0.20833333333333334,20.031337227121448,0.0,141.1504186901826,162.15041869018387,961.5041869018295
