scheduler_policy,queue_depth,tenant_count,hub_capacity,link_capacity,communication_qubits_per_module,priority_profile,decision_interval_ns,lookahead_window_ns,preemption_allowed,epr_prefetch_enabled,trial_count,mean_remote_latency_ns,p95_remote_latency_ns,p99_remote_latency_ns,mean_queue_delay_ns,p95_queue_delay_ns,mean_positive_delay_fraction,mean_negative_speedup_fraction,mean_failure_transition_fraction,mean_observable_change_fraction,mean_signed_attacker_change_ns,mean_absolute_attacker_change_ns,mean_victim_slowdown_ratio_successful_only,victim_success_probability,tenant_success_fairness,tenant_wait_fairness,hub_utilization,link_utilization,communication_qubit_utilization,scheduler_reordering_rate,deadline_miss_fraction,mean_phase_boundary_visibility,mean_preemption_count,mean_epr_expiration_fraction,mean_queue_occupancy,mean_maximum_queue_occupancy,request_rejection_fraction
dependency_ready,32,4,2,1,2,equal,20,0,False,False,15,691.1668196440671,2617.5833333333326,3100.2400000000002,576.5251769003742,2503.216666666666,0.013888888888888888,0.0013888888888888887,0.2513888888888889,0.26666666666666666,16.41111111111111,16.522222222222222,1.0011942945559316,0.4,0.921589967202102,0.546155779911819,0.30467631746000984,0.17984092085115952,0.12187052698400393,0.03860413613483051,0.32472444080271406,0.29580547112462,0.0,0.0,3.0319355041081053,24.333333333333332,0.1958670260557053
dependency_ready,32,4,2,1,2,equal,20,500,False,False,15,795.2057836466975,2642.2066666666656,3052.55,680.8120867213707,2527.2066666666656,0.01111111111111111,0.0,0.3111111111111111,0.3222222222222222,18.13888888888889,18.13888888888889,1.0,0.4,0.8790546232817272,0.5580111331078423,0.28240167687479656,0.1654114103089446,0.11296067074991863,0.04846628887096476,0.3706627730270994,0.25937183383991896,0.0,0.0,2.9770203438050578,24.333333333333332,0.24663072776280323
dependency_ready,32,4,2,1,2,equal,20,2000,False,False,15,710.1900230014415,2647.683333333332,3162.8233333333333,595.6082665376321,2533.916666666665,0.004166666666666667,0.0013888888888888887,0.2513888888888889,0.2569444444444444,11.333333333333334,12.666666666666666,1.001639833035182,0.4,0.9088390795777347,0.5203421465223943,0.30009462361386136,0.17661033269600088,0.12003784944554452,0.039874446875800024,0.3331693596304602,0.20919540229885056,0.0,0.0,3.037527612329414,24.266666666666666,0.20709793351302785
dependency_ready,32,4,2,1,2,equal,100,0,False,False,15,1624.747480993724,4975.166666666667,5850.263333333333,1509.6250012990904,4860.933333333333,0.02638888888888889,0.004166666666666667,0.5097222222222222,0.5402777777777777,41.38888888888889,42.22222222222222,1.0,0.2,0.7691150238631967,0.5184645056701078,0.24205138922834155,0.14583532929987078,0.09682055569133662,0.06700452237744865,0.5512989668985874,0.4458465026715785,0.0,0.0,5.887498861846809,27.933333333333334,0.36253369272237196
dependency_ready,32,4,2,1,2,equal,100,500,False,False,15,1450.7720425591208,4926.6,5806.944,1335.309505060429,4811.0,0.027777777777777776,0.006944444444444445,0.5097222222222222,0.5444444444444444,41.25,42.63888888888889,1.0,0.26666666666666666,0.8378684849278074,0.5750850483353568,0.2574629180447417,0.1584442342429912,0.10298516721789669,0.07086209300166484,0.5045515161098653,0.4453128840195079,0.0,0.0,5.79541751049833,27.933333333333334,0.32120395327942497
dependency_ready,32,4,2,1,2,equal,100,2000,False,False,15,1455.8671133574285,4983.15,5878.660000000001,1340.7207743864462,4868.083333333333,0.0375,0.0,0.44583333333333336,0.48333333333333334,30.555555555555554,30.555555555555554,1.0015042117930204,0.26666666666666666,0.8213215820650561,0.5396886122609187,0.2590001216715968,0.15655681428677964,0.10360004866863871,0.0629070176463266,0.5000727750533254,0.3983124491912651,0.0,0.0,5.828310010968244,28.0,0.3189577717879605
endpoint_aware,32,4,2,1,2,equal,0,0,False,False,15,777.6169626696646,2465.3799999999997,2741.1706666666664,662.6781647878998,2354.1466666666665,0.015277777777777777,0.0,0.44166666666666665,0.45694444444444443,2.526388888888889,2.526388888888889,1.0014344395905328,0.4666666666666667,0.8306996179133509,0.5122713760204098,0.27248918538636263,0.16326576729414058,0.10899567415454504,0.035109993593423636,0.4040290010432325,0.4338399189463019,0.0,0.0,2.8898427520092707,24.4,0.27897574123989216
endpoint_aware,32,4,2,1,2,equal,0,500,False,False,15,709.939399407985,2763.6499999999996,3055.923333333333,595.0768515985711,2647.9833333333327,0.004166666666666667,0.0013888888888888887,0.3222222222222222,0.3277777777777777,1.9666666666666666,2.102777777777778,1.0044264793654005,0.5333333333333333,0.894824631414933,0.4769384049866201,0.29422668599897583,0.17496619174050146,0.11769067439959033,0.04145097486679638,0.34957846628387423,0.2987654320987654,0.0,0.0,2.970962722488439,24.466666666666665,0.22461814914645103
endpoint_aware,32,4,2,1,2,equal,0,2000,False,False,15,750.1993134263519,2754.843333333333,3061.2466666666664,635.2787911290375,2640.0766666666664,0.006944444444444444,0.0,0.37638888888888894,0.38333333333333336,2.0708333333333333,2.0708333333333333,1.0065934065934066,0.4666666666666667,0.878966225365055,0.5988123876821716,0.28520921845517255,0.17078824121704095,0.11408368738206902,0.054363673651994855,0.36585175966769895,0.32178318135764944,0.0,0.0,2.936163221081366,24.333333333333332,0.24438454627133874
endpoint_aware,32,4,2,1,2,equal,20,0,False,False,15,710.2278648440656,2545.4999999999995,2920.51,595.5789650948349,2433.166666666666,0.006944444444444444,0.0,0.2513888888888889,0.25833333333333336,4.222222222222222,4.222222222222222,1.0027149321266968,0.4,0.9209070974953718,0.6344319145408328,0.30384140844175783,0.17936752303083422,0.12153656337670314,0.03341039039942839,0.32602894696490525,0.20150099440879582,0.0,0.0,3.0968371548691804,24.4,0.19811320754716982
