scheduler_policy,hub_capacity,link_capacity,trial_count,mean_remote_latency_ns,p95_remote_latency_ns,p99_remote_latency_ns,mean_queue_delay_ns,p95_queue_delay_ns,mean_positive_delay_fraction,mean_negative_speedup_fraction,mean_failure_transition_fraction,mean_observable_change_fraction,mean_signed_attacker_change_ns,mean_absolute_attacker_change_ns,mean_victim_slowdown_ratio_successful_only,victim_success_probability,tenant_success_fairness,tenant_wait_fairness,hub_utilization,link_utilization,communication_qubit_utilization,scheduler_reordering_rate,deadline_miss_fraction,mean_phase_boundary_visibility,mean_preemption_count,mean_epr_expiration_fraction,mean_queue_occupancy,mean_maximum_queue_occupancy,request_rejection_fraction
endpoint_aware,4,1,60,807.2932958856562,2724.714166666666,3070.47,693.433464952706,2610.380833333333,0.0006944444444444444,0.0020833333333333333,0.3565972222222223,0.359375,0.013888888888888885,0.19444444444444448,1.001953125,0.4,0.8738286615350018,0.6071423474008634,0.1499282626724304,0.17177932665027457,0.11994261013794431,0.05191286546100187,0.36654483750540484,0.16552028218694884,0.0,0.0,3.0525790801612294,24.4,0.23554976097348979
endpoint_aware,4,2,60,480.76948073367987,1745.1808333333329,2053.3576666666663,367.41036697724127,1630.6266666666663,0.03194444444444445,0.0,0.016319444444444445,0.04826388888888889,5.75,5.75,1.006756552232506,0.6,0.9617970846022499,0.6400405157136542,0.1742853808469692,0.09646357995646121,0.13942830467757536,0.0219828195380953,0.23992767317367292,0.2176825761932145,0.0,0.0,2.16577702210858,23.0,0.11223381138635376
first_come_first_served,1,1,60,1375.3928741985844,3144.486666666666,3358.9326666666666,1261.6041582449482,3031.503333333333,0.3409722222222222,0.010416666666666666,0.3086805555555555,0.6600694444444444,948.2847222222223,953.0347222222223,1.0581057499004147,0.2833333333333333,0.8637728915409066,0.8099669449273755,0.5620708048107474,0.1595314447527335,0.11241416096214947,0.0,0.5767229218773801,1.0,0.0,0.0,6.57256073109775,27.7,0.2859626249456758
first_come_first_served,2,1,555,919.9380664044219,2532.385585585585,2837.2356036036035,808.0326543173775,2418.9149549549547,0.16996996996996996,0.009009009009009009,0.2883633633633633,0.46734234234234234,303.6331614509246,307.5842875770507,1.0156242850268533,0.42882882882882883,0.8715117264554543,0.6947349153299883,0.28526728832604425,0.1673029595603748,0.11162259548532152,0.013732325384694913,0.4110882346625065,0.6677375475235663,0.01981981981981982,0.009102048038271306,4.175258385737575,25.192792792792794,0.24928020130168638
first_come_first_served,4,1,60,860.9884481709371,2362.8866666666663,2673.2725,747.1131044948238,2249.0916666666662,0.09652777777777778,0.004861111111111111,0.3743055555555556,0.4756944444444445,101.91944444444445,102.65555555555555,1.0022255188072697,0.36666666666666664,0.8562182244404706,0.6101018138015253,0.14544113488945704,0.16631625366489527,0.11635290791156563,0.021795164822259235,0.41417127253736585,0.43365572898567034,0.0,0.0,3.407867656074669,25.2,0.25890916992611906
first_come_first_served,4,2,60,485.86284009075314,1687.2033333333331,1976.7441666666666,372.48361303934615,1572.4241666666662,0.05451388888888889,0.0003472222222222222,0.04722222222222223,0.10208333333333333,25.020833333333332,25.034722222222225,1.0001708330960652,0.5666666666666667,0.9538210474519064,0.6558104887039747,0.17105775229072065,0.09475328011998395,0.13684620183257654,0.019752929721265546,0.24899800941370645,0.31190568481348624,0.0,0.0,2.1592399064108734,23.166666666666668,0.1290743155149935
link_aware,1,1,60,1375.3928741985844,5635.240833333332,6423.221833333333,1261.6041582449482,5518.499166666666,0.178125,0.08090277777777778,0.3086805555555555,0.5677083333333334,9.284722222222223,34.96527777777778,1.3189598473016597,0.2833333333333333,0.8637728915409066,0.5189878093630066,0.5620579308428243,0.15952779818178847,0.11241158616856485,0.08183683839703004,0.46314759974269654,0.9469081835795162,0.0,0.0,6.572300535134016,27.7,0.2859626249456758
link_aware,2,1,555,856.7846825157816,3134.549279279279,3547.523099099099,742.1146185146442,3013.432072072071,0.03382132132132132,0.01006006006006006,0.29080330330330334,0.3346846846846847,2.3025525525525525,6.237762762762763,1.0245401884095762,0.43423423423423424,0.87780389603606,0.5337186796053162,0.2903314497295735,0.17027998701371658,0.11389782804064924,0.04858431712255228,0.36498056951907565,0.3816929267171156,6.812612612612613,0.007019113196708306,3.875429452619575,24.74954954954955,0.23585202390457527
link_aware,4,1,60,819.0093890675477,2771.0349999999994,3132.1465,705.1521834554045,2654.7349999999997,0.0006944444444444444,0.003125,0.3559027777777778,0.3597222222222223,-0.08333333333333333,0.18055555555555555,1.0,0.4,0.8740426420527047,0.5642716647736401,0.1500099976331976,0.17186215141051867,0.12000799810655809,0.05491242351271817,0.3650823995052607,0.17005516154452324,0.0,0.0,3.1050094932045194,24.45,0.23511516731855714
link_aware,4,2,60,479.2732162801915,1745.7308333333328,2104.07,365.9138056757391,1631.4724999999996,0.030208333333333334,0.0,0.016319444444444445,0.04652777777777777,1.652777777777778,1.652777777777778,1.0104754247781145,0.6,0.9617738581511082,0.6431592142335715,0.1742654533107373,0.09645560894196846,0.13941236264858986,0.02273721262760711,0.2439308516266753,0.20507386819443557,0.0,0.0,2.1557052654652518,23.0,0.11234245980008692
longest_waiting_first,1,1,60,1375.3928741985844,3144.486666666666,3358.9326666666666,1261.6041582449482,3031.503333333333,0.3409722222222222,0.010416666666666666,0.3086805555555555,0.6600694444444444,948.2847222222223,953.0347222222223,1.0581057499004147,0.2833333333333333,0.8637728915409066,0.8099669449273755,0.5620708048107474,0.1595314447527335,0.11241416096214947,0.0,0.5767229218773801,1.0,0.0,0.0,6.57256073109775,27.7,0.2859626249456758
longest_waiting_first,2,1,555,801.1195737388226,2521.734504504504,2850.692486486487,688.0545463219868,2408.7708108108104,0.06561561561561562,0.010623123123123123,0.28843843843843847,0.36486486486486486,22.284684684684684,25.85945945945946,1.0058268771998264,0.436036036036036,0.8789861091065653,0.5595199688010818,0.2900357865142133,0.17011274448449118,0.11359218626897122,0.027947499573954582,0.36896150624900625,0.4701758146029181,5.481081081081081,0.005143802512480254,3.550231039713013,24.590990990990992,0.23413418499431418
longest_waiting_first,4,1,60,786.1574519130779,2337.683333333333,2659.3365,672.3089561780907,2224.566666666666,0.0003472222222222222,0.0024305555555555556,0.3409722222222223,0.34375,-0.08333333333333333,0.1527777777777778,1.0,0.4,0.8760656666812145,0.5731893223975367,0.1509046527345634,0.17278728262563817,0.12072372218765072,0.028391442864594454,0.3686162379220852,0.15767195767195769,0.0,0.0,2.9770852858332044,24.4,0.23033463711429814
longest_waiting_first,4,2,60,475.95653596453116,1685.3699999999994,1981.2183333333332,362.59742220809255,1570.5491666666662,0.042361111111111106,0.0,0.016319444444444445,0.058680555555555555,10.38888888888889,10.38888888888889,1.0000681487224305,0.6,0.9617970846022499,0.6159153178213838,0.1742853808469692,0.09646357995646121,0.13942830467757536,0.02052916891232059,0.23845168302230965,0.265344067471727,0.0,0.0,2.128672233940908,22.983333333333334,0.11223381138635376
priority_scheduling,1,1,60,1375.3928741985844,3144.486666666666,3358.9326666666666,1261.6041582449482,3031.503333333333,0.3409722222222222,0.010416666666666666,0.3086805555555555,0.6600694444444444,948.2847222222223,953.0347222222223,1.0581057499004147,0.2833333333333333,0.8637728915409066,0.8099669449273755,0.5620708048107474,0.1595314447527335,0.11241416096214947,0.0,0.5767229218773801,1.0,0.0,0.0,6.57256073109775,27.7,0.2859626249456758
priority_scheduling,2,1,555,798.8193896156191,2520.083513513513,2867.3123963963963,685.5615795908835,2406.5958558558555,0.06265015015015016,0.010135135135135136,0.2798048048048048,0.35266516516516516,21.989414414414416,25.03978978978979,1.0067464098458974,0.436036036036036,0.8816423147204515,0.5563567419956429,0.291208718763627,0.17062740290820602,0.11406135916873669,0.027990249172466654,0.3665871055415884,0.4540771721212969,4.8108108108108105,0.0048633189988559105,3.5543447022516115,24.6,0.23101304105876944
priority_scheduling,4,1,60,786.1574519130779,2337.683333333333,2659.3365,672.3089561780907,2224.566666666666,0.0003472222222222222,0.0024305555555555556,0.3409722222222223,0.34375,-0.08333333333333333,0.1527777777777778,1.0,0.4,0.8760656666812145,0.5731893223975367,0.1509046527345634,0.17278728262563817,0.12072372218765072,0.028391442864594454,0.3686162379220852,0.15767195767195769,0.0,0.0,2.9770852858332044,24.4,0.23033463711429814
priority_scheduling,4,2,60,475.95653596453116,1685.3699999999994,1981.2183333333332,362.59742220809255,1570.5491666666662,0.042361111111111106,0.0,0.016319444444444445,0.058680555555555555,10.38888888888889,10.38888888888889,1.0000681487224305,0.6,0.9617970846022499,0.6159153178213838,0.1742853808469692,0.09646357995646121,0.13942830467757536,0.02052916891232059,0.23845168302230965,0.265344067471727,0.0,0.0,2.128672233940908,22.983333333333334,0.11223381138635376
randomized_arbitration,1,1,60,1375.3928741985844,4856.4316666666655,5668.823666666666,1261.6041582449482,4743.106666666665,0.3159722222222222,0.015277777777777777,0.3086805555555555,0.6399305555555556,427.95138888888886,436.57638888888886,1.1906206110448847,0.2833333333333333,0.8637728915409066,0.6301456409353459,0.5620705147566512,0.1595314021457918,0.11241410295133021,0.06118332416021797,0.49238363990860623,0.9721386800334169,0.0,0.0,6.5725627619044875,27.7,0.2859626249456758
randomized_arbitration,2,1,555,835.3681432653377,2914.7421621621615,3376.3942342342343,718.6612440334361,2794.984504504504,0.054954954954954956,0.0125,0.2666291291291291,0.3344594594594595,10.978415915915916,14.165352852852852,1.0174716458328976,0.436036036036036,0.8813790311009185,0.6130448557217567,0.2923375288599679,0.170868860909023,0.11445596843976562,0.040788201255792814,0.36186017480872,0.4317975039403658,15.394594594594595,0.006878419356653633,3.764538927280816,24.7027027027027,0.22956134620502772
randomized_arbitration,4,1,60,803.1901864441401,2529.1958333333323,2965.3266666666664,689.3558057779355,2415.4583333333326,0.0,0.0020833333333333333,0.32569444444444445,0.3277777777777778,-0.09027777777777778,0.09027777777777778,1.0,0.4,0.8794558474555345,0.6059071032963712,0.1522519623770547,0.17414455851648783,0.12180156990164377,0.03692172356146573,0.3667101384135869,0.15273368606701937,0.0,0.0,3.070350420756458,24.416666666666668,0.2231638418079096
randomized_arbitration,4,2,60,479.1739396381255,1744.0849999999996,2076.1175,365.8145290336731,1630.018333333333,0.036458333333333336,0.0,0.016319444444444445,0.05277777777777778,3.513888888888889,3.513888888888889,1.0068796910024091,0.6,0.9617738581511082,0.6497807117458397,0.1742654533107373,0.09645560894196846,0.13941236264858986,0.02236675428485728,0.24235183243716493,0.25019558565657857,0.0,0.0,2.1565576273562757,22.983333333333334,0.11234245980008692
round_robin_tenants,1,1,60,1375.3928741985844,5436.059166666665,6275.342000000001,1261.6041582449482,5322.375833333333,0.2204861111111111,0.07395833333333333,0.3086805555555555,0.603125,224.49305555555557,280.8958333333333,1.1098314762761614,0.2833333333333333,0.8637728915409066,0.5993947214228846,0.5620641099555718,0.15952964460785787,0.11241282199111438,0.06184172294574274,0.4630840701977476,0.9546386800334169,0.0,0.0,6.572450384437284,27.7,0.2859626249456758
round_robin_tenants,2,1,555,825.4915115698275,2761.567477477477,3129.924558558558,711.231448747842,2647.484594594594,0.05243993993993994,0.016216216216216217,0.2817192192192192,0.3504504504504504,8.224136636636636,14.12090840840841,1.0209032846476473,0.43423423423423424,0.8780033439922992,0.5911607499385031,0.2901716946610267,0.16995886756547474,0.1137129953409795,0.035554728346240086,0.3658381411952018,0.44336419170879515,5.832432432432433,0.00696277870512293,3.7198295571590583,24.724324324324325,0.23426725702257387
round_robin_tenants,4,1,60,791.6232482532747,2412.2758333333327,2743.362333333333,677.7844840270119,2299.446666666666,0.0010416666666666667,0.005555555555555555,0.3409722222222223,0.3475694444444445,-0.5416666666666666,0.6805555555555556,1.0,0.4,0.8756993450258204,0.5963119910029614,0.1508395800360919,0.17250871181012936,0.12067166402887351,0.030850351285347324,0.3698789560212196,0.1664913317572892,0.0,0.0,3.0165881479798995,24.416666666666668,0.23055193394176446
round_robin_tenants,4,2,60,485.02681716956624,1758.1274999999996,2092.5525,371.6493557660271,1642.535833333333,0.029166666666666667,0.0,0.03229166666666667,0.06145833333333333,3.2847222222222223,3.2847222222222223,1.007540778129579,0.6,0.959878333099016,0.6549726607196741,0.17334878664407063,0.09608894227530179,0.13867902931525652,0.022424051855668228,0.24682448116183314,0.23917960513705194,0.0,0.0,2.1915355431838965,23.033333333333335,0.11734028683181226
shortest_operation_first,1,1,60,1375.3928741985844,4390.7175,4862.514833333333,1261.6041582449482,4272.750833333333,0.246875,0.04618055555555556,0.3086805555555555,0.601736111111111,234.24305555555557,238.40972222222223,1.2495313999617925,0.2833333333333333,0.8637728915409066,0.5117708728288098,0.5620579308428243,0.15952779818178847,0.11241158616856485,0.05452313790349012,0.4912011249780244,0.9666666666666667,0.0,0.0,6.572300535134016,27.7,0.2859626249456758
shortest_operation_first,2,1,555,828.3380821741138,2958.2940540540535,3334.697081081081,716.0996397178033,2842.0803603603595,0.040653153153153154,0.011786786786786787,0.2835960960960961,0.33644894894894894,5.118355855855856,9.257244744744744,1.016919575149228,0.436036036036036,0.8792559818524778,0.5185210045179631,0.2910900148764032,0.1704915117702245,0.11409199655533823,0.045430137178930435,0.3602781564399822,0.418563314615958,3.127927927927928,0.006376155903014375,3.7041271715167152,24.65045045045045,0.23308170622535143
shortest_operation_first,4,1,60,817.4161344261391,2760.3424999999993,3094.2046666666665,703.5585336552551,2644.192499999999,0.0,0.0024305555555555556,0.3559027777777778,0.35833333333333334,-0.11805555555555557,0.11805555555555557,1.0,0.4,0.8740550799921839,0.5630181107034163,0.15003179362273553,0.17189702499377935,0.12002543489818843,0.054630790875553135,0.3646782495974343,0.16236772486772486,0.0,0.0,3.091925563467234,24.416666666666668,0.235006518904824
shortest_operation_first,4,2,60,476.55552677599223,1715.5699999999995,2056.9148333333333,363.1964130195537,1601.3533333333328,0.034027777777777775,0.0,0.016319444444444445,0.050347222222222224,2.125,2.125,1.0036694065038156,0.6,0.9617970846022499,0.6149364049418912,0.1742853808469692,0.09646357995646121,0.13942830467757536,0.021946731138362367,0.24105314406127068,0.2182576193214491,0.0,0.0,2.1344252499608722,22.933333333333334,0.11223381138635376
static_circuit_layer,1,1,60,1711.4111129417643,5564.062499999999,6508.530833333333,1597.8269747605445,5451.8083333333325,0.2833333333333333,0.018055555555555554,0.3194444444444445,0.6208333333333333,488.96515151515155,508.42070707070707,1.4425080004108333,0.2,0.846406238466498,0.5685938647230102,0.5357136352334758,0.1513036327259916,0.10714272704669515,0.07816985390190319,0.5055937329234326,0.8791992741186244,0.0,0.0,7.2547412579845405,28.133333333333333,0.318122555410691
static_circuit_layer,2,1,555,1413.8075400042849,4055.7244144144142,4499.673513513513,1301.3120656620615,3942.259639639639,0.06768018018018018,0.015803303303303304,0.3028903903903904,0.38641141141141144,39.06651683980631,46.97977746885642,1.0406871290875208,0.2954954954954955,0.8303453289871333,0.6150783572443599,0.26518053494423555,0.15332628090551906,0.1036532058253098,0.060547997715643,0.4520253489945222,0.41436603291673174,1.0666666666666667,0.01833057581881746,5.592600570177166,27.852252252252253,0.3029324236045583
static_circuit_layer,4,1,60,1314.5294780440133,3726.7774999999997,4133.8741666666665,1200.8213899562377,3613.8733333333325,0.034027777777777775,0.015277777777777777,0.3277777777777778,0.3770833333333333,3.9555555555555557,8.275,1.0150451584056368,0.2,0.8394217572958115,0.5925912003810974,0.13854615060167286,0.1576887625410981,0.1108369204813383,0.05312815829214127,0.4581723443173935,0.28933395413026025,0.0,0.0,4.882824820839965,27.833333333333332,0.2945458496305954
static_circuit_layer,4,2,60,1106.9809887474146,2849.8341666666665,3288.133333333333,993.7416601795317,2736.1841666666664,0.022569444444444444,0.0003472222222222222,0.22291666666666668,0.24583333333333332,3.2930555555555556,3.3347222222222226,1.0057917024046608,0.38333333333333336,0.8838037793111844,0.608265223874261,0.14748509743315052,0.0822212012998496,0.11798807794652043,0.04678605299775629,0.39770296352181217,0.24003693134127915,0.0,0.0,3.828216879743173,26.816666666666666,0.25152107779226424
weighted_fair_queueing,1,1,60,1375.3928741985844,4904.345833333332,5889.2925,1261.6041582449482,4791.195833333332,0.31979166666666664,0.017708333333333333,0.3086805555555555,0.6461805555555556,262.15972222222223,270.6458333333333,1.317646312500072,0.2833333333333333,0.8637728915409066,0.6307114346928714,0.5620705791224158,0.15953153364086897,0.11241411582448314,0.05700783732027648,0.47796680449266804,0.9833333333333333,0.0,0.0,6.572598202933814,27.7,0.2859626249456758
weighted_fair_queueing,2,1,555,810.2193966614334,2730.3700900900894,3124.0705045045042,697.7839016577893,2617.9187387387383,0.051651651651651656,0.0131006006006006,0.279954954954955,0.3448198198198198,8.372785285285286,11.911298798798798,1.0152669809001431,0.43783783783783786,0.8815009601767028,0.5846929416898743,0.29116931972395904,0.17060347197649883,0.11419176564391138,0.03504145535597,0.36280939391138334,0.4262291170113457,2.881081081081081,0.005360114216141394,3.635731763700202,24.693693693693692,0.23124289274394522
weighted_fair_queueing,4,1,60,790.1874327927311,2404.2483333333325,2741.3541666666665,676.3480765810402,2291.6399999999994,0.0006944444444444444,0.0024305555555555556,0.3409722222222223,0.3440972222222223,-0.055555555555555566,0.18055555555555555,0.9998544395924309,0.4,0.8756732390556403,0.5908834581357901,0.15079780438947754,0.17245785450120757,0.12063824351158203,0.030748619129968385,0.36901946493450893,0.15767195767195769,0.0,0.0,3.0041858067815577,24.4,0.23076923076923078
weighted_fair_queueing,4,2,60,480.48123933016666,1731.7424999999996,2049.380833333333,367.1221255737281,1616.7466666666662,0.0375,0.0,0.016319444444444445,0.05381944444444444,4.763888888888888,4.763888888888888,1.0033009924531406,0.6,0.9617970846022499,0.6370193220321647,0.1742853808469692,0.09646357995646121,0.13942830467757536,0.021706717073421023,0.2412825211656478,0.24884032969139352,0.0,0.0,2.1663717331901307,22.983333333333334,0.11223381138635376
