scheduler_policy,tenant_count,trial_count,mean_remote_latency_ns,p95_remote_latency_ns,p99_remote_latency_ns,mean_queue_delay_ns,p95_queue_delay_ns,mean_positive_delay_fraction,mean_negative_speedup_fraction,mean_failure_transition_fraction,mean_observable_change_fraction,mean_signed_attacker_change_ns,mean_absolute_attacker_change_ns,mean_victim_slowdown_ratio_successful_only,victim_success_probability,tenant_success_fairness,tenant_wait_fairness,hub_utilization,link_utilization,communication_qubit_utilization,scheduler_reordering_rate,deadline_miss_fraction,mean_phase_boundary_visibility,mean_preemption_count,mean_epr_expiration_fraction,mean_queue_occupancy,mean_maximum_queue_occupancy,request_rejection_fraction
endpoint_aware,4,555,841.9564663052436,3083.544414414414,3484.761099099099,726.3446309451717,2965.6520720720714,0.04504504504504504,0.013663663663663663,0.27207207207207207,0.3316816816816817,9.035397897897898,13.297560060060059,1.0336472896084983,0.43783783783783786,0.8821099662689705,0.6322301670833529,0.2893665312097914,0.16828040195058433,0.11385549402577791,0.04541824747834038,0.36351344246979916,0.41602267155930445,13.037837837837838,0.006507822135653387,3.84663993909991,24.845045045045044,0.23178164687598649
endpoint_aware,8,60,802.8820639384651,3613.724166666665,4816.547333333333,688.1050141738286,3498.3108333333316,0.10034722222222221,0.06979166666666667,0.2267361111111111,0.396875,17.583333333333332,61.18055555555556,1.2538211954452265,0.4,0.9130114803614579,0.6408517577943108,0.45051040966953276,0.24376525830081747,0.18912128916849685,0.044892202609630116,0.2978579590919069,0.4365714675235533,0.0,0.0,5.277053650831689,25.716666666666665,0.17286923525977815
first_come_first_served,2,60,992.9072156924141,2439.8749999999995,2639.925,881.1559321148526,2326.5499999999997,0.09270833333333334,0.0,0.23333333333333334,0.3260416666666667,168.79166666666666,168.79166666666666,1.014087718673175,0.45,0.8930482606165806,0.6032009490936773,0.21074802776217585,0.08791868150407492,0.08579489095389956,0.02179367197650188,0.4293954398190598,0.4547731622199708,0.0,0.0,3.084772421421053,24.4,0.2615313653136531
first_come_first_served,3,60,870.439658487557,2433.021666666666,2669.0334999999995,756.8947475585426,2319.3091666666664,0.09861111111111112,0.00486111111111111,0.26666666666666666,0.37013888888888885,207.44722222222222,208.2111111111111,1.016124441632456,0.43333333333333335,0.8717684895797361,0.6496955603867767,0.24295440718190278,0.11641148786623814,0.09975102293275763,0.020299234900167322,0.40705796447765946,0.5365525647227775,0.0,0.0,3.156033380627116,24.833333333333332,0.24467808930425752
first_come_first_served,4,555,915.0985375392935,2530.602342342342,2835.215855855856,803.0910423920046,2417.088198198198,0.17526276276276276,0.008558558558558558,0.2773648648648649,0.4611861861861862,319.3484767662399,323.1929962857594,1.0158770388536305,0.43243243243243246,0.8758325068127855,0.7029036207627699,0.28499286872597934,0.16597367778097283,0.1119316552355315,0.012693235662996577,0.40780017258812323,0.6706227179901053,0.01981981981981982,0.009102048038271306,4.178083365583768,25.16036036036036,0.24448167844394258
first_come_first_served,8,60,903.6629302827424,2338.1749999999997,2718.6735,788.8601064154216,2224.0574999999994,0.2517361111111111,0.014930555555555556,0.3319444444444445,0.5986111111111111,553.6194444444444,559.3416666666667,1.0084059370033451,0.3,0.8690281949316533,0.7474222126991922,0.4274056383474468,0.22856666562676792,0.1772085541301922,0.009066767592565193,0.433853373719778,0.727547860040922,0.0,0.0,5.872731427957839,27.133333333333333,0.22526269702276708
link_aware,2,60,1007.4403756047909,2958.8874999999994,3179.8375,895.6890920272294,2843.4624999999996,0.051041666666666666,0.0,0.23333333333333334,0.284375,6.5625,6.5625,1.040784121104861,0.45,0.8930482606165806,0.5147231878380042,0.21074802776217585,0.08791868150407492,0.08579489095389956,0.06547870874566579,0.40787204291215845,0.37817741753911965,0.0,0.0,3.1062868861885846,24.3,0.2615313653136531
link_aware,3,60,873.5222156317075,3074.470833333333,3394.108333333333,760.0280080171325,2958.004166666666,0.04895833333333333,0.00798611111111111,0.2503472222222222,0.3072916666666667,6.638888888888888,7.819444444444445,1.0498894271283832,0.43333333333333335,0.8773981532634281,0.6076137145289339,0.2444607665023954,0.11744859181680753,0.10075155479770924,0.05592773578812218,0.3750364651301543,0.4184520690903669,0.0,0.0,3.200826892997656,24.75,0.2367601246105919
link_aware,4,555,854.1498142301938,3141.285585585585,3548.69963963964,739.3763266411486,3020.244054054054,0.037349849849849855,0.010435435435435436,0.28596096096096096,0.3337462462462462,2.4421921921921923,6.441966966966967,1.0270886242488486,0.43423423423423424,0.8798558973577831,0.532877098584254,0.2884982263476031,0.16808001827747449,0.11358521361749853,0.04734395595248187,0.36403624964820414,0.3922609728009753,6.812612612612613,0.007019113196708306,3.891537241333632,24.771171171171172,0.23521769748184843
link_aware,8,60,817.0854199515124,4056.337499999999,5074.6095,702.2822471615641,3940.2291666666656,0.07638888888888888,0.07256944444444445,0.2420138888888889,0.3909722222222222,-3.6388888888888884,20.527777777777775,1.1162296549810715,0.4,0.9101619656387723,0.6118664104481054,0.44808190380541385,0.24282799602363225,0.18817718458624805,0.049553370826718623,0.2979873016378816,0.4276533004132855,0.0,0.0,5.376904469012515,25.9,0.17717454757734968
