profile_name,qaoa_label,num_qubits,trial_count,mean_baseline_waiting_ns,max_baseline_waiting_ns,mean_raw_excess_latency_ns,std_raw_excess_latency_ns,mean_thresholded_excess_latency_ns,std_thresholded_excess_latency_ns,mean_detected_contention_fraction,std_detected_contention_fraction
combined_50ns,qaoa_n12,12,10,0.0,0.0,171.18889765908932,9.392161397063196,171.97231176369777,6.659317505168965,0.16458333333333333,0.006588078458684117
combined_50ns,qaoa_n13,13,10,0.0,0.0,434.97577113776043,11.622218175386452,431.8931752317827,13.651727981608186,0.2520833333333333,0.006588078458684115
combined_50ns,qaoa_n14,14,10,0.0,0.0,423.54082171785365,10.989075052640072,427.61398063674403,8.572977815275989,0.2520833333333333,0.006588078458684113
combined_50ns,qaoa_n15,15,10,0.0,0.0,535.2771890901066,16.47760644386141,535.6657007291229,13.636217757362857,0.28125,0.010980130764473576
combined_50ns,qaoa_n5,5,10,0.0,0.0,94.03175277731584,10.159956988303007,90.97087025459416,5.524450020008426,0.09791666666666668,0.010063456073742668
combined_50ns,qaoa_n6,6,10,0.0,0.0,213.84321225562135,10.83914736964497,214.2313899653854,9.70497362707526,0.1625,0.013176156917368245
combined_50ns,qaoa_n7,7,10,0.0,0.0,201.66716291260153,16.18043089482282,201.85422571452258,10.002066603140886,0.1625,0.008784104611578825
combined_50ns,qaoa_n8,8,10,0.0,0.0,199.68031205057287,10.510131116764477,200.47038863154734,6.9080999863691614,0.16666666666666666,0.009820927516479828
combined_50ns,qaoa_n9,9,10,0.0,0.0,376.3914818352601,15.681607592118093,376.96201883281446,11.066327405370805,0.22708333333333336,0.011825962754115552
combined_5ns,qaoa_n10,10,10,0.0,0.0,268.6722230557633,3.1994293927043023,268.73315335945625,3.080804552644934,0.20833333333333334,0.0
combined_5ns,qaoa_n11,11,10,0.0,0.0,451.68109000662054,1.790987725438276,451.8708330136492,1.3317944966121806,0.2708333333333333,0.0
combined_5ns,qaoa_n12,12,10,0.0,0.0,173.44672377433199,2.2707876304368675,173.27374443524113,1.8748416478088288,0.16875,0.006588078458684128
combined_5ns,qaoa_n13,13,10,0.0,0.0,434.958218981179,2.604470900741264,434.83007765110796,1.9906168508602073,0.27291666666666664,0.006588078458684143
combined_5ns,qaoa_n14,14,10,0.0,0.0,422.48310660481184,2.5281869953110814,421.53506727199164,2.18835371047968,0.275,0.00878410461157885
combined_5ns,qaoa_n15,15,10,0.0,0.0,544.5590502364549,3.074807289905494,544.3174985286813,2.8182676061635883,0.29375,0.006588078458684118
combined_5ns,qaoa_n5,5,10,0.0,0.0,96.88087649865099,2.017257087683475,96.92508092088953,0.8620780205669588,0.11458333333333333,0.010980130764473536
combined_5ns,qaoa_n6,6,10,0.0,0.0,217.54886400014772,1.1433957961340653,217.9150477613163,1.2510672818882054,0.16666666666666666,0.0
combined_5ns,qaoa_n7,7,10,0.0,0.0,209.19519487418106,2.416025797862361,209.7649297135825,1.8840454066669503,0.16666666666666666,0.0
combined_5ns,qaoa_n8,8,10,0.0,0.0,207.2645866998681,1.3934243152793808,207.01607192816633,0.7002997664568464,0.16666666666666666,0.0
combined_5ns,qaoa_n9,9,10,0.0,0.0,373.21611632813017,2.015113503987752,373.3777643669899,1.6213510065147065,0.23125,0.0065880784586841296
scheduler_20ns,qaoa_n10,10,10,0.0,0.0,264.32916666666665,3.4006767890313876,264.32916666666665,3.4006767890313876,0.20833333333333334,0.0
scheduler_20ns,qaoa_n11,11,10,0.0,0.0,450.6729166666667,7.485892403010093,450.6729166666667,7.485892403010093,0.2708333333333333,0.0
scheduler_20ns,qaoa_n12,12,10,0.0,0.0,174.7875,6.048493907526302,174.7875,6.048493907526302,0.16875,0.006588078458684131
scheduler_20ns,qaoa_n13,13,10,0.0,0.0,430.8479166666667,4.036664645265126,430.8479166666667,4.036664645265126,0.2708333333333333,0.0
scheduler_20ns,qaoa_n14,14,10,0.0,0.0,419.2145833333333,6.167902544450541,419.2145833333333,6.167902544450541,0.2708333333333333,0.0
scheduler_20ns,qaoa_n15,15,10,0.0,0.0,539.13125,5.385147344436974,539.13125,5.385147344436974,0.2916666666666667,0.0
scheduler_20ns,qaoa_n5,5,10,0.0,0.0,96.91041666666666,2.581410761591753,96.91041666666666,2.581410761591753,0.12083333333333335,0.008784104611578828
