trace_id,scenario_name,scenario_family,link_capacity,shared_backend_components,backend_capacity,workload_name,trial_id,victim_phase_ns,mean_excess_ns,std_excess_ns,p95_excess_ns,max_excess_ns,affected_fraction,positive_mean_ns,longest_affected_run,affected_gap_cv,autocorr_lag1,segment1_mean_ns,segment2_mean_ns,segment3_mean_ns
isolated_backend_link2::sparse_periodic::trial2,isolated_backend_link2,isolated_backend,2,,1,sparse_periodic,2,184.0725379784687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isolated_backend_link2::sparse_periodic::trial3,isolated_backend_link2,isolated_backend,2,,1,sparse_periodic,3,317.15754733141074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isolated_backend_link2::sparse_periodic::trial4,isolated_backend_link2,isolated_backend,2,,1,sparse_periodic,4,371.10561707714817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isolated_backend_link2::sparse_periodic::trial5,isolated_backend_link2,isolated_backend,2,,1,sparse_periodic,5,485.8776153986558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isolated_backend_link2::sparse_periodic::trial6,isolated_backend_link2,isolated_backend,2,,1,sparse_periodic,6,546.1810346387633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isolated_backend_link2::sparse_periodic::trial7,isolated_backend_link2,isolated_backend,2,,1,sparse_periodic,7,609.4099524431582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isolated_backend_link2::sparse_periodic::trial8,isolated_backend_link2,isolated_backend,2,,1,sparse_periodic,8,672.1465561717492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isolated_backend_link2::sparse_periodic::trial9,isolated_backend_link2,isolated_backend,2,,1,sparse_periodic,9,270.3170724214532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isolated_backend_link2::synchronization_bursty::trial0,isolated_backend_link2,isolated_backend,2,,1,synchronization_bursty,0,594.1504913967401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isolated_backend_link2::synchronization_bursty::trial1,isolated_backend_link2,isolated_backend,2,,1,synchronization_bursty,1,129.64180581814963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isolated_backend_link2::synchronization_bursty::trial2,isolated_backend_link2,isolated_backend,2,,1,synchronization_bursty,2,417.21428942408545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isolated_backend_link2::synchronization_bursty::trial3,isolated_backend_link2,isolated_backend,2,,1,synchronization_bursty,3,628.4650487727806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isolated_backend_link2::synchronization_bursty::trial4,isolated_backend_link2,isolated_backend,2,,1,synchronization_bursty,4,367.0125364734358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isolated_backend_link2::synchronization_bursty::trial5,isolated_backend_link2,isolated_backend,2,,1,synchronization_bursty,5,415.54157174050437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isolated_backend_link2::synchronization_bursty::trial6,isolated_backend_link2,isolated_backend,2,,1,synchronization_bursty,6,235.0222309653707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isolated_backend_link2::synchronization_bursty::trial7,isolated_backend_link2,isolated_backend,2,,1,synchronization_bursty,7,375.4908194870964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isolated_backend_link2::synchronization_bursty::trial8,isolated_backend_link2,isolated_backend,2,,1,synchronization_bursty,8,266.77247324875657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
