trace_id,probe_index,release_ns,attacker_only_completion_ns,combined_completion_ns,attacker_only_turnaround_ns,combined_turnaround_ns,excess_turnaround_ns,affected
isolated_backend_link1::sparse_periodic::trial1,45,18930.0,19195.0,19195.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial1,46,19350.0,19615.0,19615.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial1,47,19770.0,20035.0,20035.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial2,0,30.0,295.0,295.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial2,1,450.0,715.0,715.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial2,2,870.0,1135.0,1135.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial2,3,1290.0,1555.0,1555.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial2,4,1710.0,1975.0,1975.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial2,5,2130.0,2395.0,2395.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial2,6,2550.0,2815.0,2815.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial2,7,2970.0,3235.0,3235.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial2,8,3390.0,3655.0,3655.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial2,9,3810.0,4075.0,4130.095432923794,265.0,320.09543292379385,55.09543292379385,True
isolated_backend_link1::sparse_periodic::trial2,10,4230.0,4495.0,4515.095432923794,265.0,285.09543292379385,20.09543292379385,True
isolated_backend_link1::sparse_periodic::trial2,11,4650.0,4915.0,4915.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial2,12,5070.0,5335.0,5335.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial2,13,5490.0,5755.0,5755.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial2,14,5910.0,6175.0,6175.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial2,15,6330.0,6595.0,6595.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial2,16,6750.0,7015.0,7015.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial2,17,7170.0,7435.0,7435.0,265.0,265.0,0.0,False
