subexperiment,allocation_policy,communication_qubits_per_module,trial_count,successful_victim_trial_count,victim_failure_rate,mean_positive_delay_detection_probability,mean_negative_speedup_detection_probability,mean_signed_timing_change_probability,mean_failure_only_detection_probability,mean_delay_or_failure_detection_probability,mean_signed_timing_or_failure_detection_probability,mean_full_observable_change_probability,mean_signed_turnaround_change_ns,mean_absolute_turnaround_change_ns,mean_total_absolute_turnaround_change_ns,mean_signed_cq_queue_change_ns,mean_absolute_cq_queue_change_ns,mean_successful_victim_slowdown_ratio,max_successful_victim_slowdown_ratio,mean_request_failure_rate,mean_cq_service_utilization,mean_cq_reset_occupancy_fraction,mean_cq_reservation_occupancy_fraction,mean_cq_allocation_hold_fraction,mean_aggregate_resource_demand_nonphysical,fraction_aggregate_resource_demand_exceeds_one,mean_epr_unused_fraction,total_epr_prefetched_pairs,total_epr_used_pairs,total_epr_unused_pairs,mean_grant_fairness,mean_inverse_wait_fairness,successful_victim_trial_fraction,aggregate_epr_unused_fraction
core_policy_capacity_tenancy,shared_global_pool,1,60,48,0.2,0.06493055555555556,0.0,0.06493055555555556,0.0,0.06493055555555556,0.06493055555555556,0.8482638888888889,178.39652777777778,178.39652777777778,8563.033333333333,178.39652777777778,178.39652777777778,1.5866556228607533,2.815947242206235,0.07116487669505654,0.25525674707189866,0.11602579412359028,0.833749450552648,0.0,1.205031991748137,0.85,,0,0,0,0.7999937226837704,0.393276366913523,0.8,
core_policy_capacity_tenancy,shared_global_pool,2,60,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8857638888888889,0.0,0.0,0.0,0.0,0.0,1.111795271613995,1.326943556975506,0.0,0.14820112647645345,0.06736414839838788,0.588262331563873,0.0,0.8038276064387142,0.25,,0,0,0,0.8055181787340238,0.32989470497047063,1.0,
core_policy_capacity_tenancy,shared_global_pool,4,60,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,1.0320222770766483,1.2588235294117647,0.0,0.07411433743884116,0.03368833519947322,0.35507161334454046,0.0,0.46287428598285485,0.0,,0,0,0,0.8055181787340238,0.5440710834466844,1.0,
core_policy_capacity_tenancy,shared_global_pool,8,60,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9729166666666667,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.03713111962136617,0.016877781646075504,0.20449532866689507,0.0,0.2585042299343367,0.0,,0,0,0,0.8055181787340238,0.8604902663944948,1.0,
core_policy_capacity_tenancy,static_assignment,1,60,0,1.0,0.0,0.0017361111111111112,0.0017361111111111112,0.0,0.0,0.0017361111111111112,0.0017361111111111112,-0.8993055555555556,0.8993055555555556,43.166666666666664,-0.8993055555555556,0.8993055555555556,,,0.35772184254160705,0.15983185008154982,0.07265084094615899,0.4634236765116505,0.0,0.6959063675393593,0.0,,0,0,0,0.6816361900364917,0.30755371033019946,0.0,
core_policy_capacity_tenancy,static_assignment,2,60,46,0.23333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.07102970735672225,0.12311588803407479,0.05596176728821579,0.3552627638549364,0.0,0.534340419177227,0.0,,0,0,0,0.8038251174440935,0.30445130702757744,0.7666666666666667,
core_policy_capacity_tenancy,static_assignment,4,60,45,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0682726813758503,0.061836581875359196,0.028107537216072336,0.17660292701803254,0.0,0.26654704610946406,0.0,,0,0,0,0.810437302922163,0.304140338960732,0.75,
core_policy_capacity_tenancy,static_assignment,8,60,45,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.04294989826939251,0.03406123110358847,0.015482377774358366,0.10465652505811099,0.0,0.1542001339360578,0.0,,0,0,0,0.8270184462832487,0.3218436339446957,0.75,
epr_coordination_granularity,coherence_aware,2,180,127,0.29444444444444445,0.00023148148148148146,0.0,0.00023148148148148146,0.0,0.00023148148148148146,0.00023148148148148146,0.16967592592592592,0.022222222222222223,0.022222222222222223,1.0666666666666667,0.022222222222222223,0.022222222222222223,1.206857740086898,2.0492610837438425,0.07456602644316115,0.1173729360952655,0.05914810395377721,0.42250238946716295,0.05492646620339583,0.6539498957196015,0.0,0.2215037837370214,25448,10592,5686,0.7576903018984084,0.2626905798543744,0.7055555555555556,0.2234360264067903
epr_coordination_granularity,fair_share,2,180,107,0.40555555555555556,0.00011574074074074073,0.005092592592592592,0.005208333333333333,0.0,0.00011574074074074073,0.005208333333333333,0.3924768518518518,-0.24884259259259262,0.2604166666666667,12.5,0.0,0.0,1.3702200353313925,3.0,0.09042561817004416,0.11587053083389157,0.05801941215270708,0.5076609295188977,0.06001460378372805,0.7415654762892244,0.027777777777777776,0.3039683677436078,24982,9792,7546,0.7546875349130812,0.2618168372395233,0.5944444444444444,0.3020574813865983
epr_coordination_granularity,first_available,2,180,128,0.28888888888888886,0.00023148148148148146,0.0,0.00023148148148148146,0.0,0.00023148148148148146,0.00023148148148148146,0.34837962962962965,0.030092592592592594,0.030092592592592594,1.4444444444444444,0.030092592592592594,0.030092592592592594,1.1548317737955032,2.050246305418719,0.07396355405961666,0.11854539104907064,0.05912927581447228,0.5103029856004413,0.05359068846713093,0.7415683409311151,0.044444444444444446,0.3070775185579012,25446,9590,7767,0.7594140447003391,0.26292707103623875,0.7111111111111111,0.3052346144777175
epr_coordination_granularity,per_tenant_reserved,2,180,144,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3229347692156041,0.08825893659347034,0.04503398008774248,0.2751750342421133,0.009019185688037546,0.4174871366113637,0.0,0.16868781953101364,19044,8712,3222,0.4598860186191668,0.7502703913880835,0.8,0.16918714555765596
epr_coordination_granularity,predicted_demand,2,180,110,0.3888888888888889,0.002546296296296296,0.0,0.002546296296296296,0.0,0.002546296296296296,0.002546296296296296,0.0060185185185185185,6.3381944444444445,6.3381944444444445,304.23333333333335,6.251388888888889,6.251388888888889,1.351557044435274,2.9340974212034383,0.09342620390450086,0.11390691273951187,0.057597768850333186,0.41846155640908145,0.05920872472867272,0.6491749627275992,0.0,0.2226516004644124,24814,10622,5548,0.7644797269490027,0.2669333708347558,0.6111111111111112,0.22358346094946402
epr_coordination_granularity,priority_allocation,2,180,148,0.17777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.37025462962962963,0.0,0.0,0.0,0.0,0.0,1.1625888028094729,2.0945812807881774,0.06588640927208289,0.12104735671531104,0.06018851081001801,0.5115391907179044,0.05240381076552304,0.7451788690087565,0.03888888888888889,0.313539835157015,25890,9414,7984,0.7472280986219176,0.26219899471901614,0.8222222222222222,0.30838161452298185
