subexperiment,configuration_id,allocation_policy,communication_qubits_per_module,tenants_sharing_module,reservation_duration_ns,reset_time_ns,epr_prefetch_enabled,allocation_coordination,allocation_granularity,trial_count,successful_victim_trial_count,victim_failure_rate,mean_positive_delay_detection_probability,mean_negative_speedup_detection_probability,mean_signed_timing_change_probability,mean_failure_only_detection_probability,mean_delay_or_failure_detection_probability,mean_signed_timing_or_failure_detection_probability,mean_full_observable_change_probability,mean_signed_turnaround_change_ns,mean_absolute_turnaround_change_ns,mean_total_absolute_turnaround_change_ns,mean_signed_cq_queue_change_ns,mean_absolute_cq_queue_change_ns,mean_successful_victim_slowdown_ratio,max_successful_victim_slowdown_ratio,mean_request_failure_rate,mean_cq_service_utilization,mean_cq_reset_occupancy_fraction,mean_cq_reservation_occupancy_fraction,mean_cq_allocation_hold_fraction,mean_aggregate_resource_demand_nonphysical,fraction_aggregate_resource_demand_exceeds_one,mean_epr_unused_fraction,total_epr_prefetched_pairs,total_epr_used_pairs,total_epr_unused_pairs,mean_grant_fairness,mean_inverse_wait_fairness,successful_victim_trial_fraction,aggregate_epr_unused_fraction
core_policy_capacity_tenancy,core_policy_capacity_tenancy__fair_share__cq2__ten3__res500__reset50__noepr__global__per_operation,fair_share,2,3,500,50,False,global,per_operation,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3541666666666667,0.0,0.0,0.0,0.0,0.0,1.127601947098453,1.411087190527449,0.0010869565217391268,0.12511980072459275,0.05687263669299667,0.4498471490436968,0.0,0.6318395864612862,0.0,,0,0,0,0.8037733865411387,0.33952063353280043,1.0,
core_policy_capacity_tenancy,core_policy_capacity_tenancy__fair_share__cq2__ten4__res500__reset50__noepr__global__per_operation,fair_share,2,4,500,50,False,global,per_operation,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5513888888888889,0.0,0.0,0.0,0.0,0.0,1.1273862264885974,1.3923885828743114,0.004754901960784307,0.14096131767711076,0.0640733262168685,0.4991434057612552,0.0,0.7041780496552345,0.0,,0,0,0,0.7631032629339234,0.2518507691295185,1.0,
core_policy_capacity_tenancy,core_policy_capacity_tenancy__fair_share__cq2__ten8__res500__reset50__noepr__global__per_operation,fair_share,2,8,500,50,False,global,per_operation,15,5,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.24166666666666667,0.0,0.0,0.0,0.0,0.0,1.1987955503883825,1.4942450914014895,0.12394089440278333,0.16569101247687,0.07531409658039541,0.5305537993025483,0.0,0.7715589083598137,0.0,,0,0,0,0.7589957055640777,0.12947993770822105,0.3333333333333333,
core_policy_capacity_tenancy,core_policy_capacity_tenancy__fair_share__cq4__ten2__res500__reset50__noepr__global__per_operation,fair_share,4,2,500,50,False,global,per_operation,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6416666666666667,0.0,0.0,0.0,0.0,0.0,1.0040462427745664,1.0202312138728324,0.0,0.05564162389174052,0.02529164722351838,0.22539664022398503,0.0,0.3063299113392439,0.0,,0,0,0,0.9011615494493965,0.5060692370906346,1.0,
core_policy_capacity_tenancy,core_policy_capacity_tenancy__fair_share__cq4__ten3__res500__reset50__noepr__global__per_operation,fair_share,4,3,500,50,False,global,per_operation,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5666666666666667,0.0,0.0,0.0,0.0,0.0,1.0559708471369709,1.7652173913043478,0.0,0.06294617434002608,0.028611897427284545,0.26805262607771085,0.0,0.35961069784502153,0.0,,0,0,0,0.804958020709733,0.43714619885142236,1.0,
core_policy_capacity_tenancy,core_policy_capacity_tenancy__fair_share__cq4__ten4__res500__reset50__noepr__global__per_operation,fair_share,4,4,500,50,False,global,per_operation,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5958333333333333,0.0,0.0,0.0,0.0,0.0,1.007940019879719,1.0324855491329479,0.0,0.07066537310709697,0.0321206241395895,0.3089345571521304,0.0,0.4117205543988169,0.0,,0,0,0,0.7677149113724713,0.3094252359826025,1.0,
core_policy_capacity_tenancy,core_policy_capacity_tenancy__fair_share__cq4__ten8__res500__reset50__noepr__global__per_operation,fair_share,4,8,500,50,False,global,per_operation,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8069444444444444,0.0,0.0,0.0,0.0,0.0,1.0732271638788509,1.34020156774916,0.0,0.10703082452510153,0.04865037478413703,0.45446246366818915,0.0,0.6101436629774277,0.0,,0,0,0,0.7482382334044941,0.13151399045110382,1.0,
core_policy_capacity_tenancy,core_policy_capacity_tenancy__fair_share__cq8__ten2__res500__reset50__noepr__global__per_operation,fair_share,8,2,500,50,False,global,per_operation,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7125,0.0,0.0,0.0,0.0,0.0,1.0003569303985722,1.0017846519928615,0.0,0.02782081194587026,0.01264582361175918,0.13215818945403635,0.0,0.1726248250116658,0.0,,0,0,0,0.9011615494493965,0.705209388973585,1.0,
core_policy_capacity_tenancy,core_policy_capacity_tenancy__fair_share__cq8__ten3__res500__reset50__noepr__global__per_operation,fair_share,8,3,500,50,False,global,per_operation,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6763888888888889,0.0,0.0,0.0,0.0,0.0,1.0003567184446538,1.0017846519928615,0.0,0.03171850320901531,0.014417501458643274,0.1561552123445535,0.0,0.2022912170122121,0.0,,0,0,0,0.804958020709733,0.6662696892715229,1.0,
core_policy_capacity_tenancy,core_policy_capacity_tenancy__fair_share__cq8__ten4__res500__reset50__noepr__global__per_operation,fair_share,8,4,500,50,False,global,per_operation,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7083333333333334,0.0,0.0,0.0,0.0,0.0,1.000673212745684,1.0065320665083135,0.0,0.035428151019708726,0.016103705008958486,0.17735411822468,0.0,0.22888597425334722,0.0,,0,0,0,0.7677149113724713,0.5589557919314238,1.0,
core_policy_capacity_tenancy,core_policy_capacity_tenancy__fair_share__cq8__ten8__res500__reset50__noepr__global__per_operation,fair_share,8,8,500,50,False,global,per_operation,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7513888888888889,0.0,0.0,0.0,0.0,0.0,1.00160996162712,1.0152851263962375,0.0,0.053940258620287306,0.024518299372857846,0.2780978769524232,0.0,0.3565564349455684,0.0,,0,0,0,0.7482382334044941,0.36937441592437564,1.0,
core_policy_capacity_tenancy,core_policy_capacity_tenancy__first_available__cq1__ten2__res500__reset50__noepr__global__per_operation,first_available,1,2,500,50,False,global,per_operation,15,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.27701265358518246,0.1531684554363042,0.06962202519832004,0.473560429304713,0.0,0.6963509099393372,0.0,,0,0,0,0.8677455078443082,0.5013972960058183,0.0,
core_policy_capacity_tenancy,core_policy_capacity_tenancy__first_available__cq1__ten3__res500__reset50__noepr__global__per_operation,first_available,1,3,500,50,False,global,per_operation,15,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.32731410434687525,0.1575919172258079,0.07163268964809448,0.46758562747637206,0.0,0.6968102343502743,0.0,,0,0,0,0.7112342241560454,0.33892442402177647,0.0,
core_policy_capacity_tenancy,core_policy_capacity_tenancy__first_available__cq1__ten4__res500__reset50__noepr__global__per_operation,first_available,1,4,500,50,False,global,per_operation,15,0,1.0,0.0,0.004166666666666667,0.004166666666666667,0.0,0.0,0.004166666666666667,0.004166666666666667,-1.65,1.65,79.2,-1.65,1.65,,,0.3521409418117198,0.16217286514153204,0.07371493870069633,0.46183358273306313,0.0,0.6977213865752916,0.0,,0,0,0,0.653183479839982,0.25172009584549276,0.0,
core_policy_capacity_tenancy,core_policy_capacity_tenancy__first_available__cq1__ten8__res500__reset50__noepr__global__per_operation,first_available,1,8,500,50,False,global,per_operation,15,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.48565352986024074,0.16613791638147166,0.07551723471885072,0.4516620728702395,0.0,0.693317223970562,0.0,,0,0,0,0.4802239614472456,0.14766028014290614,0.0,
core_policy_capacity_tenancy,core_policy_capacity_tenancy__first_available__cq2__ten2__res500__reset50__noepr__global__per_operation,first_available,2,2,500,50,False,global,per_operation,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5208333333333334,0.0,0.0,0.0,0.0,0.0,1.0992059005155985,1.2503008423586042,0.0,0.11128324778348107,0.0505832944470368,0.41239384041063926,0.0,0.5742603826411571,0.0,,0,0,0,0.9011615494493965,0.5011969625105086,1.0,
core_policy_capacity_tenancy,core_policy_capacity_tenancy__first_available__cq2__ten3__res500__reset50__noepr__global__per_operation,first_available,2,3,500,50,False,global,per_operation,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6652777777777777,0.0,0.0,0.0,0.0,0.0,1.1198262478752954,1.2711314053779807,0.0010869565217391268,0.12565819397198894,0.05711736089635859,0.46274703135580075,0.0,0.6455225862241483,0.0,,0,0,0,0.8037733865411387,0.33631700393291486,1.0,
