subexperiment,allocation_policy,trial_count,successful_victim_trial_count,victim_failure_rate,mean_positive_delay_detection_probability,mean_negative_speedup_detection_probability,mean_signed_timing_change_probability,mean_failure_only_detection_probability,mean_delay_or_failure_detection_probability,mean_signed_timing_or_failure_detection_probability,mean_full_observable_change_probability,mean_signed_turnaround_change_ns,mean_absolute_turnaround_change_ns,mean_total_absolute_turnaround_change_ns,mean_signed_cq_queue_change_ns,mean_absolute_cq_queue_change_ns,mean_successful_victim_slowdown_ratio,max_successful_victim_slowdown_ratio,mean_request_failure_rate,mean_cq_service_utilization,mean_cq_reset_occupancy_fraction,mean_cq_reservation_occupancy_fraction,mean_cq_allocation_hold_fraction,mean_aggregate_resource_demand_nonphysical,fraction_aggregate_resource_demand_exceeds_one,mean_epr_unused_fraction,total_epr_prefetched_pairs,total_epr_used_pairs,total_epr_unused_pairs,mean_grant_fairness,mean_inverse_wait_fairness,successful_victim_trial_fraction,aggregate_epr_unused_fraction
epr_coordination_granularity,coherence_aware,180,127,0.29444444444444445,0.00023148148148148146,0.0,0.00023148148148148146,0.0,0.00023148148148148146,0.00023148148148148146,0.16967592592592592,0.022222222222222223,0.022222222222222223,1.0666666666666667,0.022222222222222223,0.022222222222222223,1.206857740086898,2.0492610837438425,0.07456602644316115,0.1173729360952655,0.05914810395377721,0.42250238946716295,0.05492646620339583,0.6539498957196015,0.0,0.2215037837370214,25448,10592,5686,0.7576903018984084,0.2626905798543744,0.7055555555555556,0.2234360264067903
epr_coordination_granularity,fair_share,180,107,0.40555555555555556,0.00011574074074074073,0.005092592592592592,0.005208333333333333,0.0,0.00011574074074074073,0.005208333333333333,0.3924768518518518,-0.24884259259259262,0.2604166666666667,12.5,0.0,0.0,1.3702200353313925,3.0,0.09042561817004416,0.11587053083389157,0.05801941215270708,0.5076609295188977,0.06001460378372805,0.7415654762892244,0.027777777777777776,0.3039683677436078,24982,9792,7546,0.7546875349130812,0.2618168372395233,0.5944444444444444,0.3020574813865983
epr_coordination_granularity,first_available,180,128,0.28888888888888886,0.00023148148148148146,0.0,0.00023148148148148146,0.0,0.00023148148148148146,0.00023148148148148146,0.34837962962962965,0.030092592592592594,0.030092592592592594,1.4444444444444444,0.030092592592592594,0.030092592592592594,1.1548317737955032,2.050246305418719,0.07396355405961666,0.11854539104907064,0.05912927581447228,0.5103029856004413,0.05359068846713093,0.7415683409311151,0.044444444444444446,0.3070775185579012,25446,9590,7767,0.7594140447003391,0.26292707103623875,0.7111111111111111,0.3052346144777175
epr_coordination_granularity,per_tenant_reserved,180,144,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3229347692156041,0.08825893659347034,0.04503398008774248,0.2751750342421133,0.009019185688037546,0.4174871366113637,0.0,0.16868781953101364,19044,8712,3222,0.4598860186191668,0.7502703913880835,0.8,0.16918714555765596
epr_coordination_granularity,predicted_demand,180,110,0.3888888888888889,0.002546296296296296,0.0,0.002546296296296296,0.0,0.002546296296296296,0.002546296296296296,0.0060185185185185185,6.3381944444444445,6.3381944444444445,304.23333333333335,6.251388888888889,6.251388888888889,1.351557044435274,2.9340974212034383,0.09342620390450086,0.11390691273951187,0.057597768850333186,0.41846155640908145,0.05920872472867272,0.6491749627275992,0.0,0.2226516004644124,24814,10622,5548,0.7644797269490027,0.2669333708347558,0.6111111111111112,0.22358346094946402
epr_coordination_granularity,priority_allocation,180,148,0.17777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.37025462962962963,0.0,0.0,0.0,0.0,0.0,1.1625888028094729,2.0945812807881774,0.06588640927208289,0.12104735671531104,0.06018851081001801,0.5115391907179044,0.05240381076552304,0.7451788690087565,0.03888888888888889,0.313539835157015,25890,9414,7984,0.7472280986219176,0.26219899471901614,0.8222222222222222,0.30838161452298185
epr_coordination_granularity,random_allocation,180,130,0.2777777777777778,0.001736111111111111,0.01261574074074074,0.014351851851851853,0.0,0.001736111111111111,0.014351851851851853,0.20555555555555555,-0.6206018518518518,0.8034722222222223,38.56666666666667,-0.07662037037037037,0.0974537037037037,1.152710439830935,1.5423658155289213,0.075935844050882,0.12110628646675439,0.05926316175675419,0.48650426404361796,0.05735311567000397,0.7242268279371306,0.05555555555555555,0.34905213432600757,25462,7662,8676,0.7564081630183924,0.2586954250511041,0.7222222222222222,0.3407430681014846
epr_coordination_granularity,round_robin,180,129,0.2833333333333333,0.0011574074074074073,0.00324074074074074,0.0043981481481481476,0.0,0.0011574074074074073,0.0043981481481481476,0.24814814814814815,0.0006944444444444247,0.3247685185185185,15.588888888888889,0.1337962962962963,0.1337962962962963,1.1769943362289625,2.4423645320197043,0.08068335536397679,0.11793815473421561,0.05886177439540006,0.5091068103092001,0.054456339258215615,0.7403630786970314,0.06111111111111111,0.30165554183082116,25530,9564,7610,0.755598992321533,0.2614156210953447,0.7166666666666667,0.29808068938503723
epr_coordination_granularity,shared_global_pool,180,173,0.03888888888888889,0.00011574074074074073,0.1545138888888889,0.15462962962962962,0.0,0.00011574074074074073,0.15462962962962962,0.8207175925925926,-7.719907407407408,7.731481481481482,371.1111111111111,0.0,0.0,1.1169014212905277,1.4919093851132685,0.009189149674206597,0.12836492322154555,0.06394553310173909,0.6840514103796049,0.0,0.8763618667028896,0.3333333333333333,0.31308745404011973,27354,10216,7854,0.7672065628585901,0.336206182268276,0.9611111111111111,0.28712436937924984
epr_coordination_granularity,static_assignment,180,96,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.12893568928874904,0.10612282638920859,0.05388204753030112,0.3804892792980088,0.02894818944891238,0.5694423426664309,0.0,0.17107597800184865,23844,10522,4026,0.7626849160150218,0.2711627963179758,0.5333333333333333,0.1688475088072471
