victim_instance_id,phase_index,phase_label,remote_active,start_ns,end_ns,duration_ns,schedule_signature
victim_0007,3,local_compute,0,12585.00067934516,16162.597876815944,3577.5971974707845,eae67e10c7e26316
victim_0007,4,dense_remote,1,16162.597876815944,20000.0,3837.402123184056,eae67e10c7e26316
victim_0008,0,synchronization_bursty,1,0.0,2978.015688481845,2978.015688481845,8760a6d1ede855aa
victim_0008,1,dense_remote,1,2978.015688481845,6468.965710581726,3490.950022099881,8760a6d1ede855aa
victim_0008,2,sparse_remote,1,6468.965710581726,11679.055663519011,5210.0899529372855,8760a6d1ede855aa
victim_0008,3,local_compute,0,11679.055663519011,16457.887331498667,4778.831667979655,8760a6d1ede855aa
victim_0008,4,dense_remote,1,16457.887331498667,20000.0,3542.1126685013332,8760a6d1ede855aa
victim_0009,0,synchronization_bursty,1,0.0,5305.115060488782,5305.115060488782,1d731026603d2892
victim_0009,1,local_compute,0,5305.115060488782,9326.373714373396,4021.2586538846144,1d731026603d2892
victim_0009,2,synchronization_bursty,1,9326.373714373396,13664.32402034116,4337.9503059677645,1d731026603d2892
victim_0009,3,sparse_remote,1,13664.32402034116,16027.580252058964,2363.2562317178035,1d731026603d2892
victim_0009,4,dense_remote,1,16027.580252058964,20000.0,3972.419747941036,1d731026603d2892
victim_0010,0,local_compute,0,0.0,3799.0914558502673,3799.0914558502673,aecfb0d1ad8582e1
victim_0010,1,dense_remote,1,3799.0914558502673,7177.584870190105,3378.4934143398377,aecfb0d1ad8582e1
victim_0010,2,sparse_remote,1,7177.584870190105,9864.380078273627,2686.795208083522,aecfb0d1ad8582e1
victim_0010,3,synchronization_bursty,1,9864.380078273627,12803.703036780968,2939.3229585073404,aecfb0d1ad8582e1
victim_0010,4,dense_remote,1,12803.703036780968,15204.780045932635,2401.077009151668,aecfb0d1ad8582e1
victim_0010,5,synchronization_bursty,1,15204.780045932635,20000.0,4795.219954067365,aecfb0d1ad8582e1
victim_0011,0,local_compute,0,0.0,3617.2194221406726,3617.2194221406726,6462ff3792ce86c7
victim_0011,1,dense_remote,1,3617.2194221406726,6029.49615532634,2412.2767331856676,6462ff3792ce86c7
victim_0011,2,sparse_remote,1,6029.49615532634,9383.851011905477,3354.354856579137,6462ff3792ce86c7
victim_0011,3,synchronization_bursty,1,9383.851011905477,14025.641239136228,4641.790227230751,6462ff3792ce86c7
victim_0011,4,local_compute,0,14025.641239136228,17322.52763686102,3296.886397724793,6462ff3792ce86c7
victim_0011,5,dense_remote,1,17322.52763686102,20000.0,2677.472363138979,6462ff3792ce86c7
victim_0012,0,local_compute,0,0.0,3985.7152771445117,3985.7152771445117,dfea23602595ad5a
victim_0012,1,synchronization_bursty,1,3985.7152771445117,8473.277578586047,4487.562301441535,dfea23602595ad5a
victim_0012,2,local_compute,0,8473.277578586047,11691.214193367578,3217.936614781531,dfea23602595ad5a
