qaoa_label,num_qubits,profile_name,trial_id,attacker_request_id,probe_id,window_name,observation_duration_ns,round_start_time_ns,request_release_time_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed,raw_excess_turnaround_time_ns,raw_excess_waiting_time_ns,detection_threshold_ns
qaoa_n5,5,clean,0,37,37,qaoa_n5_clean,20000,16540,16570,16570,16570,16680.0,110,0.0,110.0,module_3,module_4,54,0.0,110.0,16680.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n5,5,clean,0,38,38,qaoa_n5_clean,20000,16960,16990,16990,16990,17100.0,110,0.0,110.0,module_3,module_4,55,0.0,110.0,17100.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n5,5,clean,0,39,39,qaoa_n5_clean,20000,17380,17410,17410,17410,17520.0,110,0.0,110.0,module_3,module_4,56,0.0,110.0,17520.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n5,5,clean,0,40,40,qaoa_n5_clean,20000,17800,17830,17830,17830,17940.0,110,0.0,110.0,module_3,module_4,57,0.0,110.0,17940.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n5,5,clean,0,41,41,qaoa_n5_clean,20000,18220,18250,18250,18250,18360.0,110,0.0,110.0,module_3,module_4,58,0.0,110.0,18360.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n5,5,clean,0,42,42,qaoa_n5_clean,20000,18640,18670,18670,18670,18780.0,110,0.0,110.0,module_3,module_4,59,0.0,110.0,18780.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n5,5,clean,0,43,43,qaoa_n5_clean,20000,19060,19090,19090,19090,19200.0,110,0.0,110.0,module_3,module_4,60,0.0,110.0,19200.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n5,5,clean,0,44,44,qaoa_n5_clean,20000,19480,19510,19510,19510,19620.0,110,0.0,110.0,module_3,module_4,61,0.0,110.0,19620.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n5,5,clean,0,45,45,qaoa_n5_clean,20000,19900,19930,19930,19930,20040.0,110,0.0,110.0,module_3,module_4,62,0.0,110.0,20040.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n5,5,clean,0,46,46,qaoa_n5_clean,20000,20320,20350,20350,20350,20460.0,110,0.0,110.0,module_3,module_4,63,0.0,110.0,20460.0,0.0,0.0,False,0.0,0.0,0.0
