base_schedule_id,repeat_id,schedule_profile,victim_request_index,route_path,release_ns
base_0002,0,synchronization_bursty,17,probe_path_1,7984.48182181479
base_0002,0,synchronization_bursty,18,probe_path_2,9315.502688684652
base_0002,0,synchronization_bursty,19,probe_path_0,9397.23800165963
base_0002,0,synchronization_bursty,20,probe_path_1,9485.056989855319
base_0002,0,synchronization_bursty,21,probe_path_2,10811.263528097117
base_0002,0,synchronization_bursty,22,probe_path_0,10897.974640428138
base_0002,0,synchronization_bursty,23,probe_path_1,10982.351484751138
base_0002,0,synchronization_bursty,24,probe_path_2,12311.354251967234
base_0002,0,synchronization_bursty,25,probe_path_0,12397.909226766807
base_0002,0,synchronization_bursty,26,probe_path_1,12482.621142233495
base_0002,0,synchronization_bursty,27,probe_path_2,13811.277133746016
base_0002,0,synchronization_bursty,28,probe_path_0,13901.5109927971
base_0002,0,synchronization_bursty,29,probe_path_1,13987.533700797749
base_0002,0,synchronization_bursty,30,probe_path_2,15314.174095418308
base_0002,0,synchronization_bursty,31,probe_path_0,15399.265808838707
base_0002,0,synchronization_bursty,32,probe_path_1,15485.67090778865
base_0002,0,synchronization_bursty,33,probe_path_2,16812.034387951466
base_0002,0,synchronization_bursty,34,probe_path_0,16897.4860964608
base_0002,0,synchronization_bursty,35,probe_path_1,16983.366152096554
base_0002,0,synchronization_bursty,36,probe_path_2,18313.01585361869
base_0002,0,synchronization_bursty,37,probe_path_0,18396.89435725048
base_0002,0,synchronization_bursty,38,probe_path_1,18485.516702139626
base_0002,0,synchronization_bursty,39,probe_path_2,19817.69412768171
base_0002,0,synchronization_bursty,40,probe_path_0,19897.348894935203
base_0002,0,synchronization_bursty,41,probe_path_1,19985.57735618055
base_0002,1,synchronization_bursty,0,probe_path_2,304.0131248431888
base_0002,1,synchronization_bursty,1,probe_path_0,394.15600117443904
base_0002,1,synchronization_bursty,2,probe_path_1,481.0318862960192
base_0002,1,synchronization_bursty,3,probe_path_2,1807.751056365906
base_0002,1,synchronization_bursty,4,probe_path_0,1891.3836761171608
base_0002,1,synchronization_bursty,5,probe_path_1,1974.738874222419
base_0002,1,synchronization_bursty,6,probe_path_2,3311.9332832649534
base_0002,1,synchronization_bursty,7,probe_path_0,3396.243203402844
base_0002,1,synchronization_bursty,8,probe_path_1,3481.635837651007
base_0002,1,synchronization_bursty,9,probe_path_2,4806.373888257856
base_0002,1,synchronization_bursty,10,probe_path_0,4891.884034371924
base_0002,1,synchronization_bursty,11,probe_path_1,4982.798641521712
base_0002,1,synchronization_bursty,12,probe_path_2,6312.130153371835
base_0002,1,synchronization_bursty,13,probe_path_0,6392.236968222196
base_0002,1,synchronization_bursty,14,probe_path_1,6483.504972356793
base_0002,1,synchronization_bursty,15,probe_path_2,7809.7809233724865
base_0002,1,synchronization_bursty,16,probe_path_0,7896.912152374153
base_0002,1,synchronization_bursty,17,probe_path_1,7981.593628399058
base_0002,1,synchronization_bursty,18,probe_path_2,9306.946530901241
base_0002,1,synchronization_bursty,19,probe_path_0,9395.788640854154
base_0002,1,synchronization_bursty,20,probe_path_1,9478.170647893223
base_0002,1,synchronization_bursty,21,probe_path_2,10808.381227038684
base_0002,1,synchronization_bursty,22,probe_path_0,10899.26038021699
