domain_id,task_name,model_name,true_label,predicted_label,count,true_normalized_fraction
unseen_impl_slow,retry_policy_inference,logistic_regression,retry_1,retry_2,4,0.6666666666666666
unseen_impl_slow,retry_policy_inference,logistic_regression,retry_1,retry_4,0,0.0
unseen_impl_slow,retry_policy_inference,logistic_regression,retry_2,retry_1,3,0.5
unseen_impl_slow,retry_policy_inference,logistic_regression,retry_2,retry_2,2,0.3333333333333333
unseen_impl_slow,retry_policy_inference,logistic_regression,retry_2,retry_4,1,0.16666666666666666
unseen_impl_slow,retry_policy_inference,logistic_regression,retry_4,retry_1,3,0.5
unseen_impl_slow,retry_policy_inference,logistic_regression,retry_4,retry_2,3,0.5
unseen_impl_slow,retry_policy_inference,logistic_regression,retry_4,retry_4,0,0.0
unseen_impl_slow,service_class_inference,logistic_regression,high_fidelity,high_fidelity,5,0.8333333333333334
unseen_impl_slow,service_class_inference,logistic_regression,high_fidelity,low_latency,1,0.16666666666666666
unseen_impl_slow,service_class_inference,logistic_regression,low_latency,high_fidelity,1,0.16666666666666666
unseen_impl_slow,service_class_inference,logistic_regression,low_latency,low_latency,5,0.8333333333333334
unseen_impl_slow,service_label_only_control,random_forest,high_fidelity,high_fidelity,1,0.16666666666666666
unseen_impl_slow,service_label_only_control,random_forest,high_fidelity,low_latency,5,0.8333333333333334
unseen_impl_slow,service_label_only_control,random_forest,low_latency,high_fidelity,1,0.16666666666666666
unseen_impl_slow,service_label_only_control,random_forest,low_latency,low_latency,5,0.8333333333333334
unseen_link,distillation_depth_inference,logistic_regression,distill_0,distill_0,11,0.4583333333333333
unseen_link,distillation_depth_inference,logistic_regression,distill_0,distill_1,13,0.5416666666666666
unseen_link,distillation_depth_inference,logistic_regression,distill_0,distill_2,0,0.0
unseen_link,distillation_depth_inference,logistic_regression,distill_1,distill_0,5,0.20833333333333334
unseen_link,distillation_depth_inference,logistic_regression,distill_1,distill_1,12,0.5
