protocol_name,scenario_id,workload_name,trial_id,probe_count,affected_probe_fraction,speedup_probe_fraction,failure_transition_fraction,mean_excess_turnaround_ns,mean_absolute_timing_change_ns,cumulative_positive_excess_ns,maximum_positive_excess_ns,p95_positive_excess_ns,std_excess_turnaround_ns,longest_affected_run,affected_run_count,lag1_excess_autocorrelation,epr_miss_fraction,persistent_epr_state_fraction,direct_victim_generation_overlap_fraction,victim_mean_request_slowdown,victim_makespan_slowdown,victim_mean_added_turnaround_ns,scenario_class,shared_resources
direct_coherent_remote_cx,direct_coherent_remote_cx__share_endpoint,sparse_periodic,4,48,0.6041666666666666,0.0,0.0,67.75100455390994,67.75100455390994,3252.0482185876767,215.08107981556896,191.70927969474934,70.36040764050348,4,19,-0.7763195245020433,0.0,0.0,0.0,1.6651155460496325,1.0,99.76733190744488,single_resource,endpoint
direct_coherent_remote_cx,direct_coherent_remote_cx__share_endpoint,sparse_periodic,5,48,0.5833333333333334,0.0,0.0,72.72388314361586,72.72388314361586,3490.7463908935615,236.67996789620884,214.2246795134982,73.57713271715207,4,19,-0.6533086553300935,0.0,0.0,0.0,1.5934945054294614,1.00331160536745,89.02417581441918,single_resource,endpoint
direct_coherent_remote_cx,direct_coherent_remote_cx__share_endpoint,sparse_periodic,6,48,0.5833333333333334,0.0,0.0,67.57957704767966,67.57957704767966,3243.819698288624,216.9043579664758,193.66807458565393,69.98843206620535,4,19,-0.7618912101036236,0.0,0.0,0.0,1.6790786263889392,1.0045160403783238,101.86179395834087,single_resource,endpoint
direct_coherent_remote_cx,direct_coherent_remote_cx__share_endpoint,sparse_periodic,7,48,0.5833333333333334,0.0,0.0,66.8073889066395,66.8073889066395,3206.754667518696,214.29309204859055,190.5343144424299,69.557751754795,4,19,-0.7757369276556112,0.0,0.0,0.0,1.7096826269569916,1.0042895612256042,106.45239404354874,single_resource,endpoint
direct_coherent_remote_cx,direct_coherent_remote_cx__share_endpoint,sparse_periodic,8,48,0.6041666666666666,0.0,0.0,79.2741124613129,79.2741124613129,3805.1573981430192,250.94035176669672,229.51357863116573,77.9398471445048,4,19,-0.585074948302439,0.0,0.0,0.0,1.516554621083244,1.0,77.48319316248659,single_resource,endpoint
direct_coherent_remote_cx,direct_coherent_remote_cx__share_endpoint,sparse_periodic,9,48,0.5833333333333334,0.0,0.0,78.67663912934805,78.67663912934805,3776.4786782087062,257.61733492523126,232.38650483780103,78.56490148998628,4,19,-0.5633291412021376,0.0,0.0,0.0,1.4931363010414784,1.0,73.97044515622179,single_resource,endpoint
direct_coherent_remote_cx,direct_coherent_remote_cx__share_endpoint,dense_periodic,0,48,0.9791666666666666,0.0,0.0,2251.875,2251.875,108090.0,4440.0,4258.5,1278.0317814416824,47,1,0.9978100801763207,0.0,0.0,0.0,16.0735069018411,1.2267689373749073,2261.026035276165,single_resource,endpoint
direct_coherent_remote_cx,direct_coherent_remote_cx__share_endpoint,dense_periodic,1,48,0.9791666666666666,0.0,0.0,2142.640045268085,2142.640045268085,102846.72217286809,4333.5472802737895,4051.5472802737895,1259.845852303237,47,1,0.9976893253478171,0.0,0.0,0.0,15.410743312540804,1.2172857961816521,2161.611496881121,single_resource,endpoint
direct_coherent_remote_cx,direct_coherent_remote_cx__share_endpoint,dense_periodic,2,48,0.9791666666666666,0.0,0.0,2206.875,2206.875,105930.0,4290.0,4138.5,1268.2897872233302,47,1,0.9977608532219491,0.0,0.0,0.0,15.931730331525122,1.2232593297216765,2239.759549728768,single_resource,endpoint
direct_coherent_remote_cx,direct_coherent_remote_cx__share_endpoint,dense_periodic,3,48,0.9791666666666666,0.0,0.0,2164.594209285683,2164.594209285683,103900.52204571279,4378.947277568357,4096.947277568357,1264.7102989346383,47,1,0.997646018569521,0.0,0.0,0.0,15.57732588867321,1.217182914229072,2186.5988833009824,single_resource,endpoint
