trace_id,protocol_name,scenario_id,workload_name,trial_id,probe_index,release_ns,attacker_only_success,combined_success,attacker_only_completion_ns,combined_completion_ns,attacker_only_turnaround_ns,combined_turnaround_ns,excess_turnaround_ns,affected,speedup,failure_transition
trace::direct_coherent_remote_cx::direct_coherent_remote_cx__isolated::sparse_periodic::1,direct_coherent_remote_cx,direct_coherent_remote_cx__isolated,sparse_periodic,1,3,1290.0,True,True,1440.0,1440.0,150.0,150.0,0.0,False,False,False
trace::direct_coherent_remote_cx::direct_coherent_remote_cx__isolated::sparse_periodic::1,direct_coherent_remote_cx,direct_coherent_remote_cx__isolated,sparse_periodic,1,4,1710.0,True,True,1860.0,1860.0,150.0,150.0,0.0,False,False,False
trace::direct_coherent_remote_cx::direct_coherent_remote_cx__isolated::sparse_periodic::1,direct_coherent_remote_cx,direct_coherent_remote_cx__isolated,sparse_periodic,1,5,2130.0,True,True,2280.0,2280.0,150.0,150.0,0.0,False,False,False
trace::direct_coherent_remote_cx::direct_coherent_remote_cx__isolated::sparse_periodic::1,direct_coherent_remote_cx,direct_coherent_remote_cx__isolated,sparse_periodic,1,6,2550.0,True,True,2700.0,2700.0,150.0,150.0,0.0,False,False,False
trace::direct_coherent_remote_cx::direct_coherent_remote_cx__isolated::sparse_periodic::1,direct_coherent_remote_cx,direct_coherent_remote_cx__isolated,sparse_periodic,1,7,2970.0,True,True,3120.0,3120.0,150.0,150.0,0.0,False,False,False
trace::direct_coherent_remote_cx::direct_coherent_remote_cx__isolated::sparse_periodic::1,direct_coherent_remote_cx,direct_coherent_remote_cx__isolated,sparse_periodic,1,8,3390.0,True,True,3540.0,3540.0,150.0,150.0,0.0,False,False,False
trace::direct_coherent_remote_cx::direct_coherent_remote_cx__isolated::sparse_periodic::1,direct_coherent_remote_cx,direct_coherent_remote_cx__isolated,sparse_periodic,1,9,3810.0,True,True,3960.0,3960.0,150.0,150.0,0.0,False,False,False
trace::direct_coherent_remote_cx::direct_coherent_remote_cx__isolated::sparse_periodic::1,direct_coherent_remote_cx,direct_coherent_remote_cx__isolated,sparse_periodic,1,10,4230.0,True,True,4380.0,4380.0,150.0,150.0,0.0,False,False,False
trace::direct_coherent_remote_cx::direct_coherent_remote_cx__isolated::sparse_periodic::1,direct_coherent_remote_cx,direct_coherent_remote_cx__isolated,sparse_periodic,1,11,4650.0,True,True,4800.0,4800.0,150.0,150.0,0.0,False,False,False
trace::direct_coherent_remote_cx::direct_coherent_remote_cx__isolated::sparse_periodic::1,direct_coherent_remote_cx,direct_coherent_remote_cx__isolated,sparse_periodic,1,12,5070.0,True,True,5220.0,5220.0,150.0,150.0,0.0,False,False,False
trace::direct_coherent_remote_cx::direct_coherent_remote_cx__isolated::sparse_periodic::1,direct_coherent_remote_cx,direct_coherent_remote_cx__isolated,sparse_periodic,1,13,5490.0,True,True,5640.0,5640.0,150.0,150.0,0.0,False,False,False
trace::direct_coherent_remote_cx::direct_coherent_remote_cx__isolated::sparse_periodic::1,direct_coherent_remote_cx,direct_coherent_remote_cx__isolated,sparse_periodic,1,14,5910.0,True,True,6060.0,6060.0,150.0,150.0,0.0,False,False,False
