allocation_policy,num_modules,simultaneous_tenants,victim_modules_requested,trials,victim_rejection_probability,attacker_rejection_probability,mean_job_rejection_rate
load_balanced,12,8,2,100,0.0,0.0,0.0
load_balanced,12,8,3,100,0.0,0.0,0.0
load_balanced,16,2,2,100,0.0,0.0,0.0
load_balanced,16,2,3,100,0.0,0.0,0.0
load_balanced,16,3,2,100,0.0,0.0,0.0
load_balanced,16,3,3,100,0.0,0.0,0.0
load_balanced,16,4,2,100,0.0,0.0,0.0
load_balanced,16,4,3,100,0.0,0.0,0.0
load_balanced,16,8,2,100,0.0,0.0,0.0
load_balanced,16,8,3,100,0.0,0.0,0.0
uniform_random,5,2,2,100,0.0,0.0,0.0
uniform_random,5,2,3,100,0.0,0.0,0.0
uniform_random,5,3,2,100,0.0,0.0,0.0
uniform_random,5,3,3,100,0.0,0.0,0.0
uniform_random,5,4,2,100,0.0,0.0,0.0
uniform_random,5,4,3,100,0.0,0.0,0.25
uniform_random,5,8,2,100,0.0,0.0,0.41
uniform_random,5,8,3,100,0.0,0.0,0.625
uniform_random,8,2,2,100,0.0,0.0,0.0
uniform_random,8,2,3,100,0.0,0.0,0.0
uniform_random,8,3,2,100,0.0,0.0,0.0
uniform_random,8,3,3,100,0.0,0.0,0.0
uniform_random,8,4,2,100,0.0,0.0,0.0
uniform_random,8,4,3,100,0.0,0.0,0.0
uniform_random,8,8,2,100,0.0,0.0,0.0225
uniform_random,8,8,3,100,0.0,0.0,0.375
uniform_random,12,2,2,100,0.0,0.0,0.0
uniform_random,12,2,3,100,0.0,0.0,0.0
uniform_random,12,3,2,100,0.0,0.0,0.0
uniform_random,12,3,3,100,0.0,0.0,0.0
uniform_random,12,4,2,100,0.0,0.0,0.0
uniform_random,12,4,3,100,0.0,0.0,0.0
uniform_random,12,8,2,100,0.0,0.0,0.0
uniform_random,12,8,3,100,0.0,0.0,0.005
uniform_random,16,2,2,100,0.0,0.0,0.0
uniform_random,16,2,3,100,0.0,0.0,0.0
uniform_random,16,3,2,100,0.0,0.0,0.0
uniform_random,16,3,3,100,0.0,0.0,0.0
uniform_random,16,4,2,100,0.0,0.0,0.0
uniform_random,16,4,3,100,0.0,0.0,0.0
uniform_random,16,8,2,100,0.0,0.0,0.0
uniform_random,16,8,3,100,0.0,0.0,0.0
