scenario_name,workload_name,trial_id,logical_component,sharing_mode,component_capacity,maximum_concurrent_occupancy,aggregate_occupancy_ns,capacity_limit,configured_component_capacity,capacity_respected,analysis_horizon_ns,aggregate_lane_utilization
fully_isolated_interconnect_control,periodic_dense,1,switch_arbiter,dedicated,1,2,1092.0,2,1,True,20000.0,0.0273
fully_isolated_interconnect_control,periodic_dense,1,switch_path,dedicated,1,2,8645.0,2,1,True,20000.0,0.216125
fully_isolated_interconnect_control,periodic_dense,1,transmission_segment,dedicated,1,2,7280.0,2,1,True,20000.0,0.182
fully_isolated_interconnect_control,periodic_dense,2,controller_admission,dedicated,1,2,736.0,2,1,True,20000.0,0.0184
fully_isolated_interconnect_control,periodic_dense,2,destination_link_interface,dedicated,1,2,1104.0,2,1,True,20108.609320723284,0.027450928664227745
fully_isolated_interconnect_control,periodic_dense,2,source_link_interface,dedicated,1,2,10948.0,2,1,True,20096.609320723284,0.2723842570973056
fully_isolated_interconnect_control,periodic_dense,2,switch_arbiter,dedicated,1,2,1104.0,2,1,True,20001.609320723284,0.0275977793160915
fully_isolated_interconnect_control,periodic_dense,2,switch_path,dedicated,1,2,8740.0,2,1,True,20096.609320723284,0.2174496170104541
fully_isolated_interconnect_control,periodic_dense,2,transmission_segment,dedicated,1,2,7360.0,2,1,True,20096.609320723284,0.18311546695617187
fully_isolated_interconnect_control,periodic_dense,3,controller_admission,dedicated,1,2,728.0,2,1,True,20000.0,0.0182
fully_isolated_interconnect_control,periodic_dense,3,destination_link_interface,dedicated,1,2,1092.0,2,1,True,20000.0,0.0273
fully_isolated_interconnect_control,periodic_dense,3,source_link_interface,dedicated,1,2,10828.999999999998,2,1,True,20000.0,0.27072499999999994
fully_isolated_interconnect_control,periodic_dense,3,switch_arbiter,dedicated,1,2,1091.999999999999,2,1,True,20000.0,0.027299999999999977
fully_isolated_interconnect_control,periodic_dense,3,switch_path,dedicated,1,2,8645.0,2,1,True,20000.0,0.216125
fully_isolated_interconnect_control,periodic_dense,3,transmission_segment,dedicated,1,2,7280.0,2,1,True,20000.0,0.182
fully_isolated_interconnect_control,periodic_dense,4,controller_admission,dedicated,1,2,728.0,2,1,True,20000.0,0.0182
fully_isolated_interconnect_control,periodic_dense,4,destination_link_interface,dedicated,1,2,1092.0,2,1,True,20000.0,0.0273
fully_isolated_interconnect_control,periodic_dense,4,source_link_interface,dedicated,1,2,10829.0,2,1,True,20000.0,0.270725
fully_isolated_interconnect_control,periodic_dense,4,switch_arbiter,dedicated,1,2,1092.0,2,1,True,20000.0,0.0273
fully_isolated_interconnect_control,periodic_dense,4,switch_path,dedicated,1,2,8645.0,2,1,True,20000.0,0.216125
fully_isolated_interconnect_control,periodic_dense,4,transmission_segment,dedicated,1,2,7280.0,2,1,True,20000.0,0.182
fully_isolated_interconnect_control,periodic_dense,5,controller_admission,dedicated,1,2,736.0,2,1,True,20000.0,0.0184
fully_isolated_interconnect_control,periodic_dense,5,destination_link_interface,dedicated,1,2,1104.0,2,1,True,20001.01695020482,0.027598596680072675
fully_isolated_interconnect_control,periodic_dense,5,source_link_interface,dedicated,1,2,10948.0,2,1,True,20000.0,0.2737
fully_isolated_interconnect_control,periodic_dense,5,switch_arbiter,dedicated,1,2,1104.0,2,1,True,20000.0,0.0276
fully_isolated_interconnect_control,periodic_dense,5,switch_path,dedicated,1,2,8740.0,2,1,True,20000.0,0.2185
fully_isolated_interconnect_control,periodic_dense,5,transmission_segment,dedicated,1,2,7360.0,2,1,True,20000.0,0.184
fully_isolated_interconnect_control,periodic_dense,6,controller_admission,dedicated,1,2,736.0,2,1,True,20022.601046492946,0.01837923050783939
fully_isolated_interconnect_control,periodic_dense,6,destination_link_interface,dedicated,1,2,1104.0,2,1,True,20153.601046492946,0.027389646084914288
fully_isolated_interconnect_control,periodic_dense,6,source_link_interface,dedicated,1,2,10948.0,2,1,True,20141.601046492946,0.271775813023222
fully_isolated_interconnect_control,periodic_dense,6,switch_arbiter,dedicated,1,2,1104.0,2,1,True,20046.601046492946,0.02753584005187601
fully_isolated_interconnect_control,periodic_dense,6,switch_path,dedicated,1,2,8740.0,2,1,True,20141.601046492946,0.21696388434626968
fully_isolated_interconnect_control,periodic_dense,6,transmission_segment,dedicated,1,2,7360.0,2,1,True,20141.601046492946,0.18270642892317449
fully_isolated_interconnect_control,periodic_dense,7,controller_admission,dedicated,1,2,728.0,2,1,True,20000.0,0.0182
fully_isolated_interconnect_control,periodic_dense,7,destination_link_interface,dedicated,1,2,1092.0,2,1,True,20000.0,0.0273
fully_isolated_interconnect_control,periodic_dense,7,source_link_interface,dedicated,1,2,10829.0,2,1,True,20000.0,0.270725
fully_isolated_interconnect_control,periodic_dense,7,switch_arbiter,dedicated,1,2,1092.0,2,1,True,20000.0,0.0273
fully_isolated_interconnect_control,periodic_dense,7,switch_path,dedicated,1,2,8645.0,2,1,True,20000.0,0.216125
fully_isolated_interconnect_control,periodic_dense,7,transmission_segment,dedicated,1,2,7280.0,2,1,True,20000.0,0.182
fully_isolated_interconnect_control,periodic_dense,8,controller_admission,dedicated,1,2,736.0,2,1,True,20000.0,0.0184
fully_isolated_interconnect_control,periodic_dense,8,destination_link_interface,dedicated,1,2,1104.0,2,1,True,20000.0,0.0276
fully_isolated_interconnect_control,periodic_dense,8,source_link_interface,dedicated,1,2,10948.0,2,1,True,20000.0,0.2737
fully_isolated_interconnect_control,periodic_dense,8,switch_arbiter,dedicated,1,2,1104.0,2,1,True,20000.0,0.0276
fully_isolated_interconnect_control,periodic_dense,8,switch_path,dedicated,1,2,8740.0,2,1,True,20000.0,0.2185
fully_isolated_interconnect_control,periodic_dense,8,transmission_segment,dedicated,1,2,7360.0,2,1,True,20000.0,0.184
fully_isolated_interconnect_control,periodic_dense,9,controller_admission,dedicated,1,1,736.0,2,1,True,20000.0,0.0184
fully_isolated_interconnect_control,periodic_dense,9,destination_link_interface,dedicated,1,2,1104.0,2,1,True,20000.0,0.0276
fully_isolated_interconnect_control,periodic_dense,9,source_link_interface,dedicated,1,2,10948.0,2,1,True,20000.0,0.2737
fully_isolated_interconnect_control,periodic_dense,9,switch_arbiter,dedicated,1,2,1104.0,2,1,True,20000.0,0.0276
fully_isolated_interconnect_control,periodic_dense,9,switch_path,dedicated,1,2,8740.0,2,1,True,20000.0,0.2185
