scenario_name,logical_component,sharing_mode,component_capacity,trial_count,maximum_observed_concurrency,all_capacity_checks_passed,mean_aggregate_lane_utilization,max_aggregate_lane_utilization
shared_switch_arbiter_capacity1,switch_path,dedicated,1,30,2,True,0.19171164600484192,0.2185
shared_switch_arbiter_capacity1,transmission_segment,dedicated,1,30,2,True,0.16144138610934056,0.184
shared_switch_arbiter_capacity2,controller_admission,dedicated,1,30,2,True,0.01616707632150222,0.0184
shared_switch_arbiter_capacity2,destination_link_interface,dedicated,1,30,2,True,0.024212027298672095,0.0276
shared_switch_arbiter_capacity2,source_link_interface,dedicated,1,30,2,True,0.24014406183764408,0.2737
shared_switch_arbiter_capacity2,switch_arbiter,shared_pool,2,30,2,True,0.024244872420862977,0.0276
shared_switch_arbiter_capacity2,switch_path,dedicated,1,30,2,True,0.19171164600484192,0.2185
shared_switch_arbiter_capacity2,transmission_segment,dedicated,1,30,2,True,0.16144138610934056,0.184
shared_switch_path_capacity1,controller_admission,dedicated,1,30,2,True,0.016163743933022136,0.0184
shared_switch_path_capacity1,destination_link_interface,dedicated,1,30,1,True,0.024196371052078,0.027539413290760328
shared_switch_path_capacity1,source_link_interface,dedicated,1,30,2,True,0.2585677341122159,0.299576250339478
shared_switch_path_capacity1,switch_arbiter,dedicated,1,30,2,True,0.02423988574114735,0.0276
shared_switch_path_capacity1,switch_path,shared_pool,1,30,1,True,0.383209809591316,0.4363019169329074
shared_switch_path_capacity1,transmission_segment,dedicated,1,30,1,True,0.16135149877529095,0.18370607028753994
shared_switch_path_capacity2,controller_admission,dedicated,1,30,2,True,0.01616707632150222,0.0184
shared_switch_path_capacity2,destination_link_interface,dedicated,1,30,2,True,0.024212027298672095,0.0276
shared_switch_path_capacity2,source_link_interface,dedicated,1,30,2,True,0.24014406183764408,0.2737
shared_switch_path_capacity2,switch_arbiter,dedicated,1,30,2,True,0.024244872420862977,0.0276
shared_switch_path_capacity2,switch_path,shared_pool,2,30,2,True,0.19171164600484192,0.2185
shared_switch_path_capacity2,transmission_segment,dedicated,1,30,2,True,0.16144138610934056,0.184
shared_transmission_segment_capacity1,controller_admission,dedicated,1,30,2,True,0.01616456206837417,0.0184
shared_transmission_segment_capacity1,destination_link_interface,dedicated,1,30,1,True,0.0242013004073694,0.02756003794497978
shared_transmission_segment_capacity1,source_link_interface,dedicated,1,30,2,True,0.252980202450541,0.2924514162961483
shared_transmission_segment_capacity1,switch_arbiter,dedicated,1,30,2,True,0.024241110025232236,0.0276
shared_transmission_segment_capacity1,switch_path,dedicated,1,30,2,True,0.20456488232623743,0.23729829644801922
shared_transmission_segment_capacity1,transmission_segment,shared_pool,1,30,1,True,0.32276880082869036,0.3676874656541939
shared_transmission_segment_capacity2,controller_admission,dedicated,1,30,2,True,0.01616707632150222,0.0184
shared_transmission_segment_capacity2,destination_link_interface,dedicated,1,30,2,True,0.024212027298672095,0.0276
shared_transmission_segment_capacity2,source_link_interface,dedicated,1,30,2,True,0.24014406183764408,0.2737
shared_transmission_segment_capacity2,switch_arbiter,dedicated,1,30,2,True,0.024244872420862977,0.0276
shared_transmission_segment_capacity2,switch_path,dedicated,1,30,2,True,0.19171164600484192,0.2185
shared_transmission_segment_capacity2,transmission_segment,shared_pool,2,30,2,True,0.16144138610934056,0.184
