scenario_name,logical_component,sharing_mode,component_capacity,cross_tenant_capable,physical_lane_trial_count,mean_lane_utilization,max_lane_utilization,mean_busy_time_ns,mean_interval_count
partitioned_source_link_interface_two_lanes,source_link_interface,partitioned,2,False,60,0.24039873568129747,0.2856,4811.566666666667,40.43333333333333
partitioned_source_link_interface_two_lanes,switch_arbiter,dedicated,1,False,60,0.02425372172520747,0.0288,485.2,40.43333333333333
partitioned_source_link_interface_two_lanes,switch_path,dedicated,1,False,60,0.19191495705649794,0.228,3841.1666666666665,40.43333333333333
partitioned_source_link_interface_two_lanes,transmission_segment,dedicated,1,False,60,0.1616125954159983,0.192,3234.6666666666665,40.43333333333333
partitioned_switch_arbiter_two_lanes,communication_qubit,dedicated,1,False,60,0.482226598336062,0.5730555971826765,9663.566666666668,40.43333333333333
partitioned_switch_arbiter_two_lanes,controller_admission,dedicated,1,False,60,0.016170691138778573,0.0192,323.46666666666664,40.43333333333333
partitioned_switch_arbiter_two_lanes,destination_link_interface,dedicated,1,False,60,0.024240187914002363,0.0288,485.19999999999993,40.43333333333333
partitioned_switch_arbiter_two_lanes,endpoint_port,dedicated,1,False,60,0.276761569649897,0.3288,5539.366666666667,40.43333333333333
partitioned_switch_arbiter_two_lanes,local_route,dedicated,1,False,60,0.09696207560948875,0.2946492046611916,1939.9333333333334,40.43333333333333
partitioned_switch_arbiter_two_lanes,receiver_engine,dedicated,1,False,60,0.060586757207349934,0.072,1213.0,40.43333333333333
partitioned_switch_arbiter_two_lanes,reset_engine,dedicated,1,False,60,0.08070738047465473,0.09590888655777012,1617.3333333333333,40.43333333333333
partitioned_switch_arbiter_two_lanes,source_link_interface,dedicated,1,False,60,0.24039873568129747,0.2856,4811.566666666667,40.43333333333333
partitioned_switch_arbiter_two_lanes,switch_arbiter,partitioned,2,False,60,0.02425372172520747,0.0288,485.2,40.43333333333333
partitioned_switch_arbiter_two_lanes,switch_path,dedicated,1,False,60,0.19191495705649794,0.228,3841.1666666666665,40.43333333333333
partitioned_switch_arbiter_two_lanes,transmission_segment,dedicated,1,False,60,0.1616125954159983,0.192,3234.6666666666665,40.43333333333333
partitioned_switch_path_two_lanes,communication_qubit,dedicated,1,False,60,0.482226598336062,0.5730555971826765,9663.566666666668,40.43333333333333
partitioned_switch_path_two_lanes,controller_admission,dedicated,1,False,60,0.016170691138778573,0.0192,323.46666666666664,40.43333333333333
partitioned_switch_path_two_lanes,destination_link_interface,dedicated,1,False,60,0.024240187914002363,0.0288,485.19999999999993,40.43333333333333
partitioned_switch_path_two_lanes,endpoint_port,dedicated,1,False,60,0.276761569649897,0.3288,5539.366666666667,40.43333333333333
partitioned_switch_path_two_lanes,local_route,dedicated,1,False,60,0.09696207560948875,0.2946492046611916,1939.9333333333334,40.43333333333333
partitioned_switch_path_two_lanes,receiver_engine,dedicated,1,False,60,0.060586757207349934,0.072,1213.0,40.43333333333333
partitioned_switch_path_two_lanes,reset_engine,dedicated,1,False,60,0.08070738047465473,0.09590888655777012,1617.3333333333333,40.43333333333333
partitioned_switch_path_two_lanes,source_link_interface,dedicated,1,False,60,0.24039873568129747,0.2856,4811.566666666667,40.43333333333333
partitioned_switch_path_two_lanes,switch_arbiter,dedicated,1,False,60,0.02425372172520747,0.0288,485.2,40.43333333333333
partitioned_switch_path_two_lanes,switch_path,partitioned,2,False,60,0.19191495705649794,0.228,3841.1666666666665,40.43333333333333
partitioned_switch_path_two_lanes,transmission_segment,dedicated,1,False,60,0.1616125954159983,0.192,3234.6666666666665,40.43333333333333
partitioned_transmission_segment_two_lanes,communication_qubit,dedicated,1,False,60,0.482226598336062,0.5730555971826765,9663.566666666668,40.43333333333333
partitioned_transmission_segment_two_lanes,controller_admission,dedicated,1,False,60,0.016170691138778573,0.0192,323.46666666666664,40.43333333333333
partitioned_transmission_segment_two_lanes,destination_link_interface,dedicated,1,False,60,0.024240187914002363,0.0288,485.19999999999993,40.43333333333333
partitioned_transmission_segment_two_lanes,endpoint_port,dedicated,1,False,60,0.276761569649897,0.3288,5539.366666666667,40.43333333333333
partitioned_transmission_segment_two_lanes,local_route,dedicated,1,False,60,0.09696207560948875,0.2946492046611916,1939.9333333333334,40.43333333333333
partitioned_transmission_segment_two_lanes,receiver_engine,dedicated,1,False,60,0.060586757207349934,0.072,1213.0,40.43333333333333
partitioned_transmission_segment_two_lanes,reset_engine,dedicated,1,False,60,0.08070738047465473,0.09590888655777012,1617.3333333333333,40.43333333333333
partitioned_transmission_segment_two_lanes,source_link_interface,dedicated,1,False,60,0.24039873568129747,0.2856,4811.566666666667,40.43333333333333
partitioned_transmission_segment_two_lanes,switch_arbiter,dedicated,1,False,60,0.02425372172520747,0.0288,485.2,40.43333333333333
partitioned_transmission_segment_two_lanes,switch_path,dedicated,1,False,60,0.19191495705649794,0.228,3841.1666666666665,40.43333333333333
partitioned_transmission_segment_two_lanes,transmission_segment,partitioned,2,False,60,0.1616125954159983,0.192,3234.6666666666665,40.43333333333333
shared_controller_admission_capacity1,communication_qubit,dedicated,1,False,60,0.4823673531172848,0.5743788147088875,9666.385154764577,40.43333333333333
shared_controller_admission_capacity1,controller_admission,shared_pool,1,True,30,0.03233415264300444,0.0368,646.9333333333333,80.86666666666666
shared_controller_admission_capacity1,destination_link_interface,dedicated,1,False,60,0.024240187914002363,0.0288,485.19999999999993,40.43333333333333
shared_controller_admission_capacity1,endpoint_port,dedicated,1,False,60,0.2769024541756747,0.330124474582861,5542.185154764577,40.43333333333333
shared_controller_admission_capacity1,local_route,dedicated,1,False,60,0.09698655596695739,0.2946492046611916,1940.4229404827063,40.43333333333333
shared_controller_admission_capacity1,receiver_engine,dedicated,1,False,60,0.060586757207349934,0.072,1213.0,40.43333333333333
shared_controller_admission_capacity1,reset_engine,dedicated,1,False,60,0.08070738047465473,0.09590888655777012,1617.3333333333333,40.43333333333333
shared_controller_admission_capacity1,source_link_interface,dedicated,1,False,60,0.24039873568129747,0.2856,4811.566666666667,40.43333333333333
shared_controller_admission_capacity1,switch_arbiter,dedicated,1,False,60,0.02425372172520747,0.0288,485.2,40.43333333333333
shared_controller_admission_capacity1,switch_path,dedicated,1,False,60,0.19191495705649794,0.228,3841.1666666666665,40.43333333333333
shared_controller_admission_capacity1,transmission_segment,dedicated,1,False,60,0.1616125954159983,0.192,3234.6666666666665,40.43333333333333
shared_controller_admission_capacity2,communication_qubit,dedicated,1,False,60,0.482226598336062,0.5730555971826765,9663.566666666668,40.43333333333333
shared_controller_admission_capacity2,controller_admission,shared_pool,2,True,44,0.022046037773413227,0.0368,441.09090909090907,55.13636363636363
shared_controller_admission_capacity2,destination_link_interface,dedicated,1,False,60,0.024240187914002363,0.0288,485.19999999999993,40.43333333333333
shared_controller_admission_capacity2,endpoint_port,dedicated,1,False,60,0.276761569649897,0.3288,5539.366666666667,40.43333333333333
shared_controller_admission_capacity2,local_route,dedicated,1,False,60,0.09696207560948875,0.2946492046611916,1939.9333333333334,40.43333333333333
shared_controller_admission_capacity2,receiver_engine,dedicated,1,False,60,0.060586757207349934,0.072,1213.0,40.43333333333333
shared_controller_admission_capacity2,reset_engine,dedicated,1,False,60,0.08070738047465473,0.09590888655777012,1617.3333333333333,40.43333333333333
shared_controller_admission_capacity2,source_link_interface,dedicated,1,False,60,0.24039873568129747,0.2856,4811.566666666667,40.43333333333333
shared_controller_admission_capacity2,switch_arbiter,dedicated,1,False,60,0.02425372172520747,0.0288,485.2,40.43333333333333
shared_controller_admission_capacity2,switch_path,dedicated,1,False,60,0.19191495705649794,0.228,3841.1666666666665,40.43333333333333
shared_controller_admission_capacity2,transmission_segment,dedicated,1,False,60,0.1616125954159983,0.192,3234.6666666666665,40.43333333333333
shared_data_path_capacity1,communication_qubit,dedicated,1,False,60,0.5125467848447091,0.626687474664702,10276.461452625126,40.43333333333333
shared_data_path_capacity1,controller_admission,dedicated,1,False,60,0.016168733009831154,0.0192,323.46666666666664,40.43333333333333
shared_data_path_capacity1,destination_link_interface,shared_pool,1,True,30,0.048376998722857216,0.05501295594977078,970.3999999999999,80.86666666666666
