victim_qasm,schedule_name,probe,attack_window,fraction_of_victim_cross_ops,total_rounds,victim_total_ops,victim_cross_module_ops,victim_cross_fraction,workload_type,attacker_completed_requests,attacker_avg_waiting_time_ns,attacker_avg_turnaround_time_ns,attacker_max_waiting_time_ns,attacker_num_waited_requests,attacker_job_makespan_ns,attacker_total_events,attacker_waited_fraction,hub_makespan_ns
qaoa_nativegates_ibm_qiskit_opt3_13.qasm,A5_like_light,probe3_R1_uniform_family_test,P20,0.2,8,253,37,0.14624505928853754,static_distributed,8,137.5,247.5,370.0,5,1960.0,56,0.625,4190
qaoa_nativegates_ibm_qiskit_opt3_13.qasm,A5_like_light,probe3_R1_uniform_family_test,P50,0.5,19,253,37,0.14624505928853754,static_distributed,19,532.6315789473684,642.6315789473684,1195.0,16,3170.0,133,0.8421052631578947,4190
qaoa_nativegates_ibm_qiskit_opt3_14.qasm,A5_like_light,probe3_R1_uniform_family_test,P100,1.0,37,271,37,0.13653136531365315,static_distributed,37,1137.162162162162,1247.162162162162,2475.0,33,5170.0,259,0.8918918918918919,5230
qaoa_nativegates_ibm_qiskit_opt3_14.qasm,A5_like_light,probe3_R1_uniform_family_test,P20,0.2,8,271,37,0.13653136531365315,static_distributed,8,93.75,203.75,300.0,4,1980.0,56,0.5,4190
qaoa_nativegates_ibm_qiskit_opt3_14.qasm,A5_like_light,probe3_R1_uniform_family_test,P50,0.5,19,271,37,0.13653136531365315,static_distributed,19,473.6842105263158,583.6842105263158,1125.0,15,3190.0,133,0.7894736842105263,4190
qaoa_nativegates_ibm_qiskit_opt3_15.qasm,A5_like_light,probe3_R1_uniform_family_test,P100,1.0,41,291,41,0.140893470790378,static_distributed,41,1285.9756097560976,1395.9756097560976,2775.0,37,5710.0,287,0.9024390243902439,5770
qaoa_nativegates_ibm_qiskit_opt3_15.qasm,A5_like_light,probe3_R1_uniform_family_test,P20,0.2,9,291,41,0.140893470790378,static_distributed,9,125.0,235.0,375.0,5,2190.0,63,0.5555555555555556,4630
qaoa_nativegates_ibm_qiskit_opt3_15.qasm,A5_like_light,probe3_R1_uniform_family_test,P50,0.5,21,291,41,0.140893470790378,static_distributed,21,546.4285714285714,656.4285714285714,1275.0,17,3510.0,147,0.8095238095238095,4630
qaoa_nativegates_ibm_qiskit_opt3_5.qasm,A5_like_light,probe3_R1_uniform_family_test,P100,1.0,17,99,17,0.1717171717171717,static_distributed,17,529.4117647058823,639.4117647058823,1125.0,15,2260.0,119,0.8823529411764706,2320
qaoa_nativegates_ibm_qiskit_opt3_5.qasm,A5_like_light,probe3_R1_uniform_family_test,P20,0.2,4,99,17,0.1717171717171717,static_distributed,4,56.25,166.25,150.0,2,830.0,28,0.5,1945
qaoa_nativegates_ibm_qiskit_opt3_5.qasm,A5_like_light,probe3_R1_uniform_family_test,P50,0.5,9,99,17,0.1717171717171717,static_distributed,9,233.33333333333334,343.3333333333333,525.0,7,1380.0,63,0.7777777777777778,1945
qaoa_nativegates_ibm_qiskit_opt3_6.qasm,A5_like_light,probe3_R1_uniform_family_test,P100,1.0,25,117,25,0.21367521367521367,static_distributed,25,828.0,938.0,1725.0,23,3230.0,175,0.92,3290
qaoa_nativegates_ibm_qiskit_opt3_6.qasm,A5_like_light,probe3_R1_uniform_family_test,P20,0.2,5,117,25,0.21367521367521367,static_distributed,5,90.0,200.0,225.0,3,1030.0,35,0.6,2805
qaoa_nativegates_ibm_qiskit_opt3_6.qasm,A5_like_light,probe3_R1_uniform_family_test,P50,0.5,13,117,25,0.21367521367521367,static_distributed,13,380.7692307692308,490.7692307692308,825.0,11,1910.0,91,0.8461538461538461,2805
qaoa_nativegates_ibm_qiskit_opt3_7.qasm,A5_like_light,probe3_R1_uniform_family_test,P100,1.0,25,137,25,0.18248175182481752,static_distributed,25,828.0,938.0,1725.0,23,3330.0,175,0.92,3390
qaoa_nativegates_ibm_qiskit_opt3_7.qasm,A5_like_light,probe3_R1_uniform_family_test,P20,0.2,5,137,25,0.18248175182481752,static_distributed,5,90.0,200.0,225.0,3,1130.0,35,0.6,2840
qaoa_nativegates_ibm_qiskit_opt3_7.qasm,A5_like_light,probe3_R1_uniform_family_test,P50,0.5,13,137,25,0.18248175182481752,static_distributed,13,380.7692307692308,490.7692307692308,825.0,11,2010.0,91,0.8461538461538461,2840
qaoa_nativegates_ibm_qiskit_opt3_8.qasm,A5_like_light,probe3_R1_uniform_family_test,P100,1.0,25,155,25,0.16129032258064516,static_distributed,25,828.0,938.0,1725.0,23,3420.0,175,0.92,3480
qaoa_nativegates_ibm_qiskit_opt3_8.qasm,A5_like_light,probe3_R1_uniform_family_test,P20,0.2,5,155,25,0.16129032258064516,static_distributed,5,90.0,200.0,225.0,3,1220.0,35,0.6,2840
qaoa_nativegates_ibm_qiskit_opt3_8.qasm,A5_like_light,probe3_R1_uniform_family_test,P50,0.5,13,155,25,0.16129032258064516,static_distributed,13,380.7692307692308,490.7692307692308,825.0,11,2100.0,91,0.8461538461538461,2840
qaoa_nativegates_ibm_qiskit_opt3_9.qasm,A5_like_light,probe3_R1_uniform_family_test,P100,1.0,33,173,33,0.1907514450867052,static_distributed,33,1103.7878787878788,1213.7878787878788,2300.0,31,4365.0,231,0.9393939393939394,4425
qaoa_nativegates_ibm_qiskit_opt3_9.qasm,A5_like_light,probe3_R1_uniform_family_test,P20,0.2,7,173,33,0.1907514450867052,static_distributed,7,142.85714285714286,252.85714285714286,350.0,5,1505.0,49,0.7142857142857143,3720
qaoa_nativegates_ibm_qiskit_opt3_9.qasm,A5_like_light,probe3_R1_uniform_family_test,P50,0.5,17,173,33,0.1907514450867052,static_distributed,17,507.3529411764706,617.3529411764706,1100.0,15,2605.0,119,0.8823529411764706,3720
